"name","variation","diy","buy","sell","color_1","color_2","size","miles_price","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","type","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"browline glasses","Black","No","1040",260.0,"Black","Yellow","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Simple","everyday; formal","AccessoryEye","Yes","For sale","AccessoryGlassThurmont0",4238.0,"gHxascFKEJNrLCtD9"
"browline glasses","Brown","No","1040",260.0,"Brown","Yellow","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Simple","everyday; formal","AccessoryEye","Yes","For sale","AccessoryGlassThurmont1",11069.0,"9iqmzMJiAeQMBN3pk"
"browline glasses","Green","No","1040",260.0,"Green","Gray","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; formal","AccessoryEye","Yes","For sale","AccessoryGlassThurmont2",11070.0,"f6h8aqEufzizYBWiH"
"browline glasses","Gray","No","1040",260.0,"Gray","Yellow","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; formal","AccessoryEye","Yes","For sale","AccessoryGlassThurmont3",11071.0,"R9rDoMEzPcBw75hLE"
"bubblegum","Pink","No","140",35.0,"Pink","Pink","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryMouth","No","For sale","AccessoryMouthBubblegum0",5738.0,"4SLmXuCkS4eBjPbLn"
"bubblegum","Blue","No","140",35.0,"Light blue","Light blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryMouth","No","For sale","AccessoryMouthBubblegum1",11027.0,"9wWYKTtMdo9pWqfsM"
"bubblegum","Yellow","No","140",35.0,"Yellow","Yellow","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Simple","comfy","AccessoryMouth","No","For sale","AccessoryMouthBubblegum2",11028.0,"79zoWzHvMBJYcwuAy"
"bubblegum","Green","No","140",35.0,"Green","Green","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryMouth","No","For sale","AccessoryMouthBubblegum3",11029.0,"F3PoMop5MGyaxtKjZ"
"bubblegum","White","No","140",35.0,"White","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryMouth","No","For sale","AccessoryMouthBubblegum4",11030.0,"r9N2a2TYhvXBKiihn"
"bunny nose","Pink","No","560",140.0,"Pink","Pink","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthRabbit0",4600.0,"bxWYgcp2YKCdKe8Cr"
"bunny nose","Yellow","No","560",140.0,"Yellow","Orange","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthRabbit1",11023.0,"y6Dp62aNQn5ixvkwf"
"bunny nose","White","No","560",140.0,"White","Red","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthRabbit2",11024.0,"ci8RKqDmqS5wD3W5k"
"butterfly shades","Blue","No","1040",260.0,"Black","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Cool","outdoorsy","AccessoryEye","Yes","For sale","AccessoryGlassButterfly0",4608.0,"WjbaLp9JbBGYRrb6K"
"butterfly shades","Red","No","1040",260.0,"Red","Brown","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Cool","outdoorsy","AccessoryEye","Yes","For sale","AccessoryGlassButterfly1",11503.0,"AZrrNvHghPTHobKL4"
"butterfly shades","Brown","No","1040",260.0,"Brown","Brown","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","outdoorsy","AccessoryEye","Yes","For sale","AccessoryGlassButterfly2",11504.0,"rz3Pgs5XGNiQFa3t4"
"candy-skull mask","Purple","No","NFS",800.0,"White","Purple","1x1","NA","Gulliver",,"All Year","No","1.0.0","Gorgeous","formal; party; theatrical","AccessoryEyeMouthInvisibleNose","No","Not for sale","AccessoryGlassmouthCatrina0",5666.0,"GT3LzQZKg29riohcP"
"candy-skull mask","Orange","No","NFS",800.0,"White","Orange","1x1","NA","Gulliver",,"All Year","No","1.0.0","Gorgeous","formal; party; theatrical","AccessoryEyeMouthInvisibleNose","No","Not for sale","AccessoryGlassmouthCatrina1",11169.0,"xyQdqFuAkXkNs9qQ5"
"candy-skull mask","Blue","No","NFS",800.0,"White","Light blue","1x1","NA","Gulliver",,"All Year","No","1.0.0","Gorgeous","formal; party; theatrical","AccessoryEyeMouthInvisibleNose","No","Not for sale","AccessoryGlassmouthCatrina2",11170.0,"fev4af8sNdggceyW9"
"cat nose","White","No","560",140.0,"White","Pink","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthCat0",4483.0,"45Muns9ig4dqrsFF7"
"cat nose","Brown","No","560",140.0,"Brown","Beige","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthCat1",11021.0,"CXDCEFzBdv8DwkCyM"
"cat nose","Navy blue","No","560",140.0,"Blue","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthCat2",11022.0,"ywdWXRcwKJNMMxDyj"
"cucumber pack","Green","No","490",122.0,"Green","Green","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Simple","comfy","AccessoryMouth","No","For sale","AccessoryMouthCucumber",4491.0,"MhbCBrYX5fHxZWDuA"
"curly mustache","Black","No","700",175.0,"Colorful","Colorful","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","fairy tale; formal; party","AccessoryMouthEarJaw","No","For sale","AccessoryMouthRollingmustacheBlack",4672.0,"9tyCrNPeibcu5NLo8"
"cyber shades","Red","No","1300",325.0,"Red","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassCyber0",4552.0,"3YPuxxPLkzwwNQMQd"
"cyber shades","Black","No","1300",325.0,"Black","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassCyber1",11498.0,"67BAc4y8aADafp9Xk"
"cyber shades","Silver","No","1300",325.0,"Gray","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassCyber2",11499.0,"AKakpCweRnd5hAsRB"
"cyber shades","Purple","No","1300",325.0,"Purple","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassCyber3",11500.0,"y2svNHScnr8cNZe86"
"cyber shades","Green","No","1300",325.0,"Green","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassCyber4",11501.0,"9izTCDGHSpqWrQp6T"
"cyber shades","Yellow","No","1300",325.0,"Yellow","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassCyber5",11502.0,"5pk9ZMDGsEzLqp24L"
"DAL eye mask","Blue","No","NFS",1010.0,"Blue","Blue","1x1","NA","Dodo Airlines","Received in mail from DAL after taking certain numbers of flights","All Year","No","1.0.0","Simple","comfy; vacation","AccessoryEye","Yes","Not for sale","AccessoryGlassDalmask0",12128.0,"sbkqQrHpJWMEEZLSR"
"DAL sunglasses","Yellow","No","NFS",1010.0,"Yellow","Blue","1x1","NA","Dodo Airlines","Received in mail from DAL after taking certain numbers of flights","All Year","No","1.0.0","Gorgeous","comfy; vacation","AccessoryEye","Yes","Not for sale","AccessoryGlassDalglass0",12129.0,"zRnkH9B3rYNMLpiTP"
"doctor's mask","White","No","140",35.0,"White","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; goth; comfy","AccessoryMouthEarJaw","No","For sale","AccessoryMouthMaskWhite",4451.0,"vZDsrDRdgrbbiwi8N"
"dog nose","White","No","560",140.0,"White","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthDog0",5244.0,"moGRcnkQihHbN89Kc"
"dog nose","Beige","No","560",140.0,"Orange","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthDog1",11025.0,"zCQqXy8HLE7rDfrQf"
"dog nose","Black","No","560",140.0,"Black","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthDog2",11026.0,"9JGbmWtDA3rmjf8Kc"
"double-bridge glasses","Gold","No","1100",275.0,"Yellow","Yellow","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","comfy; vacation; work","AccessoryEye","Yes","For sale","AccessoryGlassDoublebridge0",4263.0,"8QCnzjXY8KEyqf7Wa"
"double-bridge glasses","Purple","No","1100",275.0,"Purple","Purple","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Elegant","comfy; vacation; work","AccessoryEye","Yes","For sale","AccessoryGlassDoublebridge1",11076.0,"guPGRuhMyqdWYKh8d"
"double-bridge glasses","Silver","No","1100",275.0,"Gray","Gray","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Elegant","comfy; vacation; work","AccessoryEye","Yes","For sale","AccessoryGlassDoublebridge2",11077.0,"CLPEzZqr3vut85Ja4"
"double-bridge glasses","Blue","No","1100",275.0,"Blue","Blue","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","comfy; vacation; work","AccessoryEye","Yes","For sale","AccessoryGlassDoublebridge3",11078.0,"fD5pteAQtC8CMhq2v"
"drinking-straw glasses","Green","No","560",140.0,"Green","Green","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","comfy; vacation; work","AcceEyeMouth","No","For sale","AccessoryGlassmouthStraw0",5773.0,"hMiEGoaE2jYb6kY4e"
"drinking-straw glasses","Blue","No","560",140.0,"Light blue","Light blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","comfy; vacation; work","AcceEyeMouth","No","For sale","AccessoryGlassmouthStraw1",11010.0,"DNij9RhiMW39MtKWF"
"drinking-straw glasses","Pink","No","560",140.0,"Pink","Pink","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","comfy; vacation; work","AcceEyeMouth","No","For sale","AccessoryGlassmouthStraw2",11011.0,"b4G7SFYMTs5YWJ4i5"
"drinking-straw glasses","White","No","560",140.0,"White","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","comfy; vacation; work","AcceEyeMouth","No","For sale","AccessoryGlassmouthStraw3",11012.0,"bQ67Xe7cQZ4PcXnNe"
"eye mask","Blue","No","560",140.0,"Blue","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryEye","Yes","For sale","AccessoryGlassMask0",4425.0,"68oXMszxbRtGoe9tH"
"eye mask","Pink","No","560",140.0,"Pink","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryEye","Yes","For sale","AccessoryGlassMask1",11154.0,"Ck7jeovxpJEQa9BXB"
"eye mask","Gray","No","560",140.0,"Gray","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryEye","Yes","For sale","AccessoryGlassMask2",11155.0,"FFAmL82w7xmtQyj49"
"eye mask","Green","No","560",140.0,"Green","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryEye","Yes","For sale","AccessoryGlassMask3",11156.0,"csWKsYtw2k9ADBQpT"
"eye mask","Orange","No","560",140.0,"Orange","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryEye","Yes","For sale","AccessoryGlassMask4",11157.0,"Gy2FEnpkD9KrRshtd"
"eye mask","Red","No","560",140.0,"Red","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryEye","Yes","For sale","AccessoryGlassMask5",11158.0,"DN9e9e3kPAvftJL7X"
"eye patch","Black","No","140",35.0,"Black","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","fairy tale; goth","AccessoryOneEye","Yes","For sale","AccessoryGlassPatchBlack",4457.0,"iZoTNGb8htGE8JWEw"
"facial mask","White","No","560",140.0,"White","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","goth; comfy","AcceEyeMouth","No","For sale","AccessoryGlassmouthPackWhite",4512.0,"KzBY9kLtwTHhHGzR3"
"fake nose","Red","No","490",122.0,"Red","Red","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AcceEyeMouth","No","For sale","AccessoryGlassmouthNoseRed",4496.0,"chP2wAyDtdSTS3XrF"
"flower sunglasses","Red","No","770",192.0,"Red","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassFlower0",5739.0,"iJsQqLTdb4gcPwekJ"
"flower sunglasses","Orange","No","770",192.0,"Orange","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassFlower1",11228.0,"6TygyrRpgFEJRtYAD"
"flower sunglasses","Blue","No","770",192.0,"Blue","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassFlower2",11229.0,"g4jdQJuTAwEgGWsyH"
"flower sunglasses","Purple","No","770",192.0,"Purple","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassFlower3",11230.0,"hN8mRmSqAqfBBXqsK"
"flower sunglasses","Green","No","770",192.0,"Green","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassFlower4",11231.0,"vnNLfafLRpv9vrESq"
"food mess","Pasta","No","490",122.0,"Orange","Beige","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy","AccessoryMouth","No","For sale","AccessoryMouthPasta",5857.0,"ErTpS7LHoG7hZ4bvn"
"funny glasses","Brown","No","1100",275.0,"Brown","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassEyes0",4513.0,"nvgwq4bKZzDoiTQzw"
"funny glasses","Pink","No","1100",275.0,"Pink","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassEyes1",11008.0,"4ASpkj55QiocnNkZ2"
"funny glasses","Blue","No","1100",275.0,"Light blue","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","AccessoryEye","Yes","For sale","AccessoryGlassEyes2",11009.0,"dio9gmQCebNSjSX89"
"gas mask","Black","No","1100",275.0,"Black","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","goth; work","AcceEyeMouth","No","For sale","AccessoryGlassmouthGasmask0",4649.0,"cuqWQPfsbkmXz5DuB"
"gas mask","Avocado","No","1100",275.0,"Green","Green","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","goth; work","AcceEyeMouth","No","For sale","AccessoryGlassmouthGasmask1",11160.0,"9K9ea2sRHMsPmcX6d"
"glass-bottle glasses","Black","No","1100",275.0,"Black","Gray","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","comfy; work","AccessoryEye","Yes","For sale","AccessoryGlassBottleBlack",4282.0,"JFtffcGH7WnPnJKtc"
"goatee","Black","No","980",245.0,"Colorful","Colorful","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Cool","everyday; comfy; theatrical","AccessoryMouthEarJaw","No","For sale","AccessoryMouthBeardChinBlack",4676.0,"W5S7BC9qA4QMCQEFR"
"goggles","Black","No","560",140.0,"Black","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Active","outdoorsy; sporty; vacation","AccessoryEye","Yes","For sale","AccessoryGlassGoggles0",4454.0,"3YkDq5TZm3jE8nBL9"
"goggles","Blue","No","560",140.0,"Blue","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Active","outdoorsy; sporty; vacation","AccessoryEye","Yes","For sale","AccessoryGlassGoggles1",11484.0,"gozwdhewwK4PmPGFQ"
"goggles","Pink","No","560",140.0,"Pink","Pink","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Active","outdoorsy; sporty; vacation","AccessoryEye","Yes","For sale","AccessoryGlassGoggles2",11485.0,"49s9b7jcrE8uaFEdR"
"goggles","Green","No","560",140.0,"Green","Green","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Active","outdoorsy; sporty; vacation","AccessoryEye","Yes","For sale","AccessoryGlassGoggles3",11486.0,"sDjZobRoupcETEKeH"
"goggles","Purple","No","560",140.0,"Purple","Purple","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Active","outdoorsy; sporty; vacation","AccessoryEye","Yes","For sale","AccessoryGlassGoggles4",11487.0,"kwS6ErrZHdDNXpmbR"
"goggles","Red","No","560",140.0,"Red","Red","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Active","outdoorsy; sporty; vacation","AccessoryEye","Yes","For sale","AccessoryGlassGoggles5",11488.0,"P8X4Rnuc6WjHTrbkz"
"handlebar mustache","Black","No","1120",280.0,"Colorful","Colorful","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Elegant","fairy tale; formal; theatrical","AccessoryMouth","No","For sale","AccessoryMouthBeardBlack",3550.0,"HJfvmuhPDFMN8eRB2"
"heart shades","Pink","No","1040",260.0,"Pink","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassHeart0",4237.0,"ZkwfoAxXwqiJav677"
"heart shades","Yellow","No","1040",260.0,"Yellow","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassHeart1",11188.0,"jvPC7gmEHvxxgmwfA"
"heart shades","Blue","No","1040",260.0,"Light blue","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassHeart2",11189.0,"k2fF9yEC5S3XGsXhX"
"heart shades","Purple","No","1040",260.0,"Purple","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassHeart3",11190.0,"3fs7r8mBn9EiGmMT7"
"heart shades","Green","No","1040",260.0,"Green","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","party; vacation","AccessoryEye","Yes","For sale","AccessoryGlassHeart4",11191.0,"CbiyKw9gGsMfYzA4g"
"HMD","White","No","2000",500.0,"White","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","comfy","AccessoryEye","Yes","For sale","AccessoryGlassHmdWhite",5182.0,"Hkcb2b5RCvgcXrHvc"
"jester's mask","Black","No","1760",440.0,"Black","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","fairy tale; goth; party; theatrical; work","AccessoryEyeMouthInvisibleNose","No","For sale","AccessoryGlassmouthPierrot0",4678.0,"5iGdajwpPAQ98B9eE"
"jester's mask","Red","No","1760",440.0,"Red","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","fairy tale; goth; party; theatrical; work","AccessoryEyeMouthInvisibleNose","No","For sale","AccessoryGlassmouthPierrot1",11166.0,"7HBtvdHttSMJiuA7W"
"jester's mask","Green","No","1760",440.0,"Green","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","fairy tale; goth; party; theatrical; work","AccessoryEyeMouthInvisibleNose","No","For sale","AccessoryGlassmouthPierrot2",11167.0,"LTCnc3SoDzsffayDr"
"jester's mask","Blue","No","1760",440.0,"Blue","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","fairy tale; goth; party; theatrical; work","AccessoryEyeMouthInvisibleNose","No","For sale","AccessoryGlassmouthPierrot3",11168.0,"Kpyk7xszcwxgdawqA"
"Labelle sunglasses","Twilight","No","2000",500.0,"Purple","Purple","1x1","NA","Labelle",,"All Year","No","1.0.0","Gorgeous","everyday; formal; party; theatrical; vacation","AccessoryEye","Yes","For sale","AccessoryGlassKate0",9887.0,"2B4ttG2NJS7ZKRimP"
