"name","variation","body_title","pattern","pattern_title","diy","body_customize","pattern_customize","kit_cost","buy","sell","color_1","color_2","size","miles_price","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","hha_set","interact","tag","outdoor","speaker_type","lighting_type","catalog","filename","variant_id","internal_id","unique_entry_id"
"air circulator","Green","NA","NA","NA","No","No","No","NA","1100",275.0,"Green","Gray","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","office","None","None","Yes","Fan","Yes","Does not play music","No lighting","For sale","FtrCirculator_Remake_3_0","3_0",3821.0,"bGCQ9bA27ftHoLoKb"
"air circulator","Yellow","NA","NA","NA","No","No","No","NA","1100",275.0,"Yellow","Gray","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","office","None","None","Yes","Fan","Yes","Does not play music","No lighting","For sale","FtrCirculator_Remake_4_0","4_0",3821.0,"5pBqNZaZWveKR6K5s"
"alto saxophone","NA","NA","NA","NA","No","No","No","NA","3400",850.0,"Yellow","Yellow","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","music","None","None","None","Yes","Musical Instrument","No","Does not play music","No lighting","For sale","FtrAltosax","NA",846.0,"yAj7DyFRDjWbh7qYP"
"anatomical model","NA","NA","NA","NA","No","No","No","NA","3500",875.0,"Colorful","Beige","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","expensive","None","None","No","Hospital","No","Does not play music","No lighting","For sale","FtrAnatomicalmodel","NA",1317.0,"t2LzAKDofAZYyqZ6r"
"anchor statue","Black","Color","NA","NA","No","Yes","No","2","NFS",1400.0,"Black","Beige","1x1","NA","Fishing Tourney",,"1.0.0","ocean","None","None","None","No","Seaside","Yes","Does not play music","No lighting","Not for sale","FtrShipanchor_Remake_0_0","0_0",7238.0,"zgw6WaZRQgrpQ5FTC"
"anchor statue","Silver","Color","NA","NA","No","Yes","No","2","NFS",1400.0,"Gray","Beige","1x1","NA","Fishing Tourney",,"1.0.0","ocean","None","None","None","No","Seaside","Yes","Does not play music","No lighting","Not for sale","FtrShipanchor_Remake_1_0","1_0",7238.0,"hdZokWHmfoFTt2FjM"
"anchor statue","Gold","Color","NA","NA","No","Yes","No","2","NFS",1400.0,"Brown","Beige","1x1","NA","Fishing Tourney",,"1.0.0","ocean","None","None","None","No","Seaside","Yes","Does not play music","No lighting","Not for sale","FtrShipanchor_Remake_2_0","2_0",7238.0,"NNfoBT2rgDcmG5HhD"
"anchor statue","White","Color","NA","NA","No","Yes","No","2","NFS",1400.0,"White","Beige","1x1","NA","Fishing Tourney",,"1.0.0","ocean","None","None","None","No","Seaside","Yes","Does not play music","No lighting","Not for sale","FtrShipanchor_Remake_3_0","3_0",7238.0,"ZWyY2rRANgXoGcDha"
"anchor statue","Blue","Color","NA","NA","No","Yes","No","2","NFS",1400.0,"Blue","White","1x1","NA","Fishing Tourney",,"1.0.0","ocean","None","None","None","No","Seaside","Yes","Does not play music","No lighting","Not for sale","FtrShipanchor_Remake_4_0","4_0",7238.0,"vRhn2x3vj2mii4AKH"
"anchor statue","Retro","Color","NA","NA","No","Yes","No","2","NFS",1400.0,"Brown","Gray","1x1","NA","Fishing Tourney",,"1.0.0","ocean","None","None","None","No","Seaside","Yes","Does not play music","No lighting","Not for sale","FtrShipanchor_Remake_5_0","5_0",7238.0,"6wyLNus8QqXkbBu72"
"angled signpost","Home","Navigation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","garden","None","None","None","No","Vehicle","Yes","Does not play music","No lighting","Not for sale","FtrSignpostTilt_Remake_0_0","0_0",7867.0,"kzirasu23o7Xwz8Cg"
"angled signpost","Forest","Navigation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","garden","None","None","None","No","Vehicle","Yes","Does not play music","No lighting","Not for sale","FtrSignpostTilt_Remake_1_0","1_0",7867.0,"8MxLKTxpMDwarBE2M"
"angled signpost","Fishing Spot","Navigation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","garden","None","None","None","No","Vehicle","Yes","Does not play music","No lighting","Not for sale","FtrSignpostTilt_Remake_2_0","2_0",7867.0,"uvn5kiMi84NMuesmb"
"angled signpost","Resident Services","Navigation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","garden","None","None","None","No","Vehicle","Yes","Does not play music","No lighting","Not for sale","FtrSignpostTilt_Remake_3_0","3_0",7867.0,"D2bHBoj8ZotiBiahp"
"angled signpost","Airport","Navigation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","garden","None","None","None","No","Vehicle","Yes","Does not play music","No lighting","Not for sale","FtrSignpostTilt_Remake_4_0","4_0",7867.0,"BGaTv6ghfWHQohYJz"
"angled signpost","Shop","Navigation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","garden","None","None","None","No","Vehicle","Yes","Does not play music","No lighting","Not for sale","FtrSignpostTilt_Remake_5_0","5_0",7867.0,"QNTrffSxKbCJH3C2s"
"angled signpost","Tailors","Navigation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","garden","None","None","None","No","Vehicle","Yes","Does not play music","No lighting","Not for sale","FtrSignpostTilt_Remake_6_0","6_0",7867.0,"TW9n423omNZDjZ9hp"
"angled signpost","Museum","Navigation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","garden","None","None","None","No","Vehicle","Yes","Does not play music","No lighting","Not for sale","FtrSignpostTilt_Remake_7_0","7_0",7867.0,"wPX6wELbCn9Jyb37A"
"antique bed","Brown","NA","NA","NA","No","No","No","NA","28000",7000.0,"Brown","White","2x2","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Bed","No","Does not play music","No lighting","For sale","FtrAntiqueBedW_Remake_0_0","0_0",3957.0,"c7rQKnQBvtMCpGNhr"
"antique bed","Natural","NA","NA","NA","No","No","No","NA","28000",7000.0,"Beige","White","2x2","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Bed","No","Does not play music","No lighting","For sale","FtrAntiqueBedW_Remake_1_0","1_0",3957.0,"gMCFieFjJLX4yXBPJ"
"antique bed","Black","NA","NA","NA","No","No","No","NA","28000",7000.0,"Black","White","2x2","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Bed","No","Does not play music","No lighting","For sale","FtrAntiqueBedW_Remake_2_0","2_0",3957.0,"s5ZQQKh3XYcue8R6S"
"antique bureau","Brown","NA","NA","NA","No","No","No","NA","20000",5000.0,"Brown","Brown","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Desk","No","Does not play music","No lighting","For sale","FtrAntiqueBureau_Remake_0_0","0_0",3956.0,"eqP7Ro4PzjhZFGMaX"
"antique bureau","Natural","NA","NA","NA","No","No","No","NA","20000",5000.0,"Beige","Beige","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Desk","No","Does not play music","No lighting","For sale","FtrAntiqueBureau_Remake_1_0","1_0",3956.0,"PwbzwqaKiZ7CPKgh6"
"antique bureau","Black","NA","NA","NA","No","No","No","NA","20000",5000.0,"Black","Black","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Desk","No","Does not play music","No lighting","For sale","FtrAntiqueBureau_Remake_2_0","2_0",3956.0,"nTM9BgbxMArEAuPda"
"antique chair","Brown","NA","NA","NA","No","No","No","NA","10000",2500.0,"Brown","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrAntiqueChairS_Remake_0_0","0_0",3950.0,"gzBvzGmkCqvaa4dfg"
"antique chair","Natural","NA","NA","NA","No","No","No","NA","10000",2500.0,"Beige","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrAntiqueChairS_Remake_1_0","1_0",3950.0,"d4oC34hgWHdZAv8dT"
"antique chair","Black","NA","NA","NA","No","No","No","NA","10000",2500.0,"Black","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrAntiqueChairS_Remake_2_0","2_0",3950.0,"eCZttstT4S3Tr4ZSj"
"antique clock","Brown","NA","NA","NA","No","No","No","NA","44000",11000.0,"Brown","Yellow","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Clock","No","Does not play music","No lighting","For sale","FtrAntiqueClock_Remake_0_0","0_0",3954.0,"54WzSWz3bv4j4279w"
"antique clock","Natural","NA","NA","NA","No","No","No","NA","44000",11000.0,"Beige","Yellow","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Clock","No","Does not play music","No lighting","For sale","FtrAntiqueClock_Remake_1_0","1_0",3954.0,"aPDaateHnZ2K7rnCX"
"antique clock","Black","NA","NA","NA","No","No","No","NA","44000",11000.0,"Black","Yellow","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Clock","No","Does not play music","No lighting","For sale","FtrAntiqueClock_Remake_2_0","2_0",3954.0,"prDor5kTcy7ahzz5c"
"antique console table","Brown","NA","NA","NA","No","No","No","NA","17000",4250.0,"Brown","Brown","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueConsole_Remake_0_0","0_0",3951.0,"kKSfnnXLBk2BMbWEo"
"antique console table","Natural","NA","NA","NA","No","No","No","NA","17000",4250.0,"Beige","Beige","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueConsole_Remake_1_0","1_0",3951.0,"SBphLepffHinkmtPf"
"antique console table","Black","NA","NA","NA","No","No","No","NA","17000",4250.0,"Black","Black","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueConsole_Remake_2_0","2_0",3951.0,"7i4eJMFhi2gzqMEZ8"
"antique mini table","Brown","NA","NA","NA","No","No","No","NA","6700",1675.0,"Brown","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueTableS_Remake_0_0","0_0",3958.0,"WZyBrwSZD4wZtqcBJ"
"antique mini table","Natural","NA","NA","NA","No","No","No","NA","6700",1675.0,"Beige","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueTableS_Remake_1_0","1_0",3958.0,"epWuBMh226r3nu7xh"
"antique mini table","Black","NA","NA","NA","No","No","No","NA","6700",1675.0,"Black","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueTableS_Remake_2_0","2_0",3958.0,"2n955ZXXD3RXt9gjE"
"antique table","Brown","NA","NA","NA","No","No","No","NA","25000",6250.0,"Brown","Brown","2x2","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueTableL_Remake_0_0","0_0",3952.0,"F4jrEYe9x7W4E2wYE"
"antique table","Natural","NA","NA","NA","No","No","No","NA","25000",6250.0,"Beige","Beige","2x2","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueTableL_Remake_1_0","1_0",3952.0,"ptPHtvKpF2JCkS9Zw"
"antique table","Black","NA","NA","NA","No","No","No","NA","25000",6250.0,"Black","Black","2x2","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Table","No","Does not play music","No lighting","For sale","FtrAntiqueTableL_Remake_2_0","2_0",3952.0,"x2K5wv9K8qGXcmukB"
"antique vanity","Brown","NA","NA","NA","No","No","No","NA","31000",7750.0,"Brown","Light blue","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Dresser","No","Does not play music","No lighting","For sale","FtrAntiqueDresser_Remake_0_0","0_0",3955.0,"qLtWDehmX53gwgha7"
"antique vanity","Natural","NA","NA","NA","No","No","No","NA","31000",7750.0,"Beige","Light blue","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Dresser","No","Does not play music","No lighting","For sale","FtrAntiqueDresser_Remake_1_0","1_0",3955.0,"2bRbENZWkM9BeuiwZ"
"antique vanity","Black","NA","NA","NA","No","No","No","NA","31000",7750.0,"Black","Light blue","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Yes","Dresser","No","Does not play music","No lighting","For sale","FtrAntiqueDresser_Remake_2_0","2_0",3955.0,"b5MR8PraRhrJzsqYi"
"antique wardrobe","Brown","NA","NA","NA","No","No","No","NA","37000",9250.0,"Brown","Brown","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Wardrobe","Chest","No","Does not play music","No lighting","For sale","FtrAntiqueChest_Remake_0_0","0_0",3959.0,"XAnaYsJ8wouWyBBsu"
"antique wardrobe","Natural","NA","NA","NA","No","No","No","NA","37000",9250.0,"Beige","Beige","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Wardrobe","Chest","No","Does not play music","No lighting","For sale","FtrAntiqueChest_Remake_1_0","1_0",3959.0,"yBtLh6CtFrGD4qTTF"
"antique wardrobe","Black","NA","NA","NA","No","No","No","NA","37000",9250.0,"Black","Black","2x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","Wardrobe","Chest","No","Does not play music","No lighting","For sale","FtrAntiqueChest_Remake_2_0","2_0",3959.0,"Tjvexu4etCrRoAAw4"
"apple chair","Red apple","Fruit type","NA","NA","Yes","Yes","No","4","NFS",2480.0,"Red","Yellow","1x1","NA","Crafting",,"1.0.0","fancy","None","fruits","apple","Yes","Chair","No","Does not play music","No lighting","Not for sale","FtrFruitsChairApple_Remake_0_0","0_0",4134.0,"qonCdPiLCmFNtYMsG"
"apple chair","Green apple","Fruit type","NA","NA","Yes","Yes","No","4","NFS",2480.0,"Green","Yellow","1x1","NA","Crafting",,"1.0.0","fancy","None","fruits","apple","Yes","Chair","No","Does not play music","No lighting","Not for sale","FtrFruitsChairApple_Remake_1_0","1_0",4134.0,"rjPaqoEyZ2FHDjbkn"
"Aquarius urn","NA","NA","NA","NA","Yes","No","No","NA","NFS",22125.0,"White","Yellow","1x1","NA","Crafting",,"1.0.0","expensive","bathroom","stars","None","No","Bathroom Things","No","Does not play music","No lighting","Not for sale","FtrZodiacAquarius","NA",5956.0,"dYz86HHwPAWYn5c3Z"
"arcade combat game","NA","NA","NA","NA","No","No","No","NA","64000",16000.0,"White","Blue","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","facility","shop","None","None","Yes","Toy","No","Does not play music","Monitor","For sale","FtrArcadegameShooting","NA",8226.0,"f7tatK2cmYwskb5LS"
"arcade fighting game","NA","NA","NA","NA","No","No","No","NA","64000",16000.0,"White","Red","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","facility","shop","None","None","Yes","Toy","No","Does not play music","Monitor","For sale","FtrArcadegameFight","NA",8225.0,"3CKqHScHJuqbW7e4u"
"arcade mahjong game","NA","NA","NA","NA","No","No","No","NA","64000",16000.0,"White","Green","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","facility","shop","None","None","Yes","Toy","No","Does not play music","Monitor","For sale","FtrArcadegameMahjong","NA",8227.0,"vNB5LbWmPm2uQhdjo"
"arcade seat","Red","NA","NA","NA","No","No","No","NA","1300",325.0,"Red","Gray","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","facility","shop","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrGameChair_Remake_0_0","0_0",12207.0,"BHxt8Xrz3RxHAq45c"
"arcade seat","Gray","NA","NA","NA","No","No","No","NA","1300",325.0,"Gray","Gray","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","facility","shop","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrGameChair_Remake_1_0","1_0",12207.0,"qvAcGrMSRKdMPWZAF"
"arcade seat","Blue","NA","NA","NA","No","No","No","NA","1300",325.0,"Blue","Gray","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","facility","shop","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrGameChair_Remake_2_0","2_0",12207.0,"DZ3hFRhqZ5W62XQ4C"
"Aries rocking chair","NA","NA","NA","NA","Yes","No","No","NA","NFS",12125.0,"White","Yellow","1x1","NA","Crafting",,"1.0.0","expensive","fancy","stars","None","Yes","Toy","No","Does not play music","No lighting","Not for sale","FtrZodiacAries","NA",5954.0,"MLxrGfmKBYNQoqYYu"
"artisanal bug cage","NA","NA","NA","NA","No","No","No","NA","NFS",450.0,"Brown","Brown","2x1","NA","Bug-Off",,"1.0.0","garden","facility","None","None","Wardrobe","Ranch","Yes","Does not play music","No lighting","Not for sale","FtrEventobjInsectBox","NA",7839.0,"GsEBBC4JpEgwjgv6e"
"asteroid","NA","NA","NA","NA","Yes","No","No","NA","NFS",4000.0,"Black","Black","1x1","NA","Crafting",,"1.0.0","space","facility","None","None","Yes","Space","Yes","Does not play music","No lighting","Not for sale","FtrMeteo","NA",1439.0,"oAQNzhuKcCvh4E9a4"
"astronaut suit","NA","NA","NA","NA","Yes","No","No","NA","NFS",6250.0,"White","Black","1x1","NA","Crafting",,"1.0.0","space","None","None","None","No","Space","Yes","Does not play music","No lighting","Not for sale","FtrSpacesuit","NA",1445.0,"mBhzWedMXNB5HSrKa"
"automatic washer","White","NA","NA","NA","No","No","No","NA","4500",1125.0,"White","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","bathroom","None","None","None","Yes","Home Appliances","No","Does not play music","No lighting","For sale","FtrWashingmachine_Remake_0_0","0_0",2740.0,"4YqpCyGk4ndhAWjS8"
"automatic washer","Pink","NA","NA","NA","No","No","No","NA","4500",1125.0,"Red","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","bathroom","None","None","None","Yes","Home Appliances","No","Does not play music","No lighting","For sale","FtrWashingmachine_Remake_1_0","1_0",2740.0,"wdpzZgQz8aJvnkY33"
"automatic washer","Blue","NA","NA","NA","No","No","No","NA","4500",1125.0,"Blue","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","bathroom","None","None","None","Yes","Home Appliances","No","Does not play music","No lighting","For sale","FtrWashingmachine_Remake_2_0","2_0",2740.0,"vCcK4sAa2HDC2cLQG"
"automatic washer","Green","NA","NA","NA","No","No","No","NA","4500",1125.0,"Green","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","bathroom","None","None","None","Yes","Home Appliances","No","Does not play music","No lighting","For sale","FtrWashingmachine_Remake_3_0","3_0",2740.0,"xwWJ4q9SvKAkwKAf9"
"automatic washer","Yellow","NA","NA","NA","No","No","No","NA","4500",1125.0,"Yellow","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","bathroom","None","None","None","Yes","Home Appliances","No","Does not play music","No lighting","For sale","FtrWashingmachine_Remake_4_0","4_0",2740.0,"uKASWdnn2i8tv3W9G"
"automatic washer","Black","NA","NA","NA","No","No","No","NA","4500",1125.0,"Black","Black","1x1","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","bathroom","None","None","None","Yes","Home Appliances","No","Does not play music","No lighting","For sale","FtrWashingmachine_Remake_5_0","5_0",2740.0,"z8zJrXKQxbrLnXXLv"
"baby chair","Red","NA","Bear","Cushion","No","No","Yes","1","1200",300.0,"Red","Colorful","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","child's room","None","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrBabychair_Remake_0_0","0_0",3305.0,"uzH4uc5wXZiAeRrDx"
"baby chair","Red","NA","Strawberry","Cushion","No","No","Yes","1","1200",300.0,"Red","Colorful","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","child's room","None","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrBabychair_Remake_0_1","0_1",3305.0,"Mzjo4jFrqZdhCPTR3"
"baby chair","Red","NA","Butterfly","Cushion","No","No","Yes","1","1200",300.0,"Red","Orange","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","child's room","None","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrBabychair_Remake_0_2","0_2",3305.0,"SNPkuumtp6rc7Df7k"
"baby chair","Red","NA","Train","Cushion","No","No","Yes","1","1200",300.0,"Red","Colorful","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","child's room","None","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrBabychair_Remake_0_3","0_3",3305.0,"9g8Jq3bPaDbew3GZg"
"baby chair","Red","NA","Paw print","Cushion","No","No","Yes","1","1200",300.0,"Red","Colorful","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","child's room","None","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrBabychair_Remake_0_4","0_4",3305.0,"imMXebxofRWTiDB2y"
"baby chair","Pink","NA","Bear","Cushion","No","No","Yes","1","1200",300.0,"Pink","Colorful","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","child's room","None","None","None","Yes","Chair","No","Does not play music","No lighting","For sale","FtrBabychair_Remake_1_0","1_0",3305.0,"QRHpTEn6WNZZxv8bd"
