"name","variation","diy","buy","sell","color_1","color_2","size","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"belted wraparound skirt","Yellow","No","1040",260.0,"Yellow","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy","No","For sale","BottomsTexSkirtLongWrap0",4545.0,"6j99icX2C8n2NQSxe"
"belted wraparound skirt","Red","No","1040",260.0,"Red","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy","No","For sale","BottomsTexSkirtLongWrap1",8721.0,"TuKyTJdQckfqf2nae"
"belted wraparound skirt","Green","No","1040",260.0,"Green","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy","No","For sale","BottomsTexSkirtLongWrap2",8722.0,"FCtNFz4XG85wdDcbu"
"belted wraparound skirt","Blue","No","1040",260.0,"Blue","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy","No","For sale","BottomsTexSkirtLongWrap3",8723.0,"Z3y37JrC5nnCjyFgC"
"boa shorts","Purple","No","1200",300.0,"Purple","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexPantsHalfBoa0",5419.0,"hHHSAxKeTKy94FrLh"
"boa shorts","Avocado","No","1200",300.0,"Green","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexPantsHalfBoa1",9114.0,"diDTCzmh2EfcQ8Est"
"boa shorts","Beige","No","1200",300.0,"Beige","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexPantsHalfBoa2",9115.0,"rxrscQDTFaB6T3CS3"
"boa shorts","Blue","No","1200",300.0,"Blue","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexPantsHalfBoa3",9116.0,"uNMeoCpWFsgQnhyGJ"
"boa shorts","Red","No","1200",300.0,"Red","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexPantsHalfBoa4",9117.0,"Ydd3mZGaYrNupaAop"
"boa shorts","Orange","No","1200",300.0,"Orange","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","Yes","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexPantsHalfBoa5",9118.0,"nmpe6DS922LwufDP5"
"boa shorts","Peacock blue","No","1200",300.0,"Light blue","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexPantsHalfBoa6",9119.0,"y3bqMB4hjKdxHjeRQ"
"boa shorts","Black","No","1200",300.0,"Black","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexPantsHalfBoa7",9120.0,"3Z3cYyfhRkhmDKKKP"
"boa skirt","Green","No","1300",325.0,"Green","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxBoa0",5418.0,"nFzxYepHxpSzdLHrw"
"boa skirt","Blue","No","1300",325.0,"Blue","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxBoa1",9107.0,"MYjHWe4KXX2bDwP6k"
"boa skirt","Purple","No","1300",325.0,"Purple","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxBoa2",9108.0,"eSPxEhawpKLm2ceMk"
"boa skirt","Red","No","1300",325.0,"Red","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxBoa3",9109.0,"ef7PeMEWM8geRb2JX"
"boa skirt","Yellow","No","1300",325.0,"Yellow","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxBoa4",9110.0,"sBZFNvhEg4Bsi8WLM"
"boa skirt","Light blue","No","1300",325.0,"Light blue","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxBoa5",9111.0,"JzeKHWEDDS5k9KpBy"
"boa skirt","Beige","No","1300",325.0,"Beige","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxBoa6",9112.0,"GtiB2HMiy56rLvCYA"
"boa skirt","Brown","No","1300",325.0,"Brown","Black","1x1","Able Sisters","Available from Able Sisters shop only","Winter","Yes","1.0.0","Active","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxBoa7",9113.0,"uDTLrmXkDEqToQbJ3"
"bomber-style skirt","Avocado","No","1320",330.0,"Green","Green","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtLongMaone0",5722.0,"jhqr7bGfmAXM6uK3x"
"bomber-style skirt","Black","No","1320",330.0,"Black","Black","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtLongMaone1",11663.0,"Bp7H3PBvjLpJycCqv"
"bomber-style skirt","Blue","No","1320",330.0,"Blue","Blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtLongMaone2",11664.0,"EQerBX3MAFt27siGH"
"bomber-style skirt","Brown","No","1320",330.0,"Brown","Brown","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtLongMaone3",11665.0,"xy5EjisA8WfpzSGcW"
"botanical shorts","Black","No","700",175.0,"Black","Red","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cool","comfy; vacation","No","For sale","BottomsTexPantsHalfBotanical0",5854.0,"kFwQPwqhakmXTPHC2"
"botanical shorts","White","No","700",175.0,"White","Red","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cool","comfy; vacation","No","For sale","BottomsTexPantsHalfBotanical1",9193.0,"iDnWPtRoBpziJEEwt"
"box-pleated skirt","Light blue","No","1320",330.0,"Light blue","Light blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; vacation","No","For sale","BottomsTexSkirtBoxBoxpleats0",5703.0,"Rwte5DmWEbaQdQgqu"
"box-pleated skirt","Beige","No","1320",330.0,"Beige","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; vacation","No","For sale","BottomsTexSkirtBoxBoxpleats1",11786.0,"MXmzA39FLKtQzzCpv"
"box-pleated skirt","Red","No","1320",330.0,"Red","Red","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; vacation","No","For sale","BottomsTexSkirtBoxBoxpleats2",11787.0,"KxYmNHwegBmRL9uxJ"
"box-pleated skirt","Green","No","1320",330.0,"Green","Green","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; vacation","No","For sale","BottomsTexSkirtBoxBoxpleats3",11788.0,"LrqFHr8zsLgjDoBtZ"
"buttoned lace skirt","Yellow","No","1200",300.0,"Yellow","Yellow","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Simple","everyday; fairy tale; comfy; vacation","No","For sale","BottomsTexSkirtLongLace0",5421.0,"n4JbiQzu22rdtdy9a"
"buttoned lace skirt","White","No","1200",300.0,"White","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","Yes","1.0.0","Simple","everyday; fairy tale; comfy; vacation","No","For sale","BottomsTexSkirtLongLace1",8727.0,"hYFNGFXqrvmujTJJm"
"buttoned lace skirt","Pink","No","1200",300.0,"Pink","Pink","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Simple","everyday; fairy tale; comfy; vacation","No","For sale","BottomsTexSkirtLongLace2",8728.0,"sJnpKrkWcAxGxoaix"
"buttoned lace skirt","Green","No","1200",300.0,"Green","Green","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Simple","everyday; fairy tale; comfy; vacation","No","For sale","BottomsTexSkirtLongLace3",8729.0,"MYzQEa7dvMqmrWLN7"
"buttoned lace skirt","Purple","No","1200",300.0,"Purple","Purple","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Simple","everyday; fairy tale; comfy; vacation","No","For sale","BottomsTexSkirtLongLace4",8730.0,"tkit3npe9HwdDufJQ"
"buttoned wraparound skirt","Gray","No","1820",455.0,"Gray","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Elegant","everyday; formal","No","For sale","BottomsTexSkirtLongWrapbicolor0",5816.0,"MeqvzbNAieKTjMAgF"
"buttoned wraparound skirt","Blue","No","1820",455.0,"Blue","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","No","For sale","BottomsTexSkirtLongWrapbicolor1",8731.0,"YYgfpmdbXNoCFzBmw"
"buttoned wraparound skirt","Orange","No","1820",455.0,"Orange","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","No","For sale","BottomsTexSkirtLongWrapbicolor2",8732.0,"ypymB5aMKxZStb8ch"
"buttoned wraparound skirt","Pink","No","1820",455.0,"Pink","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","No","For sale","BottomsTexSkirtLongWrapbicolor3",8733.0,"rEFFT7saJTdTb6kG8"
"buttoned wraparound skirt","Green","No","1820",455.0,"Green","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","No","For sale","BottomsTexSkirtLongWrapbicolor4",8734.0,"JCkkAtMCEr6kaRwaH"
"buttoned wraparound skirt","Purple","No","1820",455.0,"Purple","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","No","For sale","BottomsTexSkirtLongWrapbicolor5",8735.0,"BEqJbSTipj8WRGE55"
"camo pants","Brown","No","1300",325.0,"Brown","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalCamouflage0",3342.0,"aNFpYieN49dxPKyYy"
"camo pants","Avocado","No","1300",325.0,"Green","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalCamouflage1",10185.0,"qtsT4H3FaWL6rb8Pp"
"camo pants","Pink","No","1300",325.0,"Pink","Brown","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalCamouflage2",10186.0,"nXT2XiJEx3CHegAip"
"camo pants","Blue","No","1300",325.0,"Blue","Light blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalCamouflage3",10187.0,"26N6fryHPqE2DNxTR"
"camo pants","Gray","No","1300",325.0,"Gray","Black","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalCamouflage4",10188.0,"EAtqzquCLivjkZhWr"
"camo pants","Purple","No","1300",325.0,"Purple","Purple","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalCamouflage5",10189.0,"H86rkRrvcpRorAzTf"
"camo pants","Red","No","1300",325.0,"Red","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalCamouflage6",10190.0,"5dYWfib2BWXgC3Rc4"
"camo skirt","Brown","No","1300",325.0,"Brown","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxCamo0",4434.0,"q5c559aFcRKoBNr4w"
"camo skirt","Avocado","No","1300",325.0,"Green","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxCamo1",11322.0,"GvqcgrFieJhgy5Jpw"
"camo skirt","Pink","No","1300",325.0,"Pink","Brown","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxCamo2",11323.0,"oz3YufzmPiL39q4CM"
"camo skirt","Blue","No","1300",325.0,"Blue","Light blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxCamo3",11324.0,"HpyMqkJ4oWAietZmq"
"camo skirt","Gray","No","1300",325.0,"Gray","Black","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxCamo4",11325.0,"tZTrTGhi5YdxdNi8f"
"camo skirt","Purple","No","1300",325.0,"Purple","Purple","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxCamo5",11326.0,"BNhmc7m6TBukQNosf"
"camo skirt","Red","No","1300",325.0,"Red","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday; outdoorsy","No","For sale","BottomsTexSkirtBoxCamo6",11327.0,"5vPqqjmwqkMBLpm8y"
"career skirt","Gray","No","1560",390.0,"Gray","Gray","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","formal; work","No","For sale","BottomsTexSkirtBoxCareer0",4504.0,"nPFtncH3euNHGz2dj"
"career skirt","Beige","No","1560",390.0,"Beige","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","formal; work","No","For sale","BottomsTexSkirtBoxCareer1",11347.0,"vGt7atvSCh9Qy7Mm7"
"career skirt","Peach","No","1560",390.0,"Pink","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","formal; work","No","For sale","BottomsTexSkirtBoxCareer2",11348.0,"adRgkTRKLohGw8obF"
"career skirt","Light blue","No","1560",390.0,"Light blue","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","formal; work","No","For sale","BottomsTexSkirtBoxCareer3",11349.0,"xNYdSrxuyczCSKPGi"
"career skirt","Pink","No","1560",390.0,"Pink","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","formal; work","No","For sale","BottomsTexSkirtBoxCareer4",11350.0,"tWpAfzeAvq8FBxtTW"
"career skirt","Green","No","1560",390.0,"Green","Green","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","formal; work","No","For sale","BottomsTexSkirtBoxCareer5",11351.0,"LgL59ZfDAre6HTfSx"
"career skirt","Blue","No","1560",390.0,"Blue","Blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","formal; work","No","For sale","BottomsTexSkirtBoxCareer6",11352.0,"86ca36YiBEuZeEvRS"
"career skirt","Red","No","1560",390.0,"Red","Red","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","formal; work","No","For sale","BottomsTexSkirtBoxCareer7",11353.0,"jcZP8k8ETAgyyiuh5"
"cargo pants","Avocado","No","770",192.0,"Green","Green","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Simple","everyday; outdoorsy","No","For sale","BottomsTexPantsWideCargo0",3351.0,"DDAHZHuS496kgxWwH"
"cargo pants","Beige","No","770",192.0,"Beige","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy","No","For sale","BottomsTexPantsWideCargo1",9703.0,"Fp3ffEayi79Wh6bQ7"
"cargo pants","Navy blue","No","770",192.0,"Blue","Blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy","No","For sale","BottomsTexPantsWideCargo2",9704.0,"E9cHhMTiduzizSpsM"
"cargo pants","Mustard","No","770",192.0,"Yellow","Yellow","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy","No","For sale","BottomsTexPantsWideCargo3",9705.0,"eG7sZuGE2wp7or2Rq"
"cargo pants","Brown","No","770",192.0,"Brown","Brown","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy","No","For sale","BottomsTexPantsWideCargo4",9706.0,"oJGyRjQePhaFecQsd"
"cargo shorts","Beige","No","1080",270.0,"Beige","Beige","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy; comfy; vacation","No","For sale","BottomsTexPantsHalfCargo0",4150.0,"YcGuBwEQnJECddEic"
"cargo shorts","Navy blue","No","1080",270.0,"Blue","Blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy; comfy; vacation","No","For sale","BottomsTexPantsHalfCargo1",8835.0,"vEnqBX2onCbeNqtit"
"cargo shorts","Avocado","No","1080",270.0,"Green","Green","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy; comfy; vacation","No","For sale","BottomsTexPantsHalfCargo2",8836.0,"kNKe7u4ZsvCie9ENh"
"cargo shorts","Camel","No","1080",270.0,"Yellow","Yellow","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy; comfy; vacation","No","For sale","BottomsTexPantsHalfCargo3",8837.0,"XfSgGJoDQJY77dQhg"
