"index","name","sell","where_how","shadow","total_catches_to_unlock","spawn_rates","rain_snow_catch_up","nh_jan","nh_feb","nh_mar","nh_apr","nh_may","nh_jun","nh_jul","nh_aug","nh_sep","nh_oct","nh_nov","nh_dec","sh_jan","sh_feb","sh_mar","sh_apr","sh_may","sh_jun","sh_jul","sh_aug","sh_sep","sh_oct","sh_nov","sh_dec","color_1","color_2","size","lighting_type","icon_filename","critterpedia_filename","furniture_filename","internal_id","unique_entry_id"
20.0,"bluegill",180.0,"River","Small",0.0,"6–10","No","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","Blue","Black","1x1","No lighting","Fish17","FishBlueguill","FtrFishBlueguill",2232.0,"8ygccYFCrWf4hwYGR"
51.0,"butterfly fish",1000.0,"Sea","Small",0.0,"4–5","No","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","All day","All day","Yellow","Black","1x1","Fluorescent","Fish42","FishChouchouuo","FtrFishChouchouuo",2259.0,"S4rkio2M3WB5cyy8Y"
5.0,"carp",300.0,"Pond","Large",0.0,"3–9","No","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Gray","Black","1x1","Fluorescent","Fish5","FishKoi","FtrFishKoi",2219.0,"4DwwvGDwPQvZTn9Fb"
18.0,"catfish",800.0,"Pond","Large",0.0,"6–8","No","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","Black","Black","1x1","Fluorescent","Fish14","FishNamazu","FtrFishNamazu",2229.0,"nbPtvwf7HCQxA9Nc4"
28.0,"char",3800.0,"River (clifftop)","Medium",20.0,"1–4","No","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Brown","Black","1x1","Fluorescent","Fish24","FishOoiwana","FtrFishOoiwana",2239.0,"ahbnwCqp3EZXa96KC"
27.0,"cherry salmon",1000.0,"River (clifftop)","Medium",0.0,"3–9","No","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Brown","Black","1x1","Fluorescent","Fish23","FishYamame","FtrFishYamame",2238.0,"sJyBbeLbpzn7LyzFr"
49.0,"clown fish",650.0,"Sea","X-Small",0.0,"5–6","No","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","All day","All day","Orange","Black","1x1","Fluorescent","Fish40","FishKumanomi","FtrFishKumanomi",2257.0,"L9qxZaMoBhwxvpMyh"
80.0,"coelacanth",15000.0,"Sea (rainy days)","XX-Large",100.0,"1–2","Yes","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Black","Black","2x1","Fluorescent","Fish63","FishSirakansu","FtrFishSirakansu",2284.0,"NjMZQ6Xi9NswEXnHH"
11.0,"crawfish",200.0,"Pond","Small",0.0,"4–12","No","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","All day","All day","Red","Black","1x1","Fluorescent","Fish10","FishZarigani","FtrFishZarigani",2223.0,"W7TrwpycmfgniZipi"
3.0,"crucian carp",160.0,"River","Small",0.0,"4–12","No","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Brown","Black","1x1","Fluorescent","Fish2","FishFuna","FtrFishFuna",328.0,"Pdw7vmJz9PRM4ggbf"
61.0,"dab",300.0,"Sea","Medium",0.0,"11–14","No","All day","All day","All day","All day","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","All day","All day","All day","All day","NA","NA","Brown","Black","1x1","Fluorescent","Fish50","FishKarei","FtrFishKarei",2268.0,"noA2Kfp8TaFgaLs5n"
4.0,"dace",240.0,"River","Medium",0.0,"3–10","No","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Brown","Black","1x1","Fluorescent","Fish3","FishUgui","FtrFishUgui",2217.0,"dWmXFdnjByWT5nEok"
42.0,"dorado",15000.0,"River","X-Large",100.0,"1–2","No","NA","NA","NA","NA","NA","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","NA","NA","NA","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","NA","NA","NA","NA","NA","NA","NA","NA","4 AM – 9 PM","Yellow","Black","2x1","Fluorescent","Fish34","FishDolado","FtrFishDolado",2251.0,"G7ZwD67cRMHBwTSKH"
77.0,"football fish",2500.0,"Sea","Large",20.0,"6","No","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","Black","Black","2x1","Emission","Fish56","FishChouchinankou","FtrFishChouchinankou",2273.0,"vQHfve6DygtcYqwdi"
16.0,"freshwater goby",400.0,"River","Small",0.0,"2–5","No","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Brown","Black","1x1","Fluorescent","Fish12","FishDonko","FtrFishDonko",2227.0,"SfXYNdtaid6hdQhvZ"
15.0,"frog",120.0,"Pond","Small",0.0,"7–9","No","NA","NA","NA","NA","All day","All day","All day","All day","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","All day","All day","Green","Black","1x1","Fluorescent","Fish11","FishKaeru","FtrFishKaeru",2226.0,"LcQLs85qPPdLajLje"
43.0,"gar",6000.0,"Pond","X-Large",50.0,"1–2","No","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","Brown","Black","2x1","Fluorescent","Fish35","FishGa","FtrFishGa",2252.0,"x5yAYQgMJW9Kf7WyM"
19.0,"giant snakehead",5500.0,"Pond","Large",50.0,"2","No","NA","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","9 AM – 4 PM","Black","Black","2x1","Fluorescent","Fish16","FishRaigyo","FtrFishRaigyo",2231.0,"KyWQRd8W2FePM42wB"
68.0,"giant trevally",4500.0,"Pier","X-Large",20.0,"1","No","NA","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","NA","All day","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","All day","Black","Black","2x1","Fluorescent","Fish70","FishRouninaji","FtrFishGT",2276.0,"53qtm8cMH4RfqJiAH"
29.0,"golden trout",15000.0,"River (clifftop)","Medium",100.0,"1","No","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","Brown","Black","1x1","Fluorescent","Fish79","FishGoldenTorauto","FtrFishGoldenTorauto",4193.0,"wwGzR7FzWNJ7cDz9X"
7.0,"goldfish",1300.0,"Pond","X-Small",0.0,"1–4","No","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Red","Light blue","1x1","No lighting","Fish7","FishKingyo","FtrFishKingyo",329.0,"5NwmwhEQxBNZCPiBR"
74.0,"great white shark",15000.0,"Sea","Large w/Fin",50.0,"2","Yes","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","Blue","Blue","3x2","No lighting","Fish62","FishSame","FtrFishSame",2280.0,"EPypAeJGuTDGFJRnx"
34.0,"guppy",1300.0,"River","X-Small",0.0,"2–3","No","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","Blue","Black","1x1","Fluorescent","Fish29","FishGuppi","FtrFishGuppi",2245.0,"WtdZnARNxnWRobej2"
73.0,"hammerhead shark",8000.0,"Sea","Large w/Fin",20.0,"1","Yes","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","Black","Black","2x1","Fluorescent","Fish61","FishShumokuzame","FtrFishShumokuzame",2279.0,"guHT5g6H7tJEyqYzf"
57.0,"horse mackerel",150.0,"Sea","Small",0.0,"14–21","No","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Blue","Black","1x1","Fluorescent","Fish46","FishAji","FtrFishAji",2264.0,"L24RYPaEcm9ZXkTui"
10.0,"killifish",300.0,"Pond","X-Small",0.0,"3–4","No","NA","NA","NA","All day","All day","All day","All day","All day","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","NA","NA","NA","All day","All day","All day","Yellow","Black","1x1","Fluorescent","Fish9","FishMedaka","FtrFishMedaka",2222.0,"ZR9dsEApEXCjtXu3k"
32.0,"king salmon",1800.0,"River (mouth)","X-Large",20.0,"5","No","NA","NA","NA","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","Gray","Black","2x1","Fluorescent","Fish28","FishKingsalmon","FtrFishKingsalmon",2243.0,"Pf5cXKo8pzdB45rAA"
6.0,"koi",4000.0,"Pond","Large",20.0,"1–4","No","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Red","White","1x1","Fluorescent","Fish6","FishNishikigoi","FtrFishNishikigoi",2220.0,"kNwjLeqjg8bFevfiG"
17.0,"loach",400.0,"River","Small",0.0,"12–16","No","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","All day","All day","All day","NA","Brown","Blue","1x1","No lighting","Fish13","FishDojou","FtrFishDojou",2228.0,"95yBKrQ4tdyWj4H25"
69.0,"mahi-mahi",6000.0,"Pier","X-Large",50.0,"1","Yes","NA","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","NA","All day","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","All day","Yellow","Black","2x1","Fluorescent","Fish82","FishShiira","FtrFishShiira",4202.0,"D7gY39QDo8BBNs2Ne"
33.0,"mitten crab",2000.0,"River","Small",20.0,"3–5","No","NA","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","Black","Blue","1x1","No lighting","Fish66","FishSyanhaigani","FtrFishShanghai",2244.0,"s2jqSYbMWBX6qCLDm"
64.0,"moray eel",2000.0,"Sea","Long",20.0,"2","No","NA","NA","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","Brown","Black","2x1","Fluorescent","Fish55","FishUtsubo","FtrFishUtsubo",2271.0,"4nLynLTMRtoqcCfh4"
52.0,"Napoleonfish",10000.0,"Sea","XX-Large",50.0,"1","Yes","NA","NA","NA","NA","NA","NA","4 AM – 9 PM","4 AM – 9 PM","NA","NA","NA","NA","4 AM – 9 PM","4 AM – 9 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Light blue","Black","2x1","Fluorescent","Fish43","FishNaporeonfish","FtrFishNaporeonfish",2260.0,"dm4THC3AYR6CZ8bvJ"
38.0,"neon tetra",500.0,"River","X-Small",0.0,"2–3","No","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","Light blue","Black","1x1","Fluorescent","Fish31","FishNeontetora","FtrFishNeontetora",2248.0,"aEyRb96wcz9m8yjFN"
35.0,"nibble fish",1500.0,"River","X-Small",20.0,"2","No","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","NA","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","Brown","Blue","1x1","No lighting","Fish67","FishDokutaafish","FtrFishDoctor",2246.0,"pkPKYsMiXsTWNz4L4"
78.0,"oarfish",9000.0,"Sea","XX-Large",50.0,"1","Yes","All day","All day","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","Red","Blue","3x2","No lighting","Fish69","FishRyuuguunotukai","FtrFishRyugu",2283.0,"qgvEPGk759xaBqwXP"
70.0,"ocean sunfish",4000.0,"Sea","Large w/Fin",20.0,"1","Yes","NA","NA","NA","NA","NA","NA","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","NA","NA","NA","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","Blue","Orange","2x2","No lighting","Fish60","FishManbou","FtrFishManbou",2278.0,"6BwK6LHbjFAKzgE82"
62.0,"olive flounder",800.0,"Sea","X-Large",0.0,"4–6","No","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Beige","Black","2x1","Fluorescent","Fish51","FishHirame","FtrFishHirame",2269.0,"TXSteKMHuQ9ZfqPXm"
2.0,"pale chub",200.0,"River","X-Small",0.0,"6–9","No","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","Blue","Blue","1x1","No lighting","Fish1","FishOikawa","FtrFishOikawa",2216.0,"pCn9TLap3rWiLYfnF"
24.0,"pike",1800.0,"River","X-Large",20.0,"1–2","No","NA","NA","NA","NA","NA","NA","NA","NA","All day","All day","All day","All day","NA","NA","All day","All day","All day","All day","NA","NA","NA","NA","NA","NA","Green","Black","2x1","Fluorescent","Fish20","FishPaiku","FtrFishPaiku",2235.0,"XxrB6iKQPhBkYKaXD"
40.0,"piranha",2500.0,"River","Small",20.0,"1–3","No","NA","NA","NA","NA","NA","9 AM – 4 PM; 9 PM – 4 AM","9 AM – 4 PM; 9 PM – 4 AM","9 AM – 4 PM; 9 PM – 4 AM","9 AM – 4 PM; 9 PM – 4 AM","NA","NA","NA","9 AM – 4 PM; 9 PM – 4 AM","9 AM – 4 PM; 9 PM – 4 AM","9 AM – 4 PM; 9 PM – 4 AM","NA","NA","NA","NA","NA","NA","NA","NA","9 AM – 4 PM; 9 PM – 4 AM","Green","Black","1x1","Fluorescent","Fish32","FishPirania","FtrFishPirania",2249.0,"5C59HAFxmwNSjH4Zq"
25.0,"pond smelt",400.0,"River","Small",0.0,"18–20","No","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","Orange","Blue","1x1","No lighting","Fish21","FishWakasagi","FtrFishWakasagi",2236.0,"DDb2GPEjapPmbYbWG"
8.0,"pop-eyed goldfish",1300.0,"Pond","X-Small",0.0,"1–2","No","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","Black","Light blue","1x1","No lighting","Fish8","FishDemekin","FtrFishDemekin",2221.0,"RvqzuA438gGqRJ7NG"
55.0,"puffer fish",250.0,"Sea","Medium",0.0,"7–8","No","NA","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beige","Black","1x1","Fluorescent","Fish45","FishHarisenbon","FtrFishHarisenbon",2263.0,"jNkgaybfSsv8MkaQ2"
39.0,"rainbowfish",800.0,"River","X-Small",0.0,"2–3","No","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","Orange","Black","1x1","Fluorescent","Fish80","FishRainbowfish","FtrFishRainbowfish",4194.0,"XJfkdS4C2MPYiscST"
9.0,"ranchu goldfish",4500.0,"Pond","Small",20.0,"1–2","No","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","Red","Black","1x1","No lighting","Fish85","FishRanchu","FtrFishRanchu",5254.0,"4NE2SteWKEaBYjgWb"
71.0,"ray",3000.0,"Sea","X-Large",20.0,"2","No","NA","NA","NA","NA","NA","NA","NA","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","NA","NA","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","NA","NA","NA","NA","NA","NA","NA","Brown","Black","2x1","Fluorescent","Fish59","FishEi","FtrFishEi",2277.0,"gP5F7wWFvFqiZzuGw"
