"name","variation","diy","buy","sell","color_1","color_2","size","miles_price","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"apron","Gray","No","840",210.0,"Gray","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; work","Yes","For sale","TopsTexTopCoatHApron6",9600.0,"QdF6ZF74688kYPLx3"
"apron","Brown","No","840",210.0,"Brown","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; work","Yes","For sale","TopsTexTopCoatHApron7",9601.0,"wu2TYq7RGJWFEugZs"
"Aran-knit cardigan","Beige","No","1300",325.0,"Beige","Beige","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArancardigan0",3643.0,"fJR97K7r3qHAB2TLr"
"Aran-knit cardigan","Light blue","No","1300",325.0,"Light blue","Light blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArancardigan1",7678.0,"MzK6AWudRCPLEdSPi"
"Aran-knit cardigan","Pink","No","1300",325.0,"Pink","Pink","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArancardigan2",7679.0,"mJtGnjdLxpmdakhxo"
"Aran-knit cardigan","Yellow","No","1300",325.0,"Yellow","Yellow","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArancardigan3",7680.0,"7nmckbhG5uG3JQxPz"
"Aran-knit sweater","Red","No","1200",300.0,"Red","Red","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLAran0",3633.0,"Bk2v8mfDeJJX3khg6"
"Aran-knit sweater","White","No","1200",300.0,"White","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLAran1",7672.0,"r9fBZ2q6e4neh4vxK"
"Aran-knit sweater","Gray","No","1200",300.0,"Gray","Gray","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLAran2",7673.0,"GDMzeQoGkah87ocD7"
"Aran-knit sweater","Green","No","1200",300.0,"Green","Green","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLAran3",7674.0,"twRmAecxYcKDTriJu"
"Aran-knit sweater","Black","No","1200",300.0,"Black","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLAran4",7675.0,"nDgu8apAqxvPpaYaa"
"Aran-knit sweater","Orange","No","1200",300.0,"Orange","Orange","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLAran5",7676.0,"yWjKAXMSpvrdPQ96S"
"Aran-knit sweater","Blue","No","1200",300.0,"Blue","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLAran6",7677.0,"csp3scivRcpNKguZd"
"argyle sweater","Green","No","1200",300.0,"Green","Red","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArgyle0",3579.0,"xEqYEzdaBXvj9s346"
"argyle sweater","Gray","No","1200",300.0,"Gray","Purple","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArgyle1",7742.0,"asRCNMsvrCGPew8ao"
"argyle sweater","Mustard","No","1200",300.0,"Yellow","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArgyle2",7743.0,"YnhhYiacfsWJcPCpe"
"argyle sweater","Black","No","1200",300.0,"Black","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArgyle3",7744.0,"5nftKFQRatJC7xgjB"
"argyle sweater","Red","No","1200",300.0,"Red","Gray","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArgyle4",7745.0,"nRyNWtuy5uhdJWfQg"
"argyle sweater","Purple","No","1200",300.0,"Purple","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArgyle5",7746.0,"f5YsDGb6KcjJHHDvj"
"argyle sweater","Pink","No","1200",300.0,"Pink","Orange","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArgyle6",7747.0,"wcs4qoRrafHXt9EKj"
"argyle sweater","White","No","1200",300.0,"White","Green","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","Yes","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopOuterLArgyle7",7748.0,"22jF8CGD8WXrECzwD"
"argyle vest","Blue","No","1440",360.0,"Blue","Light blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; formal; work","Yes","For sale","TopsTexTopYshirtsLArgyle0",3262.0,"QfjxZgK6b3zp2hr7T"
"argyle vest","Pink","No","1440",360.0,"Pink","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; formal; work","Yes","For sale","TopsTexTopYshirtsLArgyle1",8480.0,"3gRjPwykkZqE2f3tp"
"argyle vest","Brown","No","1440",360.0,"Brown","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; formal; work","Yes","For sale","TopsTexTopYshirtsLArgyle2",8481.0,"o9fJxQLHiEstT9dtt"
"argyle vest","Red","No","1440",360.0,"Red","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; formal; work","Yes","For sale","TopsTexTopYshirtsLArgyle3",8482.0,"SMfqtZmDWDAZPEGvM"
"argyle vest","Gray","No","1440",360.0,"Gray","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; formal; work","Yes","For sale","TopsTexTopYshirtsLArgyle4",8483.0,"akqeXj6PYe8Bj4aYY"
"argyle vest","Green","No","1440",360.0,"Green","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; formal; work","Yes","For sale","TopsTexTopYshirtsLArgyle5",8484.0,"LsiMSCR4tDsnLMF7K"
"athletic jacket","Red","No","960",240.0,"Red","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","Yes","For sale","TopsTexTopOuterLJersey0",3244.0,"zgcZP2SW38SpysHJA"
"athletic jacket","Green","No","960",240.0,"Green","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","Yes","For sale","TopsTexTopOuterLJersey1",7198.0,"PzvRHyyS9mQYtTFgw"
"athletic jacket","Black","No","960",240.0,"Black","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","Yes","For sale","TopsTexTopOuterLJersey2",7199.0,"QhC4BYigzMiswiDSn"
"athletic jacket","Blue","No","960",240.0,"Blue","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","Yes","For sale","TopsTexTopOuterLJersey3",7200.0,"3zz3YpwYWcYJifHkC"
"athletic jacket","Berry red","No","960",240.0,"Red","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","Yes","For sale","TopsTexTopOuterLJersey4",7201.0,"YfNJuXFSjQuTwuETC"
"athletic jacket","Navy blue","No","960",240.0,"Blue","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","Yes","For sale","TopsTexTopOuterLJersey5",7202.0,"ZYQDPwif9z8YR4Wpr"
"baggy shirt","Gray","No","NFS",10.0,"Gray","Gray","1x1","NA","Recycle bin",,"All Year","No","1.0.0","Simple","goth; comfy","Yes","Not for sale","TopsTexTopTshirtsLLoose0",4710.0,"LCtayENx9EyLYa4Za"
"baggy shirt","Black","No","NFS",10.0,"Black","Black","1x1","NA","Recycle bin",,"All Year","No","1.0.0","Simple","goth; comfy","Yes","Not for sale","TopsTexTopTshirtsLLoose1",8554.0,"7ffsMJC98YG5kro2L"
"baggy shirt","Brown","No","NFS",10.0,"Brown","Brown","1x1","NA","Recycle bin",,"All Year","No","1.0.0","Simple","goth; comfy","Yes","Not for sale","TopsTexTopTshirtsLLoose2",8555.0,"zKcqFuTkyBr7coxfb"
"baseball shirt","Navy blue","No","1120",280.0,"Blue","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsHBaseball0",4419.0,"vYCgqwhsoMRcDJfF3"
"baseball shirt","Red","No","1120",280.0,"Red","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsHBaseball1",9393.0,"kA8dp8bAq7K4sFtCm"
"baseball shirt","Gray","No","1120",280.0,"Gray","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsHBaseball2",9394.0,"fqjd2QBaMZMbwDEhL"
"baseball shirt","Black","No","1120",280.0,"Black","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsHBaseball3",9395.0,"htYo33ejttt75X4mk"
"baseball shirt","White","No","1120",280.0,"White","Red","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsHBaseball4",9396.0,"hSnStWauqiSxbZNXX"
"baseball shirt","Yellow","No","1120",280.0,"Yellow","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsHBaseball5",9397.0,"r5Xs4qK8wvp6fymea"
"basketball tank","Purple","No","1120",280.0,"Purple","Yellow","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsNBasketballshirts0",2727.0,"dKYrtNZerQWq6Gt7W"
"basketball tank","Red","No","1120",280.0,"Red","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsNBasketballshirts1",8038.0,"uoMWejnjaZ6AyHNQt"
"basketball tank","Green","No","1120",280.0,"Green","Orange","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsNBasketballshirts2",8039.0,"k2LnL52SusAtRrHmq"
"basketball tank","Orange","No","1120",280.0,"Orange","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsNBasketballshirts3",8040.0,"vvNhYDS8JMeaS6ixD"
"basketball tank","Blue","No","1120",280.0,"Blue","Red","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsNBasketballshirts4",8041.0,"cParkHGdWthejc4wo"
"basketball tank","Yellow","No","1120",280.0,"Yellow","Green","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsNBasketballshirts5",8042.0,"Qp3ibpyH77Cue45i3"
"basketball tank","Light blue","No","1120",280.0,"Light blue","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsNBasketballshirts6",8043.0,"3Zq39RDqBexmDhnbQ"
"basketball tank","Black","No","1120",280.0,"Black","Red","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","TopsTexTopTshirtsNBasketballshirts7",8044.0,"9x9KAwjxXjS5iLkEM"
"bear tee","NA","No","800",200.0,"Green","Brown","1x1","NA","Nook Shopping Catalog",,"All Year","No","1.0.0","Active","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHBear0",8196.0,"6smBqDtdwrcsSvnSD"
"big-star tee","NA","No","560",140.0,"Blue","Yellow","1x1","NA","Nook Shopping Catalog",,"All Year","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHStar0",6822.0,"JpATLjagWyw8q8zqx"
"biker jacket","Black","No","1750",437.0,"Black","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Cool","everyday; outdoorsy; theatrical","Yes","For sale","TopsTexTopYshirtsLRiders0",3198.0,"evbChpmd6EcLcM3Tz"
"biker jacket","Brown","No","1750",437.0,"Brown","Brown","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; outdoorsy; theatrical","Yes","For sale","TopsTexTopYshirtsLRiders1",8559.0,"hWrrNDEHNvMb7frrA"
"biker jacket","Beige","No","1750",437.0,"Beige","Beige","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; outdoorsy; theatrical","Yes","For sale","TopsTexTopYshirtsLRiders2",8560.0,"ha4hWKpn4CiAXqN3C"
"biker jacket","Red","No","1750",437.0,"Red","Red","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; outdoorsy; theatrical","Yes","For sale","TopsTexTopYshirtsLRiders3",8561.0,"4PQfMkGAWJbGRABFb"
"biker jacket","Blue","No","1750",437.0,"Blue","Blue","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; outdoorsy; theatrical","Yes","For sale","TopsTexTopYshirtsLRiders4",8562.0,"B2zPcdArK6waMjoBz"
"biker jacket","Yellow","No","1750",437.0,"Yellow","Yellow","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; outdoorsy; theatrical","Yes","For sale","TopsTexTopYshirtsLRiders5",8563.0,"ccT7cJJhSKR8XfXdL"
"blossom tee","Pink","No","800",200.0,"Pink","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHFlower0",8205.0,"M7qCnBYqNGLyLSskf"
"blossom tee","Blue","No","800",200.0,"Light blue","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHFlower1",12099.0,"cskAiddHb4wcR4Rny"
"blossom tee","Yellow","No","800",200.0,"Yellow","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHFlower2",12100.0,"PSC7XZs443Ew5Ntdx"
"blossom tee","Green","No","800",200.0,"Green","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHFlower3",12101.0,"97cQhCcwgx4Cf2RLS"
"blossom tee","Purple","No","800",200.0,"Purple","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHFlower4",12102.0,"A6TyYLhfoDitFeCiR"
"boa blouson","Purple","No","1680",420.0,"Purple","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","Yes","1.0.0","Cute","everyday; fairy tale; comfy","Yes","For sale","TopsTexTopOuterLBlouson0",4598.0,"tsxSZ2Dy6kYf8hsyR"
"boa blouson","Beige","No","1680",420.0,"Beige","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Cute","everyday; fairy tale; comfy","Yes","For sale","TopsTexTopOuterLBlouson1",8005.0,"NgsGbsW8Wn8K6DT7Y"
"boa blouson","Blue","No","1680",420.0,"Blue","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Cute","everyday; fairy tale; comfy","Yes","For sale","TopsTexTopOuterLBlouson2",8006.0,"PvqQmZ5RhnjBgA4dF"
"boa blouson","White","No","1680",420.0,"White","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Cute","everyday; fairy tale; comfy","Yes","For sale","TopsTexTopOuterLBlouson3",8007.0,"XzXMD6y9mn5dJY7ZR"
"boa fleece","White","No","1400",350.0,"White","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Active","everyday; outdoorsy; comfy","Yes","For sale","TopsTexTopYshirtsLFleece0",3705.0,"ajrhqED9o9KJD82qY"
"boa fleece","Green","No","1400",350.0,"Green","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Active","everyday; outdoorsy; comfy","Yes","For sale","TopsTexTopYshirtsLFleece1",8315.0,"onYuhrcTdxzzQnsXi"
"boa fleece","Navy blue","No","1400",350.0,"Blue","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Active","everyday; outdoorsy; comfy","Yes","For sale","TopsTexTopYshirtsLFleece2",8316.0,"pbSceZdarEEYbe36G"
"boa fleece","Beige","No","1400",350.0,"Beige","Orange","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Active","everyday; outdoorsy; comfy","Yes","For sale","TopsTexTopYshirtsLFleece3",8317.0,"yQ2sLqk5QgqDkL9MM"
"boa fleece","Blue","No","1400",350.0,"Blue","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Active","everyday; outdoorsy; comfy","Yes","For sale","TopsTexTopYshirtsLFleece4",8318.0,"kr3zQJ5ACzjygZxXN"
"boa fleece","Pink","No","1400",350.0,"Pink","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Active","everyday; outdoorsy; comfy","Yes","For sale","TopsTexTopYshirtsLFleece5",8319.0,"hWRdrnxHy4m7xM8wp"
"boa fleece","Yellow","No","1400",350.0,"Yellow","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Active","everyday; outdoorsy; comfy","Yes","For sale","TopsTexTopYshirtsLFleece6",8320.0,"GDpeQZw9dsqrZoioH"
"boa fleece","Lime","No","1400",350.0,"Green","Green","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Active","everyday; outdoorsy; comfy","Yes","For sale","TopsTexTopYshirtsLFleece7",8321.0,"K24sHEbxDRcEvuJhZ"
