"name","award_criteria","unique_values","internal_id","internal_name","internal_category","num_of_tiers","tier_1","tier_2","tier_3","tier_4","tier_5","reward_tier_1","reward_tier_2","reward_tier_3","reward_tier_4","reward_tier_5","reward_tier_6","sequential","version","unique_entry_id"
"Rough-hewn","Number of times you've chopped wood from trees",11.0,67.0,"StrikeWood","DIY",5.0,20.0,100.0,500.0,2000.0,5000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","btjGeCA3qDRLwhuZE"
"Trashed Tools","Number of tools you've broken",12.0,49.0,"BreakTool","HHA",5.0,1.0,20.0,50.0,100.0,200.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","YhhXqkerTwLu4ewXi"
"Rock-Splitting Champ","Awarded the first time you get 8 ores/stones from striking a rock",13.0,57.0,"StrikeRock8Times","HHA",1.0,1.0,0.0,0.0,0.0,0.0,500.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","hgxFRczyFtmSmiTEG"
"Bona Fide Bone Finder!","Awarded the first time you dig up a fossil",14.0,61.0,"DigFossil","HHA",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","za7CbkxtzEysWCFJg"
"Fossil Assessment","Number of fossils you've had assessed by Blathers",15.0,62.0,"JudgeFossil","HHA",5.0,5.0,30.0,100.0,300.0,500.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","SYs89hReg8PJPhi7b"
"Greedy Weeder","Number of weed clumps you've sold to the shop",16.0,37.0,"SellWeed","Plant",5.0,50.0,200.0,1000.0,2000.0,3000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","MRjh6LGccgw56xxca"
"Flower Power","Number of flower seeds you've planted (does not count digging up and replanting existing flowers)",17.0,6.0,"PlantFlowerSeed","Plant",5.0,10.0,50.0,100.0,200.0,300.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","aub4aeJa7i4ps92vt"
"Flower Tender","Number of flowers you've watered",18.0,23.0,"WaterPlant","Plant",5.0,10.0,50.0,100.0,500.0,1000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","8JeajqbS7bHbJ4KPH"
"Tomorrow's Trees Today","Number of tree saplings you've planted (does not count planting fruits or replanting existing trees)",19.0,8.0,"PlantTreeSeedling","Plant",3.0,5.0,10.0,30.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","eeDWd35DjuJy7CsM5"
"Pick of the Bunch","Number of fruits you've sold to the shop",20.0,70.0,"SellFruit","Plant",5.0,20.0,100.0,500.0,1000.0,3000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","tGg8gEWooCRFAn2Km"
"Fruit Roots","Awarded for each unique fruit tree you've planted (cherry, orange, pear, peach, apple, and coconut)",21.0,7.0,"PlantFruit","Plant",6.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,300.0,500.0,700.0,1000.0,"No","1.0.0","tNSnLaumH2MbDMSqK"
"Shrubbery Hububbery","Number of shrub starts you've planted (replanting existing shrubs)",22.0,92.0,"PlantBushSeedling","Plant",3.0,1.0,2.0,20.0,0.0,0.0,300.0,500.0,1000.0,0.0,0.0,0.0,"Yes","1.2.0","kosAYGQuM92yWsRZx"
"Go Ahead. Be Shellfish!","Number of seashells you've sold to the shop",23.0,69.0,"SellShell","Fish",5.0,10.0,50.0,200.0,500.0,1000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","eycL6Ntub97uvKwgB"
"Clam and Collected","Number of clams you've dug up",24.0,63.0,"DigShell","Fish",5.0,5.0,20.0,50.0,100.0,200.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","MsKyNAx2BBitXF4SQ"
"Trash Fishin'","Number of trash items (cans, tires, or boots) you've fished up",25.0,32.0,"CatchTrash","Fish",3.0,3.0,10.0,20.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","gYpEcg4qf7X46Svfz"
"Cast Master","Number of fish you've caught in a single streak without any getting away",26.0,2.0,"CatchFishContinuously","Fish",3.0,10.0,50.0,100.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","PcXyzjRR7mMRJMpWA"
"Dream House","Number of times you've expanded your home",27.0,82.0,"ExtendMyHome","Event",5.0,1.0,2.0,5.0,6.0,7.0,500.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","FLDPYLE7KWu8S9uPg"
"Decorated Decorator","Awarded the first time you get an ""S"" ranking from the HHA",28.0,40.0,"GetSRankonHHA","Event",1.0,1.0,0.0,0.0,0.0,0.0,1000.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","kzJaqFiCaRivejX2x"
"Hoard Reward","Number of furniture pieces you've placed in your house",29.0,78.0,"PlaceFurnitureMyHouse","Event",5.0,5.0,15.0,30.0,100.0,150.0,300.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","k6RF4XJhEdk3DWupM"
"Good Things in Store!","Number of items you've placed in your home storage",30.0,77.0,"HouseStorageItem","Event",5.0,20.0,50.0,100.0,200.0,300.0,300.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","vmFkmQFGyKNS6gPdo"
"Remarkable Remodeler","Number of times you've remodeled the outside appearance of your home",31.0,81.0,"ReformMyHome","Event",3.0,1.0,3.0,5.0,0.0,0.0,500.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","ZqLiA9gGSKTBGZQgZ"
"Smile Isle","Number of villager requests you've fulfilled (such as returning lost items)",32.0,59.0,"AchieveVillagersQuest","Communication",5.0,1.0,10.0,50.0,100.0,300.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","2Cf5yBG3NFSeozMg2"
"Reaction Ruler","Number of reactions you've learned",33.0,31.0,"FillReactionList","Communication",5.0,1.0,10.0,20.0,30.0,42.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","GRKenaH9cZf7SF3io"
"Island Shutterbug","Awarded the first time you take a photo using the camera app on the NookPhone (screenshot button does not count, must use the app)",34.0,75.0,"TakePicture","Smartphone",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","amPim5PB25MTaEnZH"
"Edit Credit","Awarded the first time you edit your Passport (title, comment, or photo)",35.0,87.0,"UpdatePassport","Smartphone",1.0,1.0,0.0,0.0,0.0,0.0,300.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","97AnkL7nAoQsXaCR8"
"NookPhone Life","Awarded after the 10th time you open your NookPhone",36.0,76.0,"BootPhoneBeginner","Smartphone",1.0,10.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","38g3QBF9r9HdzdhA5"
"That's One Smart Phone","Awarded after the 1000th time you open your NookPhone",37.0,56.0,"BootPhone","Smartphone",1.0,1000.0,0.0,0.0,0.0,0.0,1000.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","usRtbx9sTQwpwKzT3"
"Shop to It","Number of times you've ordered from the Nook Shopping catalog",38.0,16.0,"BuyItemCatalog","Smartphone",5.0,1.0,20.0,50.0,100.0,200.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","7rQbwihnNhEFFZmQo"
"Growing Collection","Number of unique furniture pieces you've added to your catalog",39.0,15.0,"FillCatalog","Smartphone",5.0,100.0,200.0,300.0,400.0,500.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","nbEPYsfFJzwG8bozx"
"Nook Miles for Miles!","Number of Nook Miles+ goals you've completed",40.0,58.0,"AchieveAppQuest","Smartphone",5.0,5.0,50.0,200.0,1000.0,3000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","6Qsg6ca6qcXfQJvd9"
"First-Time Buyer","Awarded the first time you purchase an item from a shop",41.0,12.0,"BuyItemRcm","Money",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","dRgaFTqnG9WJ3nDPj"
"Seller of Unwanted Stuff","Awarded the first time you sell and item to a shop",42.0,13.0,"SellItemRcm","Money",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","SaJbYEBdon4j2HiML"
"Moving Fees Paid!","Awarded when you pay off your initial loan using Nook Miles",43.0,33.0,"PayImmigrationCost","Money",1.0,1.0,0.0,0.0,0.0,0.0,500.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","rQJoK5E25RSskQeW5"
"Bell Ringer","Number of total bells you've spent in shops",44.0,11.0,"HowmuchBuyItem","Money",5.0,5000.0,50000.0,500000.0,2000000.0,5000000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","r5mJC5k8vYuZRkXJT"
"Miles for Stalkholders","Awarded the first time you purchase turnips",45.0,9.0,"BuyKabu","Money",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","AzYYmDqvumcZwmqFf"
"Cornering the Stalk Market","Number of total bells you've profited from selling turnips",46.0,10.0,"HowmuchSellKabu","Money",5.0,1000.0,10000.0,100000.0,1000000.0,1.0E7,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","gvMPEpKkGPLmEeDPe"
"No More Loan Payments!","Awarded after paying off your first house loan with bells",47.0,34.0,"RepayLoan","Money",1.0,1.0,0.0,0.0,0.0,0.0,1000.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","uhbojHTBeM2Cnfkuh"
"Bulletin-Board Benefit","Awarded the first time you post a message on your town bulletin board",48.0,83.0,"PostMessageBoard","Communication",1.0,1.0,0.0,0.0,0.0,0.0,300.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","rZLyEe6QGk9G7sLTP"
"Popular Pen Pal","Number of letters you've sent",49.0,50.0,"SendLetter","Communication",5.0,5.0,20.0,50.0,100.0,200.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","EJMKZDs8N5xGkfduP"
"Flea Flicker","Number of times you've caught fleas off a villager",50.0,26.0,"CatchNomi","Insect",3.0,1.0,5.0,10.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","WRvG4EsvYQbqJupxi"
"Cicada Memories","Awarded the first time you catch a cicada shell",51.0,25.0,"CatchSeminonukegara","Insect",1.0,1.0,0.0,0.0,0.0,0.0,1000.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","t9vayZu88rPHrY79j"
"Netting Better!","Awarded the first time you catch five wasps in a row without running away or getting stung",52.0,71.0,"CatchBeeContinuously","Insect",1.0,1.0,0.0,0.0,0.0,0.0,1000.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","ojjJY4tQvSCs3BYda"
"Pit-y Party!","Awarded the first time you bury a pitfall seed",53.0,51.0,"MakePitfall","HHA",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","MwQQ43gFXFky4Z2hG"
"Taking the Sting Out","Awarded the first time you get stung by a wasp",54.0,24.0,"BeStungbyWasp","Negative",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","P82MkAcpWY9ZAQTnD"
"Faint of Heart","Awarded the first time you get knocked out by a Scorpion or Tarantula",55.0,27.0,"BeStungbyPoisonousInsect","Negative",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","NwntrWkuaxtB8NoL9"
"Overcoming Pitfalls","Awarded the first time you fall into a pitfall hole",56.0,52.0,"FallintoPitfall","Negative",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","DhKzQBem5HZytprbC"
"Faked Out!","Donated a fake piece of art",57.0,90.0,"DonateFake","Negative",1.0,1.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,"No","1.2.0","vakbzK5ihWAQR2aux"
"Lost Treasure","Awarded the first time a balloon present you shot lands in a body of water",58.0,80.0,"DropPresentinWater","Negative",1.0,1.0,0.0,0.0,0.0,0.0,500.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","Y2kKBHN6kT7zxkTbm"
"It's Raining Treasure!","Number of balloons you've shot down with a slingshot",59.0,5.0,"ShootDownBalloon","LandMaking",5.0,5.0,20.0,50.0,100.0,300.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","EEocBnCSkNM9ukMic"
"Fun with Fences","Awarded the first time you place a fence",60.0,89.0,"BuildFence","LandMaking",1.0,20.0,0.0,0.0,0.0,0.0,500.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","fNCiNgcTMxFwqAzxN"
"Snowmaestro","Number of perfect snow-people you've built",61.0,45.0,"MakePerfectSnowball","LandMaking",3.0,1.0,10.0,20.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","XcwvgbKXNWiLjmJDX"
"Wishes Come True","Number of shooting stars you've wished on.",62.0,85.0,"PrayShootingStar","LandMaking",3.0,1.0,30.0,200.0,0.0,0.0,300.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","WcKhJsbYhwKKkCLqd"
"Exterior Decorator","Awarded the first time you place some furniture outside",63.0,64.0,"PutFurnitureOutside","LandMaking",1.0,10.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","TW2jrhLDvtDhjZAKx"
"(island name) Icons","Awarded for changing your town tune and island flag for the first time",64.0,86.0,"ChangeSymbol","LandMaking",2.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,2000.0,3000.0,5000.0,0.0,"No","1.0.0","umpcvH5jtsWEir4rR"
"Island Designer","Awarded the first time you use the Island Designer app to place a path, add/remove water, and build/destroy a cliff",65.0,88.0,"ModifyIsland","LandMaking",3.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,1000.0,3000.0,5000.0,0.0,"No","1.0.0","NyFc3PaM4omZLfuic"
"Wispy Island Secrets","Number of times you've helped Wisp find the parts of his spirit",66.0,44.0,"HelpGst","Communication",3.0,1.0,10.0,20.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","nSkcG8gSanouEFg9x"
"Gulliver's Travails","Number of times you've helped Gulliver fix his communicator",67.0,43.0,"HelpGul","Communication",3.0,1.0,10.0,20.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","GfHAM2edJCAAN9xsF"
"K.K. Mania","Number of K.K. shows you've attended",68.0,17.0,"GotoTotakekeShow","Communication",5.0,1.0,10.0,30.0,60.0,100.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","aNZ2t8CH7dgpRefc3"
"True Patron of the Arts","Number of times you purchased art that turned out to be real",69.0,91.0,"BuyatTsunekichiShop","Communication",3.0,1.0,10.0,20.0,0.0,0.0,300.0,500.0,1000.0,0.0,0.0,0.0,"Yes","1.2.0","YTpzbNPue2fAe3FdS"
"True Friends","Number of villagers you've become good friends with",70.0,54.0,"BeFriendwithVillager","Communication",3.0,1.0,2.0,3.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","ZD7xtJZTo9mGk9tTk"
"Birthday Celebration","Number of villager birthdays you've attended",71.0,47.0,"CelebrateVillagersBithday","Communication",3.0,1.0,10.0,20.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","5TKJXZPvrkPLiQ6XC"
"Happy Birthday!","Awarded the first time you play on your character's birthday",72.0,46.0,"ReachMyBirthday","Event",1.0,1.0,0.0,0.0,0.0,0.0,2000.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","6vc2Rm2s3rE9EFZoM"
"Fishing Tourney!","Awarded the first time you attend a fishing tourney in each season",73.0,41.0,"AttendFishingConvention","Fish",4.0,0.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,5000.0,"No","1.0.0","Z2C4JGKnsPJqhyDFM"
"Bug-Off!","Awarded the first time you attend a bug-off tourney in each season",74.0,42.0,"AttendInsectConvention","Insect",4.0,0.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,5000.0,"No","1.0.0","HQJJaicSZQ79LstpA"
"Countdown Celebration","Awarded for attending the new year holiday event",75.0,48.0,"AttendCountdownParty","Event",1.0,1.0,0.0,0.0,0.0,0.0,1000.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","PTMwJTvnX3A4gxjN9"
"Making a Change","Awarded the first time you use a wardrobe to change your character's outfit",76.0,84.0,"UseCloset","MyDesign",1.0,1.0,0.0,0.0,0.0,0.0,500.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","NBmsw6tCLZzWXcGcK"
"First Custom Design!","Awarded the first time you use the Custom Design app to edit or create a design",77.0,35.0,"UseMydesign","MyDesign",1.0,1.0,0.0,0.0,0.0,0.0,500.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","44KNAwCSGuatXHYeh"
"Custom Design Pro!","Awarded the first time you use the Custom Design pro app to edit or create a design",78.0,36.0,"UseMydesignPRO","MyDesign",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","ch29owdtPq5Jd73xx"
"Paydirt!","Awarded the first time you dig up bells from a shining spot",79.0,60.0,"DigBell","Money",1.0,1.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","ps4e4DFg2pnHvdvRm"
"Shady Shakedown","Number of furniture pieces you've found from shaking trees",80.0,79.0,"FallFurnitureLeaf","Plant",5.0,1.0,10.0,20.0,50.0,100.0,300.0,1000.0,2000.0,3000.0,5000.0,0.0,"Yes","1.0.0","o37WLZhgDMnMbDbPx"
"Golden Milestone","Awarded for each unique golden tool you've equipped (shovel, net, fishing rod, watering can, axe, and slingshot)",81.0,39.0,"CollectGoldTool","HHA",6.0,0.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,5000.0,"No","1.0.0","B9uYNJkiP5jqkn3SX"
"Island and Yourland","Number of times you've visited another player's island (does not count mystery islands using Nook Miles Tickets)",82.0,18.0,"VisitAnotherIsland","Communication",3.0,1.0,5.0,10.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","JofcHyqspqdvy92rH"
"Host the Most","Number of other players that have visited your island",83.0,19.0,"InviteFriend","Communication",3.0,1.0,5.0,10.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","YdeZW248LnovzB7EB"
"Active Island Resident","Number of total unique days you've played the game",84.0,21.0,"DayPlayed","Event",5.0,3.0,20.0,50.0,100.0,300.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","QgGe5XTYJhjfgbMHW"
