"index","name","sell","where_how","weather","total_catches_to_unlock","spawn_rates","nh_jan","nh_feb","nh_mar","nh_apr","nh_may","nh_jun","nh_jul","nh_aug","nh_sep","nh_oct","nh_nov","nh_dec","sh_jan","sh_feb","sh_mar","sh_apr","sh_may","sh_jun","sh_jul","sh_aug","sh_sep","sh_oct","sh_nov","sh_dec","color_1","color_2","icon_filename","critterpedia_filename","furniture_filename","internal_id","unique_entry_id"
70.0,"hermit crab",1000.0,"Disguised on shoreline","Any weather",0.0,"25","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","Beige","Pink","Ins66","InsectYadokari","FtrInsectYadokari",651.0,"TzbsfYgE4k2qo7fHN"
24.0,"honeybee",200.0,"Flying near flowers","Any except rain",0.0,"30","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","8 AM – 5 PM","NA","NA","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","Yellow","Blue","Ins11","InsectMitsubachi","FtrInsectMitsubachi",623.0,"yeWiAiqDRwinvumDm"
63.0,"horned atlas",8000.0,"On palm trees","Any weather",100.0,"2","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Black","Ins52","InsectKohkasasuohkabuto","FtrInsectKohkasasuohkabuto",615.0,"S93y8gxrSHFNCFmwJ"
62.0,"horned dynastid",1350.0,"On trees (any kind)","Any weather",0.0,"35","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Brown","Black","Ins51","InsectKabutomushi","FtrInsectKabutomushi",612.0,"zaG8qsKLpbTjysx7D"
64.0,"horned elephant",8000.0,"On palm trees","Any weather",100.0,"2","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beige","Black","Ins53","InsectZoukabuto","FtrInsectZoukabuto",653.0,"M7SHXNEMf78nJD6fE"
65.0,"horned hercules",12000.0,"On palm trees","Any weather",100.0,"1","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Yellow","Black","Ins54","InsectHerakuresuohkabuto","FtrInsectHerakuresuohkabuto",600.0,"TqhEomNEMDZ2wcTpk"
45.0,"jewel beetle",2400.0,"On tree stumps","Any except rain",20.0,"5","NA","NA","NA","All day","All day","All day","All day","All day","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","NA","NA","NA","All day","All day","All day","Green","Black","Ins44","InsectTamamushi","FtrInsectTamamushi",645.0,"TYFowxRG4ydcvotkQ"
43.0,"ladybug",200.0,"On flowers","Any except rain",0.0,"40","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","8 AM – 5 PM","NA","NA","NA","NA","NA","8 AM – 5 PM","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","Red","Green","Ins37","InsectTentoumushi","FtrInsectTentoumushi",647.0,"pYSSbvXzkuFneRvQ7"
16.0,"long locust",200.0,"On the ground","Any weather",0.0,"50","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","Green","Blue","Ins13","InsectShoryobatta","FtrInsectShoryobatta",644.0,"Q57sgq4hQTNZAqWXj"
15.0,"Madagascan sunset moth",2500.0,"Flying near flowers","Any except rain",20.0,"5","NA","NA","NA","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","NA","NA","NA","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","NA","NA","NA","NA","NA","NA","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","Green","Pink","Ins79","InsectNishikiohtsubamega","FtrInsectNishikiohtsubamega",3484.0,"EFWMygLqnJinFoXSW"
42.0,"man-faced stink bug",1000.0,"On flowers","Any except rain",20.0,"20","NA","NA","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","NA","NA","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","NA","NA","NA","NA","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","Black","Orange","Ins78","InsectJinmenkamemushi","FtrInsectJinmenkamemushi",3483.0,"zvr84Jvf4s6K23XJ5"
22.0,"mantis",430.0,"On flowers","Any except rain",0.0,"30","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","Green","Green","Ins15","InsectKamakiri","FtrInsectKamakiri",607.0,"Qko2mfz7SaESpMcCv"
17.0,"migratory locust",600.0,"On the ground","Any weather",20.0,"10","NA","NA","NA","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","NA","NA","NA","NA","Green","Orange","Ins14","InsectTonosamabatta","FtrInsectTonosamabatta",648.0,"dkGagcjd7aZwFEszw"
56.0,"miyama stag",1000.0,"On trees (any kind)","Any weather",0.0,"35","NA","NA","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Black","Ins46","InsectMiyamakuwagata","FtrInsectMiyamakuwagata",624.0,"qRGGm6MfuP4Aqdk3M"
37.0,"mole cricket",500.0,"Underground (dig where noise is loudest)","Any weather",0.0,"30","All day","All day","All day","All day","All day","NA","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","All day","All day","All day","All day","All day","All day","All day","NA","Brown","Yellow","Ins33","InsectOkera","FtrInsectOkera",634.0,"HMWPGeeKw9LP6ucSq"
8.0,"monarch butterfly",140.0,"Flying near flowers","Any except rain",0.0,"70","NA","NA","NA","NA","NA","NA","NA","NA","4 AM – 5 PM","4 AM – 5 PM","4 AM – 5 PM","NA","NA","NA","4 AM – 5 PM","4 AM – 5 PM","4 AM – 5 PM","NA","NA","NA","NA","NA","NA","NA","Orange","Blue","Ins4","InsectOhkabamadara","FtrInsectOhkabamadara",636.0,"BJPKSZMZ2tkLXkWjL"
73.0,"mosquito",130.0,"Flying","Any except rain",0.0,"50","NA","NA","NA","NA","NA","5 PM – 4 AM","5 PM – 4 AM","5 PM – 4 AM","5 PM – 4 AM","NA","NA","NA","5 PM – 4 AM","5 PM – 4 AM","5 PM – 4 AM","NA","NA","NA","NA","NA","NA","NA","NA","5 PM – 4 AM","Black","White","Ins58","InsectKa","FtrInsectKa",606.0,"3mMZ74qpWWnoizJHh"
13.0,"moth",130.0,"Flying near light sources","Any except rain",0.0,"25","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","Beige","Yellow","Ins9","InsectGa","FtrInsectGa",592.0,"7Kd97rqbYBuzuCHgf"
23.0,"orchid mantis",2400.0,"On white flowers","Any except rain",20.0,"15","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","White","Pink","Ins16","InsectHanakamakiri","FtrInsectHanakamakiri",598.0,"9b4v6nMrrThHEtNbB"
6.0,"paper kite butterfly",1000.0,"Flying near flowers","Any except rain",0.0,"20","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","White","Yellow","Ins73","InsectOhgomamadara","FtrInsectOhgomamadara",3478.0,"hzwridDJE99rPHLrZ"
4.0,"peacock butterfly",2500.0,"Flying near blue/purple/black flowers","Any except rain",20.0,"5","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","Green","Blue","Ins3","InsectKarasuageha","FtrInsectKarasuageha",610.0,"rguKzmnRkGmBMKzyE"
76.0,"pill bug",250.0,"From hitting rocks","Any weather",0.0,"50","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","NA","NA","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","NA","NA","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","11 PM – 4 PM","Black","Blue","Ins57","InsectDangomushi","FtrInsectDangomushi",590.0,"SGHXhcTzaNJD2z926"
38.0,"pondskater",130.0,"On rivers/ponds","Any weather",0.0,"30","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","Black","Blue","Ins27","InsectAmenbo","FtrInsectAmenbo",587.0,"eSBNwiuZforpxNYem"
12.0,"Queen Alexandra's birdwing",4000.0,"Flying near flowers","Any except rain",50.0,"5","NA","NA","NA","NA","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","NA","NA","NA","8 AM – 4 PM","8 AM – 4 PM","8 AM – 4 PM","NA","NA","NA","NA","NA","NA","NA","8 AM – 4 PM","8 AM – 4 PM","Green","Pink","Ins8","InsectArekisandoratoribaneageha","FtrInsectArekisandoratoribaneageha",586.0,"PbNXeN9GZuJuow7jv"
