"name","variation","body_title","pattern","pattern_title","diy","body_customize","pattern_customize","kit_cost","buy","sell","color_1","color_2","size","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","hha_set","interact","tag","outdoor","lighting_type","door_deco","catalog","filename","variant_id","internal_id","unique_entry_id"
"autograph cards","Signature","NA","Comedian's signature","Signature","No","No","Yes","1","1400",350.0,"White","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","school","den","None","None","No","Study","No","No lighting","No","For sale","FtrAutograph_Remake_0_1","0_1",1899.0,"agiS2suZcLp3cZp7x"
"autograph cards","Handprints","NA","Musician's signature","Signature","No","No","Yes","1","1400",350.0,"Beige","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","school","den","None","None","No","Study","No","No lighting","No","For sale","FtrAutograph_Remake_1_0","1_0",1899.0,"XzBB69cXctRGbKen7"
"autograph cards","Handprints","NA","Comedian's signature","Signature","No","No","Yes","1","1400",350.0,"Beige","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","school","den","None","None","No","Study","No","No lighting","No","For sale","FtrAutograph_Remake_1_1","1_1",1899.0,"vwk5njowHf3GkRcFq"
"autograph cards","Illustration","NA","Musician's signature","Signature","No","No","Yes","1","1400",350.0,"Beige","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","school","den","None","None","No","Study","No","No lighting","No","For sale","FtrAutograph_Remake_2_0","2_0",1899.0,"mvuDgsouHqTwejnpx"
"autograph cards","Illustration","NA","Comedian's signature","Signature","No","No","Yes","1","1400",350.0,"Beige","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","school","den","None","None","No","Study","No","No lighting","No","For sale","FtrAutograph_Remake_2_1","2_1",1899.0,"3brxKrQHt4tHAmJ5S"
"autograph cards","Words of wisdom","NA","Musician's signature","Signature","No","No","Yes","1","1400",350.0,"Beige","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","school","den","None","None","No","Study","No","No lighting","No","For sale","FtrAutograph_Remake_3_0","3_0",1899.0,"7c4SDPyoLDewHz9Pg"
"autograph cards","Words of wisdom","NA","Comedian's signature","Signature","No","No","Yes","1","1400",350.0,"Beige","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","school","den","None","None","No","Study","No","No lighting","No","For sale","FtrAutograph_Remake_3_1","3_1",1899.0,"yRB4GuGA6L86EBg5K"
"bamboo wall decoration","Green bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",160.0,"Green","Red","0.5x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Plants","No","No lighting","No","Not for sale","FtrBambooFlowerwall_Remake_0_0","0_0",3558.0,"pbECjLkaDPDQ5dNXp"
"bamboo wall decoration","Dried bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",160.0,"Yellow","Red","0.5x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Plants","No","No lighting","No","Not for sale","FtrBambooFlowerwall_Remake_1_0","1_0",3558.0,"QRLmHZaqguF5iy3hC"
"bamboo wall decoration","Smoke-cured bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",160.0,"Brown","Green","0.5x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Plants","No","No lighting","No","Not for sale","FtrBambooFlowerwall_Remake_2_0","2_0",3558.0,"mNdcYvRwAHytnXPkp"
"bathroom towel rack","Silver","NA","NA","NA","No","No","No","NA","1400",350.0,"Gray","White","1x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","bathroom","None","None","None","No","Bathroom Things","No","No lighting","No","For sale","FtrTowelrackWall_Remake_0_0","0_0",4030.0,"3mD27HBCBkjy4beMd"
"bathroom towel rack","Gold","NA","NA","NA","No","No","No","NA","1400",350.0,"Yellow","Brown","1x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","bathroom","None","None","None","No","Bathroom Things","No","No lighting","No","For sale","FtrTowelrackWall_Remake_1_0","1_0",4030.0,"diaLMBMgpNoGW7dmg"
"bathroom towel rack","Copper","NA","NA","NA","No","No","No","NA","1400",350.0,"Brown","Pink","1x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","bathroom","None","None","None","No","Bathroom Things","No","No lighting","No","For sale","FtrTowelrackWall_Remake_2_0","2_0",4030.0,"WKsy8zDRasXY5xQTt"
"bathroom towel rack","Black","NA","NA","NA","No","No","No","NA","1400",350.0,"Black","Gray","1x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","bathroom","None","None","None","No","Bathroom Things","No","No lighting","No","For sale","FtrTowelrackWall_Remake_3_0","3_0",4030.0,"o9DTtEZtFwAwXyZw2"
"blue rose wreath","NA","NA","NA","NA","Yes","No","No","NA","NFS",20000.0,"Blue","Blue","1x1","Crafting",,"1.0.0","fancy","None","flowers","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentWreathRoseUrtraRare","NA",5772.0,"WAhbxkq89fSuMSSNa"
"bone doorplate","Brown","Color","NA","NA","Yes","Yes","No","1","NFS",360.0,"Brown","Beige","1x1","Crafting",,"1.0.0","child's room","living room","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorPlateBone_Remake_0_0","0_0",4751.0,"GWsheTRiG46HjezX3"
"bone doorplate","White","Color","NA","NA","Yes","Yes","No","1","NFS",360.0,"White","Red","1x1","Crafting",,"1.0.0","child's room","living room","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorPlateBone_Remake_1_0","1_0",4751.0,"DKpXvEcErego2mzTR"
"bone doorplate","Black","Color","NA","NA","Yes","Yes","No","1","NFS",360.0,"Black","Beige","1x1","Crafting",,"1.0.0","child's room","living room","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorPlateBone_Remake_2_0","2_0",4751.0,"NzaREJBzeZgh5Dj8Z"
"bone doorplate","Pink","Color","NA","NA","Yes","Yes","No","1","NFS",360.0,"Pink","Red","1x1","Crafting",,"1.0.0","child's room","living room","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorPlateBone_Remake_3_0","3_0",4751.0,"ZWgvwP6XWE92ueBg7"
"bone doorplate","Red","Color","NA","NA","Yes","Yes","No","1","NFS",360.0,"Red","Beige","1x1","Crafting",,"1.0.0","child's room","living room","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorPlateBone_Remake_4_0","4_0",4751.0,"srNuKC9nZL6Tq8dCL"
"bone doorplate","Yellow","Color","NA","NA","Yes","Yes","No","1","NFS",360.0,"Yellow","Brown","1x1","Crafting",,"1.0.0","child's room","living room","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorPlateBone_Remake_5_0","5_0",4751.0,"zL68LPrwNxepQii85"
"bone doorplate","Blue","Color","NA","NA","Yes","Yes","No","1","NFS",360.0,"Blue","White","1x1","Crafting",,"1.0.0","child's room","living room","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorPlateBone_Remake_6_0","6_0",4751.0,"TRnRBfdFBygGPv3To"
"bone doorplate","Natural wood","Color","NA","NA","Yes","Yes","No","1","NFS",360.0,"Beige","Brown","1x1","Crafting",,"1.0.0","child's room","living room","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorPlateBone_Remake_7_0","7_0",4751.0,"dpi3G97osXcuEgpQv"
"boomerang","Natural","Design","NA","NA","Yes","Yes","No","1","NFS",360.0,"Brown","Beige","1x0.5","Crafting",,"1.0.0","child's room","None","None","None","No","Toy","No","No lighting","No","Not for sale","FtrBoomerang_Remake_0_0","0_0",682.0,"ckBkMWTsoQs9DqJyY"
"boomerang","Green & orange","Design","NA","NA","Yes","Yes","No","1","NFS",360.0,"Green","Orange","1x0.5","Crafting",,"1.0.0","child's room","None","None","None","No","Toy","No","No lighting","No","Not for sale","FtrBoomerang_Remake_1_0","1_0",682.0,"vzCmcxEKbdd3QwJZC"
"boomerang","Dark brown","Design","NA","NA","Yes","Yes","No","1","NFS",360.0,"Brown","Black","1x0.5","Crafting",,"1.0.0","child's room","None","None","None","No","Toy","No","No lighting","No","Not for sale","FtrBoomerang_Remake_2_0","2_0",682.0,"CDsTmvKkhfAfvRM29"
"boomerang","Red & black","Design","NA","NA","Yes","Yes","No","1","NFS",360.0,"Red","Black","1x0.5","Crafting",,"1.0.0","child's room","None","None","None","No","Toy","No","No lighting","No","Not for sale","FtrBoomerang_Remake_3_0","3_0",682.0,"gxzuuSAcAGoXWT7gy"
"boomerang","White & blue","Design","NA","NA","Yes","Yes","No","1","NFS",360.0,"White","Light blue","1x0.5","Crafting",,"1.0.0","child's room","None","None","None","No","Toy","No","No lighting","No","Not for sale","FtrBoomerang_Remake_4_0","4_0",682.0,"FyvCZvwaADP3n5jMt"
"breaker","NA","NA","NA","NA","No","No","No","NA","820",205.0,"White","Black","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","garage","facility","None","None","No","Home Appliances","No","No lighting","No","For sale","FtrBreaker","NA",875.0,"qkoNJc3xgRsWMkDiy"
"bronze HHA plaque","NA","NA","NA","NA","No","No","No","NA","NFS",400.0,"Brown","Red","1x1","HHA",,"1.0.0","living room","expensive","None","None","No","Museum","No","No lighting","No","Not for sale","FtrShieldHhaBronze","NA",7037.0,"PN2tS6ktAtJor7dYQ"
"broom and dustpan","Natural","NA","NA","NA","No","No","No","NA","910",227.0,"Brown","Gray","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","None","None","None","No","Supplies","No","No lighting","No","For sale","FtrCleaningset_Remake_0_0","0_0",3967.0,"ng3LSLuHpPTEwNfED"
"broom and dustpan","White","NA","NA","NA","No","No","No","NA","910",227.0,"White","Gray","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","None","None","None","No","Supplies","No","No lighting","No","For sale","FtrCleaningset_Remake_1_0","1_0",3967.0,"3XZn5qtRhWhh5J8TH"
"broom and dustpan","Dark brown","NA","NA","NA","No","No","No","NA","910",227.0,"Brown","Black","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","None","None","None","No","Supplies","No","No lighting","No","For sale","FtrCleaningset_Remake_2_0","2_0",3967.0,"AP7AP7JTcGdCpkYwA"
"broom and dustpan","Colorful","NA","NA","NA","No","No","No","NA","910",227.0,"Pink","Brown","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","None","None","None","No","Supplies","No","No lighting","No","For sale","FtrCleaningset_Remake_3_0","3_0",3967.0,"zbGz5Z3N9daD8vogA"
"bug plaque","NA","NA","NA","NA","No","No","No","NA","1200",300.0,"Yellow","Brown","1x1","International Museum Day","Reward for completing the Stamp Rally in the bug exhibit","1.2.0","expensive","den","None","None","No","Museum","No","No lighting","No","Not for sale","FtrMuseumInsectWall","0_0",12485.0,"qpp8eyzBrCe7eFFfg"
"Bunny Day glowy garland","NA","NA","NA","NA","Yes","No","No","NA","NFS",2400.0,"Colorful","Colorful","2x1","Crafting",,"1.1.0","fancy","party","Bunny Day","None","Yes","Lamp","No","Emission","No","Not for sale","FtrEggLampWall","NA",12417.0,"5BcF8Sk7rTzrG3pzr"
"Bunny Day wall clock","NA","NA","NA","NA","Yes","No","No","NA","NFS",1200.0,"Light blue","Colorful","1x1.5","Crafting",,"1.1.0","fancy","None","Bunny Day","None","Yes","Clock","No","No lighting","No","Not for sale","FtrEggClock","NA",12418.0,"Tb7KSuoRanow4ekqm"
"Bunny Day wreath","NA","NA","NA","NA","Yes","No","No","NA","NFS",2400.0,"None","None","1x1","Crafting",,"1.1.0","fancy","party","Bunny Day","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentWreathEaster","NA",12517.0,"4HcJP4W3RFWRSbspS"
"butterfly-fish model","NA","NA","NA","NA","No","No","No","NA","1300",325.0,"Yellow","Yellow","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","ocean","facility","None","None","No","Special Fish","No","No lighting","No","For sale","FtrFishChouchouuoWall","NA",11182.0,"QgzRi2QqTEcpKac5q"
"cherry lamp","Cherry","Fruit type","NA","NA","Yes","Yes","No","4","NFS",2400.0,"Red","Green","1x1","Crafting",,"1.0.0","fancy","None","fruits","cherry","Yes","Lamp","No","Fluorescent","No","Not for sale","FtrFruitsLampW_Remake_0_0","0_0",4012.0,"LvZKcdaWM6pSLdxni"
"cherry lamp","Black cherry","Fruit type","NA","NA","Yes","Yes","No","4","NFS",2400.0,"Red","Green","1x1","Crafting",,"1.0.0","fancy","None","fruits","cherry","Yes","Lamp","No","Fluorescent","No","Not for sale","FtrFruitsLampW_Remake_1_0","1_0",4012.0,"NWu6WpRu8MpRXPwii"
"cherry-blossom clock","Pink","Color","NA","NA","Yes","Yes","No","4","NFS",2750.0,"Pink","Pink","1x1","Crafting",,"1.0.0","fancy","None","cherry blossoms","None","Yes","Clock","No","No lighting","No","Not for sale","FtrSakuraClockW_Remake_0_0","0_0",6832.0,"tb9y9v6vrf98WExq7"
"cherry-blossom clock","Pink-white","Color","NA","NA","Yes","Yes","No","4","NFS",2750.0,"Pink","White","1x1","Crafting",,"1.0.0","fancy","None","cherry blossoms","None","Yes","Clock","No","No lighting","No","Not for sale","FtrSakuraClockW_Remake_1_0","1_0",6832.0,"iw6Qpmkn6qEaenEtP"
"chic cosmos wreath","NA","NA","NA","NA","Yes","No","No","NA","NFS",4800.0,"Black","Black","1x1","Crafting",,"1.0.0","fancy","None","flowers","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentWreathCosmosRare","NA",5764.0,"DgLEZbDS2BsJ59K78"
"chic windflower wreath","NA","NA","NA","NA","Yes","No","No","NA","NFS",4800.0,"Purple","Purple","1x1","Crafting",,"1.0.0","fancy","None","flowers","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentWreathAnemoneRare","NA",5765.0,"tBJvNsSQvk8ajonsT"
"coconut wall planter","NA","NA","NA","NA","Yes","No","No","NA","NFS",600.0,"Green","Beige","1x1.5","Crafting",,"1.0.0","ocean","living room","None","None","No","Plants","No","No lighting","No","Not for sale","FtrPlanterPalm","NA",4130.0,"wsXGBE5N9NwenYTRj"
"cool hyacinth wreath","NA","NA","NA","NA","Yes","No","No","NA","NFS",1440.0,"Blue","Orange","1x1","Crafting",,"1.0.0","fancy","None","flowers","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentWreathHyacinthMix","NA",5750.0,"MLMnpWFmufqDeg479"
"cool pansy wreath","NA","NA","NA","NA","Yes","No","No","NA","NFS",4800.0,"Purple","Purple","1x1","Crafting",,"1.0.0","fancy","None","flowers","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentWreathPansyRare","NA",5767.0,"wS4t24ixhhAnsRXFB"
"cool windflower wreath","NA","NA","NA","NA","Yes","No","No","NA","NFS",1200.0,"Blue","Blue","1x1","Crafting",,"1.0.0","fancy","None","flowers","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentWreathAnemoneMix","NA",5746.0,"uZT5wfceZaKMP2nZZ"
"corkboard","Natural","NA","Apple","Favorite card","No","No","Yes","1","1400",350.0,"Beige","Red","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_0_0","0_0",1783.0,"5QL4Epdhwtt3e6CKB"
"corkboard","Natural","NA","Fish","Favorite card","No","No","Yes","1","1400",350.0,"Beige","Blue","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_0_1","0_1",1783.0,"QBTmJYYjs9Bjx9fvz"
"corkboard","Natural","NA","Flower","Favorite card","No","No","Yes","1","1400",350.0,"Beige","Green","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_0_2","0_2",1783.0,"eFDwvWFJb58YycAWt"
"corkboard","White","NA","Apple","Favorite card","No","No","Yes","1","1400",350.0,"White","Red","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_1_0","1_0",1783.0,"X5PSeoz28t2QeLAGP"
"corkboard","White","NA","Fish","Favorite card","No","No","Yes","1","1400",350.0,"White","Blue","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_1_1","1_1",1783.0,"hgrWYxMGDRWqqfi8b"
"corkboard","White","NA","Flower","Favorite card","No","No","Yes","1","1400",350.0,"White","Green","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_1_2","1_2",1783.0,"agfCPzRF4syht7Csc"
"corkboard","Blue","NA","Apple","Favorite card","No","No","Yes","1","1400",350.0,"Blue","Red","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_2_0","2_0",1783.0,"sKaJPMQLFip2xCpPu"
"corkboard","Blue","NA","Fish","Favorite card","No","No","Yes","1","1400",350.0,"Blue","Blue","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_2_1","2_1",1783.0,"iFndpQ9FzRBbK2X2Q"
"corkboard","Blue","NA","Flower","Favorite card","No","No","Yes","1","1400",350.0,"Blue","Green","2x1","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","school","office","None","None","No","Study","No","No lighting","No","For sale","FtrCorkboard_Remake_2_2","2_2",1783.0,"4FxH2Zhn3mdW3vAvv"
"cosmos wreath","NA","NA","NA","NA","Yes","No","No","NA","NFS",720.0,"Red","Yellow","1x1","Crafting",,"1.0.0","fancy","None","flowers","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentWreathCosmos","NA",4293.0,"Jb4w7uvb9QhGerC3Z"
"crest doorplate","Silver","Color","NA","NA","Yes","Yes","No","1","NFS",3000.0,"Gray","Black","1x1","Crafting",,"1.0.0","expensive","None","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentCrest_Remake_0_0","0_0",5717.0,"iE8G3C8jdhexkkY8c"
"crest doorplate","Gold & silver","Color","NA","NA","Yes","Yes","No","1","NFS",3000.0,"Yellow","Gray","1x1","Crafting",,"1.0.0","expensive","None","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentCrest_Remake_1_0","1_0",5717.0,"aGewHTksfKfJW2MY8"
"crest doorplate","Silver & blue","Color","NA","NA","Yes","Yes","No","1","NFS",3000.0,"Gray","Blue","1x1","Crafting",,"1.0.0","expensive","None","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentCrest_Remake_2_0","2_0",5717.0,"7G5TyTF9wcH7n5wbH"
"crest doorplate","Red & white","Color","NA","NA","Yes","Yes","No","1","NFS",3000.0,"Red","White","1x1","Crafting",,"1.0.0","expensive","None","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentCrest_Remake_3_0","3_0",5717.0,"Hf2jaoLX7JMRduSvR"
"crest doorplate","Silver & green","Color","NA","NA","Yes","Yes","No","1","NFS",3000.0,"Gray","Green","1x1","Crafting",,"1.0.0","expensive","None","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentCrest_Remake_4_0","4_0",5717.0,"62E5Y2ZJ4Z6PoWGdT"
"crest doorplate","Colorful","Color","NA","NA","Yes","Yes","No","1","NFS",3000.0,,,"1x1","Crafting",,"1.0.0","expensive","None","None","None","No","House Door Decor","No","No lighting","Yes","Not for sale","FtrDoorOrnamentCrest_Remake_5_0","5_0",5717.0,"4kY54jHig2i2Cp5S9"
"cuckoo clock","Natural","NA","NA","NA","No","No","No","NA","3200",800.0,"Beige","Beige","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","child's room","None","None","Yes","Clock","No","No lighting","No","For sale","FtrCuckooclock_Remake_0_0","0_0",915.0,"YkqSGut473PFEpLjj"
"cuckoo clock","Green","NA","NA","NA","No","No","No","NA","3200",800.0,"Green","Brown","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","child's room","None","None","Yes","Clock","No","No lighting","No","For sale","FtrCuckooclock_Remake_1_0","1_0",915.0,"5vQjTtmpbQKt3BTLe"
"cuckoo clock","Blue","NA","NA","NA","No","No","No","NA","3200",800.0,"Blue","Brown","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","child's room","None","None","Yes","Clock","No","No lighting","No","For sale","FtrCuckooclock_Remake_2_0","2_0",915.0,"pTvXozhSHgn4GkDdN"
"cuckoo clock","Yellow","NA","NA","NA","No","No","No","NA","3200",800.0,"Yellow","Beige","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","child's room","None","None","Yes","Clock","No","No lighting","No","For sale","FtrCuckooclock_Remake_3_0","3_0",915.0,"3yfvreNYdjbtj84fY"
"cuckoo clock","Red","NA","NA","NA","No","No","No","NA","3200",800.0,"Red","Brown","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","child's room","None","None","Yes","Clock","No","No lighting","No","For sale","FtrCuckooclock_Remake_4_0","4_0",915.0,"Yu8JF2SwWhTmiqeG7"
"cuckoo clock","White","NA","NA","NA","No","No","No","NA","3200",800.0,"White","White","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","child's room","None","None","Yes","Clock","No","No lighting","No","For sale","FtrCuckooclock_Remake_5_0","5_0",915.0,"jTjxtMtHjrP7e8Yy8"
"cuckoo clock","Black","NA","NA","NA","No","No","No","NA","3200",800.0,"Black","Black","1x1.5","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","child's room","None","None","Yes","Clock","No","No lighting","No","For sale","FtrCuckooclock_Remake_6_0","6_0",915.0,"k8c59yKdpH2dTD43C"
"cute wall-mounted clock","White","NA","NA","NA","No","No","No","NA","1200",300.0,"White","Pink","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","fancy","None","cute","None","Yes","Clock","No","No lighting","No","For sale","FtrCuteClockW_Remake_0_0","0_0",3996.0,"oL9aQ7wvxNZqHuNMu"
"cute wall-mounted clock","Sky blue","NA","NA","NA","No","No","No","NA","1200",300.0,"Light blue","Blue","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","fancy","None","cute","None","Yes","Clock","No","No lighting","No","For sale","FtrCuteClockW_Remake_1_0","1_0",3996.0,"XKyofHP5PRaczSckT"
