"name","buy","sell","color_1","color_2","size","source","source_notes","version","catalog","filename","internal_id","unique_entry_id"
"Angus's poster",1000.0,250.0,"Red","Orange","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlBul00",10807.0,"wGwxFH8nwYXuDj8Mv"
"Anicotti's poster",1000.0,250.0,"Green","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlMus10",10413.0,"YFQoYdCCWf74rHXxX"
"Ankha's poster",1000.0,250.0,"Yellow","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCat19",10416.0,"YNxQgR8caq9EAvm8b"
"Annalisa's poster",1000.0,250.0,"Beige","Pink","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlAnt08",10824.0,"QLhdJiM4EPJBdZvZD"
"Annalise's poster",1000.0,250.0,"Brown","Purple","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHrs09",10573.0,"KeP7vMfGPMihtEeRN"
"Antonio's poster",1000.0,250.0,"Blue","Yellow","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlAnt01",10795.0,"TeuSXPWPNyvqpWyF7"
"Apollo's poster",1000.0,250.0,"Black","White","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPbr00",10512.0,"SiD2CXoom2ufiKaHY"
"Apple's poster",1000.0,250.0,"Red","Yellow","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHam01",10565.0,"fqWJTtNBSXH4JTa4W"
"Astrid's poster",1000.0,250.0,"White","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlKgr05",10493.0,"ha3PS72Re4aZznfPB"
"Audie's poster",1000.0,250.0,"Red","Yellow","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlWol12",10859.0,"ji4EcitFLpu8pxguu"
"Aurora's poster",1000.0,250.0,"Black","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPgn00",10563.0,"iPnQ3k2KAts6ZohZu"
"Ava's poster",1000.0,250.0,"Beige","Pink","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlChn05",10467.0,"XuCCq3DgwaAREjgnY"
"Avery's poster",1000.0,250.0,"Gray","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPbr05",10370.0,"5aP6GoQ2YiTHaN523"
"Axel's poster",1000.0,250.0,"Blue","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlElp06",10319.0,"5BGYmdDam5ddHkktX"
"Baabara's poster",1000.0,250.0,"Brown","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlShp01",10508.0,"hmmcqfFiWWoWNQfre"
"Bam's poster",1000.0,250.0,"Blue","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDer01",10456.0,"N5FWLxwNYM2Qb4CsD"
"Bangle's poster",1000.0,250.0,"Brown","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlTig03",10672.0,"waGuCcp47Jd8riQgL"
"Barold's poster",1000.0,250.0,"Gray","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCbr16",10583.0,"F9dscB8bM2NRt4DHz"
"Bea's poster",1000.0,250.0,"Light blue","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDog10",10632.0,"QANup429jzLZ9RtGw"
"Beardo's poster",1000.0,250.0,"Light blue","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlBea13",10788.0,"oDTLWzHGazre6rf2d"
"Beau's poster",1000.0,250.0,"Light blue","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDer07",10396.0,"akpHWn6ftgCh2DkQn"
"Becky's poster",1000.0,250.0,"Purple","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlChn09",10580.0,"FKSnKjqAcon3Xnsbh"
"Bella's poster",1000.0,250.0,"Purple","White","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlMus02",10681.0,"2ZzkQFMSyPpDWBFwN"
"Benedict's poster",1000.0,250.0,"Red","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlChn01",10400.0,"LW8FbZ42R53sf8Gmr"
"Benjamin's poster",1000.0,250.0,"Yellow","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDog16",10695.0,"4gXWSoNbnL5ejGPbe"
"Bertha's poster",1000.0,250.0,"Pink","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHip03",10322.0,"NLbdnzL9z9rAsyDLi"
"Bettina's poster",1000.0,250.0,"Orange","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlMus15",10403.0,"SCYyGPKpf7aK3PXD7"
"Bianca's poster",1000.0,250.0,"Light blue","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlTig06",10393.0,"odXRHQpFx3rB3QGTQ"
"Biff's poster",1000.0,250.0,"Red","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHip04",10682.0,"qhFwx4ArLikXPrHa8"
"Big Top's poster",1000.0,250.0,"Green","Yellow","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlElp02",10426.0,"mkPhKXgL5CiHPjWRt"
"Bill's poster",1000.0,250.0,"Brown","Yellow","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDuk00",10653.0,"sYPGCn8NjP6R9byDv"
"Billy's poster",1000.0,250.0,"Brown","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlGoa02",10620.0,"NGA6CZqcPu5H3NXbn"
"Biskit's poster",1000.0,250.0,"Orange","Purple","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDog03",10496.0,"RsGh3NwxT4szECdgL"
"Bitty's poster",1000.0,250.0,"Pink","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHip05",10622.0,"cAuB9k5uSv46zLv9t"
"Blaire's poster",1000.0,250.0,"Black","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlSqu01",10369.0,"dZZxMyzvStPjj2snD"
"Blanca's poster",1000.0,250.0,"White","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo","1.0.0","For sale","PosterNpcSpMka",10343.0,"HGSmXooFFtwAMcxHX"
"Blanche's poster",1000.0,250.0,"White","Pink","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlOst08",10478.0,"R6Rw4ctwjDY9e28et"
"Blathers's poster",1000.0,250.0,"Brown","Beige","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcSpOwl",10324.0,"gaPCze5wML6Qug2jZ"
"Bluebear's poster",1000.0,250.0,"Light blue","Purple","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCbr00",10652.0,"3xyh2F9XMHniXeMPj"
"Bob's poster",1000.0,250.0,"Purple","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCat00",10797.0,"z2W6hsJ38PNXr5JBS"
"Bonbon's poster",1000.0,250.0,"Brown","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlRbt17",10666.0,"9bjNfEmfXHogQLLy9"
"Bones's poster",1000.0,250.0,"Beige","Pink","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDog04",10548.0,"gCMMRqr89tRzSDsfi"
"Booker's poster",1000.0,250.0,"Orange","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo","1.0.0","For sale","PosterNpcSpDgb",10336.0,"iLRZ2sLsR5JpnstFW"
"Boomer's poster",1000.0,250.0,"Black","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPgn10",10506.0,"AaTWfB3HwMLdb66oj"
"Boone's poster",1000.0,250.0,"Brown","White","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlGor02",10534.0,"x73G2vr9yLgmGFkAz"
"Boots's poster",1000.0,250.0,"Green","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCrd02",10634.0,"sx9Msn3pFgbL797cq"
"Boris's poster",1000.0,250.0,"Blue","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPig09",10613.0,"jWhj4NpRxCTr6448J"
"Boyd's poster",1000.0,250.0,"Red","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlGor05",10621.0,"ZLgQCoaTBm2ampuyF"
"Bree's poster",1000.0,250.0,"Green","Pink","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlMus03",10486.0,"hwiRhRj9ns5DYLxh4"
"Brewster's poster",1000.0,250.0,"Green","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo","1.0.0","For sale","PosterNpcSpPge",10516.0,"MvWLaRvLhvzFLL33M"
"Broccolo's poster",1000.0,250.0,"Light blue","Colorful","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlMus12",10378.0,"jtgSXuiFeXrhqcndu"
"Broffina's poster",1000.0,250.0,"Orange","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlChn12",10535.0,"CPcRxGMpcoM7eJDED"
"Bruce's poster",1000.0,250.0,"Gray","Orange","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDer03",10594.0,"Avb77qhMp3B6QgAXm"
"Bubbles's poster",1000.0,250.0,"Orange","Purple","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHip02",10447.0,"pbKEfdRSQB6aLq8KK"
"Buck's poster",1000.0,250.0,"Green","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHrs00",10485.0,"j2RuomkgYQHRXvyMr"
"Bud's poster",1000.0,250.0,"Brown","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlLon00",10398.0,"CLSFvYYxsYPxWZ46r"
"Bunnie's poster",1000.0,250.0,"Red","Beige","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlRbt00",10316.0,"SLfwmbskgPWmkKZyz"
"Butch's poster",1000.0,250.0,"Brown","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDog01",10385.0,"MeC9zFBwnNcMr6aaA"
"Buzz's poster",1000.0,250.0,"Brown","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPbr03",10648.0,"ooxssY2sNRY35R7Tj"
"Cally's poster",1000.0,250.0,"Beige","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlSqu11",10600.0,"9C75xv9doaZLWpnKt"
"Camofrog's poster",1000.0,250.0,"Green","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlFlg03",10412.0,"BB9Jwomm4GExvnoTE"
"Canberra's poster",1000.0,250.0,"Orange","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlKal08",10451.0,"E9tQeMSWQKoNgSxvo"
"Candi's poster",1000.0,250.0,"Pink","Yellow","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlMus08",10637.0,"YgLmQYuHf259anCYZ"
"Carmen's poster",1000.0,250.0,"Brown","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlRbt16",10374.0,"RFRW8GSsCgM66CgLP"
"Caroline's poster",1000.0,250.0,"Red","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlSqu06",10507.0,"wkEbaPiiNzejEB4zE"
"Carrie's poster",1000.0,250.0,"Orange","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlKgr02",10615.0,"zgkHz6cjBecbyqG3F"
"Cashmere's poster",1000.0,250.0,"White","Purple","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlShp04",10640.0,"8GcwQ4DCdGddLw7mr"
"Celeste's poster",1000.0,250.0,"Brown","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcSpOws",10334.0,"QiRLGPEKXAy9CnsnD"
"Celia's poster",1000.0,250.0,"White","Green","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPbr09",10568.0,"dt9NAEkoWCwzwPEdc"
"Cesar's poster",1000.0,250.0,"Beige","Orange","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlGor00",10373.0,"e4KkHQ82KgXQTCABf"
"Chadder's poster",1000.0,250.0,"Yellow","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlMus18",10501.0,"EASeGQP4RzhCSeruR"
"Charlise's poster",1000.0,250.0,"Green","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlBea12",10778.0,"Y84YAXuwcwTW6E58c"
"Cheri's poster",1000.0,250.0,"Red","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCbr10",10570.0,"CYXPqX7QRipEbNadc"
"Cherry's poster",1000.0,250.0,"Red","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlDog17",10689.0,"AHm3qpXemG6uwXER6"
"Chester's poster",1000.0,250.0,"White","Yellow","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCbr15",10468.0,"rx2AJ8Pyk3RCEgPYE"
"Chevre's poster",1000.0,250.0,"White","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlGoa00",10461.0,"QE6gma6op497WQszD"
"Chief's poster",1000.0,250.0,"Orange","Beige","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlWol00",10315.0,"pdozFdt9MCk7zkAF7"
"Chip's poster",1000.0,250.0,"Blue","Beige","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo","1.0.0","For sale","PosterNpcSpBev",10345.0,"dMPLdh2gpsxvQBynf"
"Chops's poster",1000.0,250.0,"Beige","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPig14",10414.0,"bXDLH8xnxjJBEnsG4"
"Chow's poster",1000.0,250.0,"Pink","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlBea03",10803.0,"NE5kjZejyKSehbjE5"
"Chrissy's poster",1000.0,250.0,"Pink","Purple","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlRbt13",10515.0,"99G5xnagWg9EMz8Ye"
"Cinnamoroll poster",1000.0,250.0,"Light blue","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlElp11",11124.0,"EFHuxMqC34e4se2EB"
"Claude's poster",1000.0,250.0,"Brown","Beige","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlRbt11",10628.0,"FooozdRN5X7cNudTB"
"Claudia's poster",1000.0,250.0,"Pink","White","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlTig05",10504.0,"qFn6XSJerSuZzBZ69"
"Clay's poster",1000.0,250.0,"Brown","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHam05",10317.0,"w2ZH8ZhMikGXAkpt3"
"Cleo's poster",1000.0,250.0,"Purple","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHrs07",10649.0,"GRzGAf4uCmStEdeKs"
"Clyde's poster",1000.0,250.0,"Yellow","Pink","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlHrs10",10680.0,"fk9cqFYGfCkxsSHnp"
"Coach's poster",1000.0,250.0,"Yellow","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlBul07",10356.0,"4qKaNfyw4Rf3Ppg3D"
"Cobb's poster",1000.0,250.0,"Green","White","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPig08",10686.0,"YqhHWLz3MD2kSXySK"
"Coco's poster",1000.0,250.0,"Beige","Brown","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlRbt02",10379.0,"mxYiTvmbSJvvYyBZr"
