"name","variation","diy","buy","sell","color_1","color_2","size","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","villager_equippable","catalog","primary_shape","secondary_shape","filename","internal_id","unique_entry_id"
"ancient belted robe","Green","No","3640",910.0,"Green","Green","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukumen1",9158.0,"Ta6QSCmpE9nybMPxA"
"ancient belted robe","Beige","No","3640",910.0,"Beige","Brown","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukumen2",9159.0,"DFxZQJWvqjzGxpEWw"
"ancient belted robe","White","No","3640",910.0,"White","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukumen3",9160.0,"Fcbj8smE8XoZJuH3h"
"ancient belted robe","Purple","No","3640",910.0,"Purple","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukumen4",9161.0,"2Pz2drQkcbzDF5dXX"
"ancient sashed robe","Green","No","2520",630.0,"Green","Red","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukuwomen0",5519.0,"9ia2ueaAKgT25KpLq"
"ancient sashed robe","Pink","No","2520",630.0,"Pink","Purple","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukuwomen1",9162.0,"vRcHxEwpupmHocSZi"
"ancient sashed robe","Red","No","2520",630.0,"Pink","Red","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukuwomen2",9163.0,"fkKFHi8LSBqQnF5fP"
"ancient sashed robe","Blue","No","2520",630.0,"Light blue","Blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukuwomen3",9164.0,"eZq27jsCvY5jxiyJX"
"ancient sashed robe","Purple","No","2520",630.0,"Purple","Purple","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukuwomen4",9165.0,"jr6P62azs7uQ2gzjL"
"áo dài","White","No","2520",630.0,"White","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","Yes","For sale","B-long","L","TopsTexOnepieceBlongLAodai0",3493.0,"KPYgXwbrnLgBT7aaS"
"áo dài","Navy blue","No","2520",630.0,"Blue","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","Yes","For sale","B-long","L","TopsTexOnepieceBlongLAodai1",9141.0,"qJ6wpwNd8tRK4mJqt"
"áo dài","Yellow","No","2520",630.0,"Yellow","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","Yes","For sale","B-long","L","TopsTexOnepieceBlongLAodai2",9142.0,"iCHJh668S3FYby4iz"
"áo dài","Green","No","2520",630.0,"Green","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","Yes","For sale","B-long","L","TopsTexOnepieceBlongLAodai3",9143.0,"bkv3c36HA4856YrPL"
"áo dài","Pink","No","2520",630.0,"Pink","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","Yes","For sale","B-long","L","TopsTexOnepieceBlongLAodai4",9144.0,"EhoEQfAaNHBCYq6ET"
"apple dress","Red","Yes","NFS",1600.0,"Yellow","Red","1x1","Crafting",,"All Year","No","1.0.0","Cute","fairy tale; party; theatrical","Yes","Not for sale","A-line","N","TopsTexOnepieceAlineNApple0",9836.0,"4r6bu79MTGChcioYr"
"astro dress","Blue","No","2500",625.0,"Gray","Blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","fairy tale; theatrical","Yes","For sale","A-line","N","TopsTexOnepieceAlineNSpace0",5135.0,"YgSrhdHZosAdNtDvp"
"astro dress","Green","No","2500",625.0,"Gray","Green","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","fairy tale; theatrical","Yes","For sale","A-line","N","TopsTexOnepieceAlineNSpace1",7890.0,"Zwb2C5oFXQ3ip2KTb"
"astro dress","Pink","No","2500",625.0,"Gray","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","fairy tale; theatrical","Yes","For sale","A-line","N","TopsTexOnepieceAlineNSpace2",7891.0,"MCrJgJnwLXfXbNiTA"
"attus robe","Blue","No","2520",630.0,"Blue","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; formal","Yes","For sale","B-long","L","TopsTexOnepieceBlongLAttoushi0",10907.0,"GCnizpuhnhMnWodB6"
"attus robe","Brown","No","2520",630.0,"Brown","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; formal","Yes","For sale","B-long","L","TopsTexOnepieceBlongLAttoushi1",11998.0,"uWaA98hr4zo2nE424"
"attus robe","Red","No","2520",630.0,"Red","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; formal","Yes","For sale","B-long","L","TopsTexOnepieceBlongLAttoushi2",11999.0,"GKPivR7QXbRhAH589"
"baby romper","Baby mint","No","1920",480.0,"Light blue","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; comfy","Yes","For sale","Overall","L","TopsTexOnepieceOverallLRompers0",4470.0,"fpTozgJHe8zAbuoJr"
"baby romper","Baby purple","No","1920",480.0,"Pink","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; comfy","Yes","For sale","Overall","L","TopsTexOnepieceOverallLRompers1",7828.0,"xaNwcn2BKpELEEcJu"
"baby romper","Baby yellow","No","1920",480.0,"Yellow","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; comfy","Yes","For sale","Overall","L","TopsTexOnepieceOverallLRompers2",7829.0,"jATy7chF9RZSpzgkM"
"baby romper","Baby green","No","1920",480.0,"Green","Green","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; comfy","Yes","For sale","Overall","L","TopsTexOnepieceOverallLRompers3",7830.0,"3wYgbYbbc9R7XK6sT"
"baby romper","Baby pink","No","1920",480.0,"Red","Red","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; comfy","Yes","For sale","Overall","L","TopsTexOnepieceOverallLRompers4",7831.0,"xugKSBhsTLu7iJHqf"
"baby romper","Baby gray","No","1920",480.0,"Beige","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; comfy","Yes","For sale","Overall","L","TopsTexOnepieceOverallLRompers5",7832.0,"AXWwhihKEF9GCxh7R"
"baby romper","Baby blue","No","1920",480.0,"Blue","Blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; comfy","Yes","For sale","Overall","L","TopsTexOnepieceOverallLRompers6",7833.0,"6SATwHBYcR8soiT2n"
"baby romper","Baby orange","No","1920",480.0,"Orange","Orange","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; comfy","Yes","For sale","Overall","L","TopsTexOnepieceOverallLRompers7",7834.0,"63PAmvstBoJvzyYq9"
"baby-chick costume","Yellow","No","1700",425.0,"Yellow","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Cute","fairy tale; party; theatrical","Yes","For sale","Rib","N","TopsTexOnepieceRibNChick0",5644.0,"YA7qY7v9XHAvmqbXH"
"baby-chick costume","Blue","No","1700",425.0,"Light blue","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","Yes","For sale","Rib","N","TopsTexOnepieceRibNChick1",9640.0,"gW7sLivQcaehgbjXP"
"baby-chick costume","Beige","No","1700",425.0,"Beige","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","Yes","For sale","Rib","N","TopsTexOnepieceRibNChick2",9641.0,"ypSLLZTw54xErGjfT"
"baji jeogori","Blue","No","2520",630.0,"Blue","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKorea0",5818.0,"oiNZmTDej7FHJY8Ab"
"baji jeogori","Purple","No","2520",630.0,"Purple","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKorea1",9166.0,"MiGR4W6zqSmxAaidp"
"baji jeogori","Aqua","No","2520",630.0,"Light blue","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKorea2",9167.0,"AJkbvYDxyGcQpGKFG"
"baji jeogori","Black","No","2520",630.0,"Black","Gray","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKorea3",9168.0,"MapEioZAxqTnzK2Mz"
"ballet outfit","Pink","No","2880",720.0,"Pink","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; sporty; theatrical; work","Yes","For sale","Balloon","N","TopsTexOnepieceBalloonNBallet0",3166.0,"PR8F8HXT6zhFmiSoL"
"ballet outfit","Mint","No","2880",720.0,"Green","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; sporty; theatrical; work","Yes","For sale","Balloon","N","TopsTexOnepieceBalloonNBallet1",9412.0,"5ppj9ELW2ts4jnpfK"
"ballet outfit","Blue","No","2880",720.0,"Blue","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; sporty; theatrical; work","Yes","For sale","Balloon","N","TopsTexOnepieceBalloonNBallet2",9413.0,"xZnnLbWuk4NqYx7da"
"ballet outfit","Purple","No","2880",720.0,"Purple","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; sporty; theatrical; work","Yes","For sale","Balloon","N","TopsTexOnepieceBalloonNBallet3",9414.0,"a3SPLxg8gvdHASamJ"
"ballet outfit","Black","No","2880",720.0,"Black","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; sporty; theatrical; work","Yes","For sale","Balloon","N","TopsTexOnepieceBalloonNBallet4",9415.0,"cZuKQFyeLymFGDngJ"
"ballet outfit","White","No","2880",720.0,"White","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; sporty; theatrical; work","Yes","For sale","Balloon","N","TopsTexOnepieceBalloonNBallet5",9416.0,"cRmBbYvn7e6bdJBfi"
"ballet outfit","Yellow","No","2880",720.0,"Yellow","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; sporty; theatrical; work","Yes","For sale","Balloon","N","TopsTexOnepieceBalloonNBallet6",9417.0,"wFeRZDBHF9PmpaH8q"
"ballet outfit","Red","No","2880",720.0,"Red","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; sporty; theatrical; work","Yes","For sale","Balloon","N","TopsTexOnepieceBalloonNBallet7",9418.0,"BXLtytts48iRPNmy9"
"balmacaan coat","Avocado","No","1540",385.0,"Green","Green","1x1","Able Sisters","Available from Able Sisters shop only","Winter","Yes","1.0.0","Simple","everyday","Yes","For sale","B-long","L","TopsTexOnepieceBlongLBalmakarn0",4606.0,"ZSrYa9yCZuEtRuDXa"
"balmacaan coat","Beige","No","1540",385.0,"Beige","Beige","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Simple","everyday","Yes","For sale","B-long","L","TopsTexOnepieceBlongLBalmakarn1",9306.0,"j36QhnToq72NcFoTv"
"balmacaan coat","Navy blue","No","1540",385.0,"Blue","Blue","1x1","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Simple","everyday","Yes","For sale","B-long","L","TopsTexOnepieceBlongLBalmakarn2",9307.0,"6dMCMfwf8Gekwt6ww"
"baseball uniform","Red","No","1760",440.0,"Red","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBaseball0",3611.0,"HhoXdZZZWxQGCk752"
"baseball uniform","Navy blue","No","1760",440.0,"Blue","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBaseball1",11106.0,"CziYkwQpHnwwgwmsF"
"baseball uniform","Green","No","1760",440.0,"Green","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBaseball2",11107.0,"RPu7p2wCQzzJsoZ9F"
"baseball uniform","Orange","No","1760",440.0,"Black","Orange","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBaseball3",11108.0,"3gxYZqHjofPiXoQYi"
"baseball uniform","Yellow","No","1760",440.0,"Black","Yellow","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","sporty; work","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBaseball4",11109.0,"DhRRcfvrdTfMFERYf"
"bath-towel wrap","Pink","No","630",157.0,"Pink","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","N","TopsTexOnepieceBoxNBathtowel0",4361.0,"maeBfSoK7TC9hgFNX"
"bath-towel wrap","White","No","630",157.0,"White","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","N","TopsTexOnepieceBoxNBathtowel1",7811.0,"JS6Z64sHXkWgXYWvE"
"bath-towel wrap","Blue","No","630",157.0,"Light blue","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","N","TopsTexOnepieceBoxNBathtowel2",7812.0,"cstqgzaWuqDB8ti93"
"bath-towel wrap","Green","No","630",157.0,"Green","Green","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","N","TopsTexOnepieceBoxNBathtowel3",7813.0,"4CLJ5docy9jtzAG4z"
"bath-towel wrap","Purple","No","630",157.0,"Purple","Purple","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","N","TopsTexOnepieceBoxNBathtowel4",7814.0,"cZrL49HyDM6tjieuB"
"bath-towel wrap","Black","No","630",157.0,"Black","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","N","TopsTexOnepieceBoxNBathtowel5",7815.0,"FAb5AGmEnEdCqCp4F"
"bath-towel wrap","Brown","No","630",157.0,"Brown","Brown","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","N","TopsTexOnepieceBoxNBathtowel6",7816.0,"BQj2oNwq8HYhtenp8"
"bathrobe","White","No","720",180.0,"White","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","L","TopsTexOnepieceBoxLBathrobes0",3165.0,"nW28CtMTSt7iNNEQZ"
"bathrobe","Pink","No","720",180.0,"Pink","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","L","TopsTexOnepieceBoxLBathrobes1",7817.0,"WF5NasbTTRETdwzHn"
"bathrobe","Blue","No","720",180.0,"Light blue","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","L","TopsTexOnepieceBoxLBathrobes2",7818.0,"XY5ESy5YS2XvYXPYa"
"bathrobe","Green","No","720",180.0,"Green","Green","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","L","TopsTexOnepieceBoxLBathrobes3",7819.0,"gjHaiKH55sce26ZSY"
"bathrobe","Purple","No","720",180.0,"Purple","Purple","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","L","TopsTexOnepieceBoxLBathrobes4",7820.0,"6z4GYHuFH3sZinmww"
"bathrobe","Black","No","720",180.0,"Black","Black","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","L","TopsTexOnepieceBoxLBathrobes5",7821.0,"Hpg2duFhoHoKHDrqj"
"bathrobe","Brown","No","720",180.0,"Brown","Brown","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","comfy","Yes","For sale","Box","L","TopsTexOnepieceBoxLBathrobes6",7822.0,"98b39TTftthoRbnsR"
"bear costume","Brown","No","1700",425.0,"Brown","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBear0",3417.0,"hjNai4dfzoqt6oX2m"
"bear costume","Black","No","1700",425.0,"Black","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBear1",9628.0,"tbpLhy27tD3AQPYCD"
"bear costume","Pink","No","1700",425.0,"Pink","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBear2",9629.0,"mB4TGMowDroYHofZt"
"bear costume","Blue","No","1700",425.0,"Light blue","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale; party; theatrical","Yes","For sale","Overall","L","TopsTexOnepieceOverallLBear3",9630.0,"rs5SZ3Qh4gxjafnSM"
"bekasab robe","Red","No","2520",630.0,"Red","Brown","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Gorgeous","everyday; formal","Yes","For sale","A-long","L","TopsTexOnepieceAlongLUzbek0",10906.0,"Q34fhddd9EffXaHvS"
"bekasab robe","Blue","No","2520",630.0,"Light blue","Blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Gorgeous","everyday; formal","Yes","For sale","A-long","L","TopsTexOnepieceAlongLUzbek1",11995.0,"qPLZ3iuMRK7o5CnWK"
"bekasab robe","Camel","No","2520",630.0,"Orange","Brown","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Gorgeous","everyday; formal","Yes","For sale","A-long","L","TopsTexOnepieceAlongLUzbek2",11996.0,"eq8oNByquPyya2TuN"
"bekasab robe","Purple","No","2520",630.0,"Purple","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Gorgeous","everyday; formal","Yes","For sale","A-long","L","TopsTexOnepieceAlongLUzbek3",11997.0,"36BRJXGD3tMyAmc2g"
"belted dotted dress","Light blue","No","2000",500.0,"Light blue","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","fairy tale; party; vacation","Yes","For sale","Balloon","H","TopsTexOnepieceBalloonHPolkadot0",3054.0,"PwiZ9vT4c8kDb3F83"
"belted dotted dress","Pink","No","2000",500.0,"Pink","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","fairy tale; party; vacation","Yes","For sale","Balloon","H","TopsTexOnepieceBalloonHPolkadot1",8866.0,"aoGyqkZ4sz3rm5W9h"
"belted dotted dress","Yellow","No","2000",500.0,"Yellow","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","fairy tale; party; vacation","Yes","For sale","Balloon","H","TopsTexOnepieceBalloonHPolkadot2",8867.0,"bkwKdTiDoub9FjgBg"
"belted dotted dress","Green","No","2000",500.0,"Green","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cute","fairy tale; party; vacation","Yes","For sale","Balloon","H","TopsTexOnepieceBalloonHPolkadot3",8868.0,"ABXLKuYheFcunS3pk"
"bingata dress","Yellow","No","2520",630.0,"Yellow","Red","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","theatrical","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLBingata0",10908.0,"XfmN6jSCvgu5jd6Y6"
"blossom dress","Pink","No","1500",375.0,"Pink","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","everyday; fairy tale","Yes","For sale","A-line","H","TopsTexOnepieceAlineHFlower0",3069.0,"GqYyjv48SGxMn4GuZ"
"blossom dress","Blue","No","1500",375.0,"Light blue","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","everyday; fairy tale","Yes","For sale","A-line","H","TopsTexOnepieceAlineHFlower1",8806.0,"htYweYAfTJ9GJrQzZ"
"blossom dress","Yellow","No","1500",375.0,"Yellow","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","everyday; fairy tale","Yes","For sale","A-line","H","TopsTexOnepieceAlineHFlower2",8807.0,"uSPwJQvogSRpTTviE"
"blossom dress","Green","No","1500",375.0,"Green","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","everyday; fairy tale","Yes","For sale","A-line","H","TopsTexOnepieceAlineHFlower3",8808.0,"5wRSMJBtc72WxCajX"
"blossom dress","Purple","No","1500",375.0,"Purple","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cute","everyday; fairy tale","Yes","For sale","A-line","H","TopsTexOnepieceAlineHFlower4",8809.0,"EZHMvPc53oJhSGAtT"
"blossoming kimono","Pink","No","3220",805.0,"Pink","Red","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal; party","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLUme0",3572.0,"2DCsWtgzNsYcGh56w"
"blossoming kimono","Green tea","No","3220",805.0,"Green","Green","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal; party","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLUme1",8980.0,"JpsCXspD9GyZr2CHg"
"boa parka","Mint","No","1800",450.0,"Green","Green","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","Yes","1.0.0","Simple","everyday; outdoorsy; comfy","Yes","For sale","Rib","L","TopsTexOnepieceRibLBore0",4604.0,"q4LZzkARHi5RcyS2z"
"boa parka","Purple","No","1800",450.0,"Purple","Purple","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; outdoorsy; comfy","Yes","For sale","Rib","L","TopsTexOnepieceRibLBore1",7981.0,"Ykh2csg5jNzWWNKXs"
"boa parka","Gray","No","1800",450.0,"Gray","Gray","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Winter","No","1.0.0","Simple","everyday; outdoorsy; comfy","Yes","For sale","Rib","L","TopsTexOnepieceRibLBore2",7982.0,"uqCRPjmFqdAciwCS7"
