"name","variation","body_title","pattern","pattern_title","diy","body_customize","pattern_customize","kit_cost","buy","sell","color_1","color_2","size","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","hha_set","interact","tag","outdoor","speaker_type","lighting_type","catalog","filename","variant_id","internal_id","unique_entry_id"
"amp","White","NA","NA","NA","No","No","No","NA","5100",1275.0,"White","Gray","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","concert","None","None","None","No","Musical Instrument","No","Does not play music","No lighting","For sale","FtrAmp_Remake_1_0","1_0",849.0,"MyyKQjQLoNwRBxotN"
"amp","Orange","NA","NA","NA","No","No","No","NA","5100",1275.0,"Orange","Black","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","concert","None","None","None","No","Musical Instrument","No","Does not play music","No lighting","For sale","FtrAmp_Remake_2_0","2_0",849.0,"RvK5HfWmj3JiarEuv"
"amp","Brown","NA","NA","NA","No","No","No","NA","5100",1275.0,"Brown","Beige","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","concert","None","None","None","No","Musical Instrument","No","Does not play music","No lighting","For sale","FtrAmp_Remake_3_0","3_0",849.0,"tBcdytBjuxSm9d2fZ"
"amp","Blue","NA","NA","NA","No","No","No","NA","5100",1275.0,"Blue","Black","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","concert","None","None","None","No","Musical Instrument","No","Does not play music","No lighting","For sale","FtrAmp_Remake_4_0","4_0",849.0,"AmLfDtSibYyBDrMmY"
"amp","Red","NA","NA","NA","No","No","No","NA","5100",1275.0,"Red","Black","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","concert","None","None","None","No","Musical Instrument","No","Does not play music","No lighting","For sale","FtrAmp_Remake_5_0","5_0",849.0,"9PHmPyxF6fjKgGzKA"
"amp","Pink","NA","NA","NA","No","No","No","NA","5100",1275.0,"Pink","Gray","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","concert","None","None","None","No","Musical Instrument","No","Does not play music","No lighting","For sale","FtrAmp_Remake_6_0","6_0",849.0,"yivR6nwwzFWyQ5ogM"
"analog kitchen scale","Red","NA","NA","NA","No","No","No","NA","1100",275.0,"Red","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","kitchen","shop","None","None","Yes","Kitchen Things","No","Does not play music","No lighting","For sale","FtrWeighing_Remake_0_0","0_0",3993.0,"6WMJcEFXoWt9mmtvE"
"analog kitchen scale","Yellow","NA","NA","NA","No","No","No","NA","1100",275.0,"Yellow","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","kitchen","shop","None","None","Yes","Kitchen Things","No","Does not play music","No lighting","For sale","FtrWeighing_Remake_1_0","1_0",3993.0,"YfYgj2jXPy6sip9Qu"
"analog kitchen scale","Green","NA","NA","NA","No","No","No","NA","1100",275.0,"Green","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","kitchen","shop","None","None","Yes","Kitchen Things","No","Does not play music","No lighting","For sale","FtrWeighing_Remake_2_0","2_0",3993.0,"Spi4XHmdPD2CX7xL4"
"analog kitchen scale","Blue","NA","NA","NA","No","No","No","NA","1100",275.0,"Blue","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","kitchen","shop","None","None","Yes","Kitchen Things","No","Does not play music","No lighting","For sale","FtrWeighing_Remake_3_0","3_0",3993.0,"LgKQD3p9WLzfg3GN4"
"analog kitchen scale","Pink","NA","NA","NA","No","No","No","NA","1100",275.0,"Pink","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","kitchen","shop","None","None","Yes","Kitchen Things","No","Does not play music","No lighting","For sale","FtrWeighing_Remake_4_0","4_0",3993.0,"FJHLtvYAkJLBCyvKZ"
"analog kitchen scale","Ivory","NA","NA","NA","No","No","No","NA","1100",275.0,"Yellow","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","kitchen","shop","None","None","Yes","Kitchen Things","No","Does not play music","No lighting","For sale","FtrWeighing_Remake_5_0","5_0",3993.0,"o8gB7rkjtK8geGeMW"
"analog kitchen scale","Light blue","NA","NA","NA","No","No","No","NA","1100",275.0,"Light blue","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","kitchen","shop","None","None","Yes","Kitchen Things","No","Does not play music","No lighting","For sale","FtrWeighing_Remake_6_0","6_0",3993.0,"Xd3pqsLgpnFeWC46C"
"analog kitchen scale","Black","NA","NA","NA","No","No","No","NA","1100",275.0,"Black","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","kitchen","shop","None","None","Yes","Kitchen Things","No","Does not play music","No lighting","For sale","FtrWeighing_Remake_7_0","7_0",3993.0,"2Sw2GvGbFtnz6Ft7g"
"anchovy model","NA","NA","NA","NA","No","No","No","NA","NFS",600.0,"Blue","Black","1x1","C.J.","Trade 3 fish to receive a model in the mail the next day","1.0.0","None","None","None","None","No","Fish","No","Does not play music","No lighting","Not for sale","FtrFishAntyobiToy","NA",6999.0,"jqs5hyDDgiozw7D6W"
"angelfish model","NA","NA","NA","NA","No","No","No","NA","NFS",9000.0,"Yellow","Black","1x1","C.J.","Trade 3 fish to receive a model in the mail the next day","1.0.0","None","None","None","None","No","Fish","No","Does not play music","No lighting","Not for sale","FtrFishAngelfishToy","NA",6933.0,"c68YashL9kXvfwLp4"
"ant farm","NA","NA","NA","NA","No","No","No","NA","1400",350.0,"Green","Brown","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","facility","child's room","None","None","No","Special Insect","No","Does not play music","No lighting","For sale","FtrInsectAriFarm","NA",11866.0,"nuqhnEuJinwzRrp2z"
"ant model","NA","NA","NA","NA","No","No","No","NA","NFS",240.0,"Black","Black","1x1","Flick","Trade 3 insects to receive a model in the mail the next day","1.0.0","None","None","None","None","No","Insect","No","Does not play music","No lighting","Not for sale","FtrInsectAriToy","NA",7053.0,"pvyXsn72duZvP5csK"
"anthurium plant","White","NA","NA","NA","No","No","No","NA","990",247.0,"Red","Green","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","living room","None","None","None","No","Plants","No","Does not play music","No lighting","For sale","FtrPlantAnthurium_Remake_0_0","0_0",3949.0,"BfZjDAavNeyem3bFX"
"anthurium plant","Brown","NA","NA","NA","No","No","No","NA","990",247.0,"Red","Green","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","living room","None","None","None","No","Plants","No","Does not play music","No lighting","For sale","FtrPlantAnthurium_Remake_1_0","1_0",3949.0,"8r8yH5cDR9D94dWE2"
"anthurium plant","Light blue","NA","NA","NA","No","No","No","NA","990",247.0,"Red","Green","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","living room","None","None","None","No","Plants","No","Does not play music","No lighting","For sale","FtrPlantAnthurium_Remake_2_0","2_0",3949.0,"9WXR8N8LWcLgcbuTq"
"anthurium plant","Pink","NA","NA","NA","No","No","No","NA","990",247.0,"Pink","Green","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","living room","None","None","None","No","Plants","No","Does not play music","No lighting","For sale","FtrPlantAnthurium_Remake_3_0","3_0",3949.0,"eRvZ8pBJ2gMbQXTTC"
"anthurium plant","Black","NA","NA","NA","No","No","No","NA","990",247.0,"White","Green","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","living room","None","None","None","No","Plants","No","Does not play music","No lighting","For sale","FtrPlantAnthurium_Remake_4_0","4_0",3949.0,"X5WqEpcbqAunjxS4f"
"arapaima model","NA","NA","NA","NA","No","No","No","NA","NFS",30000.0,"Black","Black","2x1","C.J.","Trade 3 fish to receive a model in the mail the next day","1.0.0","None","None","None","None","No","Fish","No","Does not play music","No lighting","Not for sale","FtrFishPirarukuToy","NA",7006.0,"mYrf2qXTygc8GphQC"
"aroma pot","White","Variation","NA","NA","Yes","Yes","No","1","NFS",600.0,"White","Light blue","1x1","Crafting",,"1.0.0","living room","None","None","None","Yes","Beauty","No","Does not play music","No lighting","Not for sale","FtrAlomapot_Remake_0_0","0_0",1753.0,"6AqmYqJXkqoYTfJej"
"aroma pot","Brown","Variation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Brown","Orange","1x1","Crafting",,"1.0.0","living room","None","None","None","Yes","Beauty","No","Does not play music","No lighting","Not for sale","FtrAlomapot_Remake_1_0","1_0",1753.0,"kv6phyzaTZRerstP4"
"aroma pot","Green","Variation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Green","Green","1x1","Crafting",,"1.0.0","living room","None","None","None","Yes","Beauty","No","Does not play music","No lighting","Not for sale","FtrAlomapot_Remake_2_0","2_0",1753.0,"QQLoouuttf58T3ufJ"
"aroma pot","Pink","Variation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Pink","Pink","1x1","Crafting",,"1.0.0","living room","None","None","None","Yes","Beauty","No","Does not play music","No lighting","Not for sale","FtrAlomapot_Remake_3_0","3_0",1753.0,"tLn4NcyuPmuHXgKn8"
"aroma pot","Cream","Variation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Beige","Green","1x1","Crafting",,"1.0.0","living room","None","None","None","Yes","Beauty","No","Does not play music","No lighting","Not for sale","FtrAlomapot_Remake_4_0","4_0",1753.0,"5RFavNA2iBfAcQCK4"
"aroma pot","Black","Variation","NA","NA","Yes","Yes","No","1","NFS",600.0,"Black","Blue","1x1","Crafting",,"1.0.0","living room","None","None","None","Yes","Beauty","No","Does not play music","No lighting","Not for sale","FtrAlomapot_Remake_5_0","5_0",1753.0,"YZgdtQSYDiw8TTXzJ"
"arowana model","NA","NA","NA","NA","No","No","No","NA","NFS",30000.0,"Yellow","Black","1x1","C.J.","Trade 3 fish to receive a model in the mail the next day","1.0.0","None","None","None","None","No","Fish","No","Does not play music","No lighting","Not for sale","FtrFishArowanaToy","NA",6935.0,"SeSQEP9r8f4ZH3ZgP"
"Baby bear","Cream","NA","None","Shirt","No","No","Yes","1","1800",450.0,"Beige","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_0_0","0_0",1501.0,"g2XmJfB8pFYwRq9F6"
"Baby bear","Cream","NA","Heart","Shirt","No","No","Yes","1","1800",450.0,"Beige","Red","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_0_1","0_1",1501.0,"SSKzzn4PKuGQwr2pL"
"Baby bear","Cream","NA","Fish","Shirt","No","No","Yes","1","1800",450.0,"Beige","Blue","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_0_2","0_2",1501.0,"36HzWPnuJQGP8dQ3J"
"Baby bear","Cream","NA","Star","Shirt","No","No","Yes","1","1800",450.0,"Beige","Yellow","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_0_3","0_3",1501.0,"ejuF7sTa4N64k8AD9"
"Baby bear","Caramel mocha","NA","None","Shirt","No","No","Yes","1","1800",450.0,"Beige","Beige","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_1_0","1_0",1501.0,"pkRq4pGLsBgZJs6Zz"
"Baby bear","Caramel mocha","NA","Heart","Shirt","No","No","Yes","1","1800",450.0,"Beige","Red","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_1_1","1_1",1501.0,"vXLCKkgzYCK7KQjgp"
"Baby bear","Caramel mocha","NA","Fish","Shirt","No","No","Yes","1","1800",450.0,"Beige","Blue","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_1_2","1_2",1501.0,"GvyMQSw6Y7dAssqLE"
"Baby bear","Caramel mocha","NA","Star","Shirt","No","No","Yes","1","1800",450.0,"Beige","Yellow","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_1_3","1_3",1501.0,"B85z59MD8h7M9Ctrk"
"Baby bear","Choco","NA","None","Shirt","No","No","Yes","1","1800",450.0,"Brown","Brown","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_2_0","2_0",1501.0,"2T9YQNT5fZytrqrwK"
"Baby bear","Choco","NA","Heart","Shirt","No","No","Yes","1","1800",450.0,"Brown","Red","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_2_1","2_1",1501.0,"CD9XqwhPSre2zzNjX"
"Baby bear","Choco","NA","Fish","Shirt","No","No","Yes","1","1800",450.0,"Brown","Blue","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_2_2","2_2",1501.0,"ZKQ8SQtNRXhQ63ANr"
"Baby bear","Choco","NA","Star","Shirt","No","No","Yes","1","1800",450.0,"Brown","Yellow","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_2_3","2_3",1501.0,"muwwSKJHXGAeCmPEb"
"Baby bear","Floral","NA","None","Shirt","No","No","Yes","1","1800",450.0,"Blue","Pink","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_3_0","3_0",1501.0,"iC6uke9rdu6nFFZ9G"
"Baby bear","Floral","NA","Heart","Shirt","No","No","Yes","1","1800",450.0,"Blue","Red","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_3_1","3_1",1501.0,"JgZfkc4k6nyjwjv9Q"
"Baby bear","Floral","NA","Fish","Shirt","No","No","Yes","1","1800",450.0,"Blue","Blue","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_3_2","3_2",1501.0,"hycjnzbvHSdCXcCSJ"
"Baby bear","Floral","NA","Star","Shirt","No","No","Yes","1","1800",450.0,"Blue","Yellow","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_3_3","3_3",1501.0,"mjwTqXDWN6TXNtLoR"
"Baby bear","Checkered","NA","None","Shirt","No","No","Yes","1","1800",450.0,"Yellow","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_4_0","4_0",1501.0,"QJqqQh5tQR59LFLXP"
"Baby bear","Checkered","NA","Heart","Shirt","No","No","Yes","1","1800",450.0,"Yellow","Red","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_4_1","4_1",1501.0,"qBvYFruEFNxRRm4qF"
"Baby bear","Checkered","NA","Fish","Shirt","No","No","Yes","1","1800",450.0,"Yellow","Yellow","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_4_2","4_2",1501.0,"pfbzHggDW8rLZyySF"
"Baby bear","Checkered","NA","Star","Shirt","No","No","Yes","1","1800",450.0,"Yellow","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_4_3","4_3",1501.0,"5uqwwqA6dMAhQFpmm"
"Baby bear","Tweed","NA","None","Shirt","No","No","Yes","1","1800",450.0,"Colorful","Colorful","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_5_0","5_0",1501.0,"nPchvcMPNmZ7eDKJJ"
"Baby bear","Tweed","NA","Heart","Shirt","No","No","Yes","1","1800",450.0,"Colorful","Red","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_5_1","5_1",1501.0,"mgSKedtr9Lk4NTaWL"
"Baby bear","Tweed","NA","Fish","Shirt","No","No","Yes","1","1800",450.0,"Colorful","Blue","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_5_2","5_2",1501.0,"goji34uBiXDRhjkSv"
"Baby bear","Tweed","NA","Star","Shirt","No","No","Yes","1","1800",450.0,"Colorful","Yellow","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","bear","No","Animal","No","Does not play music","No lighting","For sale","FtrBearS_Remake_5_3","5_3",1501.0,"qjt78GA8vEf5xDW5W"
"Baby panda","NA","NA","NA","NA","No","No","No","NA","1800",450.0,"Green","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","child's room","None","panda","No","Animal","No","Does not play music","No lighting","For sale","FtrPandaS","NA",9698.0,"TrjKcMrQXJf7NCbta"
"bagworm model","NA","NA","NA","NA","No","No","No","NA","NFS",1800.0,"Brown","Brown","1x1","Flick","Trade 3 insects to receive a model in the mail the next day","1.0.0","None","None","None","None","No","Insect","No","Does not play music","No lighting","Not for sale","FtrInsectMinomushiToy","NA",7082.0,"xPShFD4zcZx389xxz"
"ball","Basketball","NA","NA","NA","No","No","No","NA","520",130.0,"Orange","Black","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fitness","school","None","None","Yes","Sports","Yes","Does not play music","No lighting","For sale","FtrBall_Remake_0_0","0_0",2010.0,"kWNLESb9BwdejFzCw"
"ball","Soccer ball","NA","NA","NA","No","No","No","NA","520",130.0,"White","Black","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fitness","school","None","None","Yes","Sports","Yes","Does not play music","No lighting","For sale","FtrBall_Remake_1_0","1_0",2010.0,"Tps4AsF9ZaDrhn2CN"
"ball","Volleyball","NA","NA","NA","No","No","No","NA","520",130.0,"White","White","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fitness","school","None","None","Yes","Sports","Yes","Does not play music","No lighting","For sale","FtrBall_Remake_2_0","2_0",2010.0,"6Jr79mcuZsGGPJjK8"
"ball","Dodgeball","NA","NA","NA","No","No","No","NA","520",130.0,"Yellow","Black","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fitness","school","None","None","Yes","Sports","Yes","Does not play music","No lighting","For sale","FtrBall_Remake_3_0","3_0",2010.0,"7FFD7gshDsb7mmB2X"
"bamboo candleholder","Green bamboo","Bamboo","NA","NA","Yes","Yes","No","2","NFS",880.0,"Green","Beige","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","Yes","Lamp","No","Does not play music","Candle","Not for sale","FtrBambooCandle_Remake_0_0","0_0",3554.0,"WzyJkmGQKPRk7xyv9"
"bamboo candleholder","Dried bamboo","Bamboo","NA","NA","Yes","Yes","No","2","NFS",880.0,"Yellow","Beige","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","Yes","Lamp","No","Does not play music","Candle","Not for sale","FtrBambooCandle_Remake_1_0","1_0",3554.0,"yNHBsocxFskBwynvR"
"bamboo candleholder","Smoke-cured bamboo","Bamboo","NA","NA","Yes","Yes","No","2","NFS",880.0,"Brown","Beige","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","Yes","Lamp","No","Does not play music","Candle","Not for sale","FtrBambooCandle_Remake_2_0","2_0",3554.0,"7xMibNQTXMWZvPWGR"
"bamboo drum","Green bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",720.0,"Green","Pink","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrBamboodrum_Remake_0_0","0_0",4093.0,"gg3aBipuGNFEeuyQb"
"bamboo drum","Dried bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",720.0,"Yellow","Orange","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrBamboodrum_Remake_1_0","1_0",4093.0,"Pexz4E7q8zEQMgyK6"
"bamboo drum","Smoke-cured bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",720.0,"Brown","Light blue","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrBamboodrum_Remake_2_0","2_0",4093.0,"XAEk7jqLzW3yD58sp"
"bamboo lunch box","Green bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",640.0,"Green","Colorful","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Dining","No","Does not play music","No lighting","Not for sale","FtrBambooLunch_Remake_0_0","0_0",5978.0,"XTFhsR3P4ybuZhc3d"
"bamboo lunch box","Dried bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",640.0,"Yellow","Colorful","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Dining","No","Does not play music","No lighting","Not for sale","FtrBambooLunch_Remake_1_0","1_0",5978.0,"6AMme4wZdRJtrLuTj"
"bamboo lunch box","Smoke-cured bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",640.0,"Brown","Colorful","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Dining","No","Does not play music","No lighting","Not for sale","FtrBambooLunch_Remake_2_0","2_0",5978.0,"sS2JrzYMRLDbsNAxB"
"bamboo sphere","Green bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",480.0,"Green","Blue","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Toy","No","Does not play music","No lighting","Not for sale","FtrBambooBall_Remake_0_0","0_0",5976.0,"MyMNc3DYkCywyNQfd"
"bamboo sphere","Dried bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",480.0,"Yellow","Purple","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Toy","No","Does not play music","No lighting","Not for sale","FtrBambooBall_Remake_1_0","1_0",5976.0,"ZPTZa8nL2qZzec7Mn"
"bamboo sphere","Smoke-cured bamboo","Bamboo","NA","NA","Yes","Yes","No","1","NFS",480.0,"Brown","White","1x1","Crafting",,"1.0.0","zen-style","None","bamboo","None","No","Toy","No","Does not play music","No lighting","Not for sale","FtrBambooBall_Remake_2_0","2_0",5976.0,"5uyxDdyRak9EPGhur"
