"name","variation","body_title","diy","customize","kit_cost","uses","stack_size","buy","sell","color_1","color_2","size","set","miles_price","source","source_notes","version","filename","variant_id","internal_id","unique_entry_id"
"colorful fishing rod","Purple","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodDuck_Remake_5_0","5_0",8472.0,"avewXgm4JtCerDcd6"
"colorful fishing rod","White","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodDuck_Remake_6_0","6_0",8472.0,"wmcSp5RZAczawLnJf"
"colorful fishing rod","Gray","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodDuck_Remake_7_0","7_0",8472.0,"v76QddpoKv2M4XspK"
"colorful net","Yellow & orange","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolNetPattern_Remake_0_0","0_0",8177.0,"5wGjS9fxCaGhWK5Cv"
"colorful net","Red & yellow","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolNetPattern_Remake_1_0","1_0",8177.0,"k4Ssqq2DesuGTy6hy"
"colorful net","Orange & blue","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolNetPattern_Remake_2_0","2_0",8177.0,"6pJhWYNiuyZKuKvYz"
"colorful net","Pink & yellow","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolNetPattern_Remake_3_0","3_0",8177.0,"AmK8KNTDWxdrJH6h7"
"colorful net","Green & blue","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolNetPattern_Remake_4_0","4_0",8177.0,"zcdZjuNZWrHas5efC"
"colorful net","Purple & pink","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolNetPattern_Remake_5_0","5_0",8177.0,"cTrR3cREJBqWZyfN6"
"colorful net","White & blue","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolNetPattern_Remake_6_0","6_0",8177.0,"wFcTeKJ9gM4yLgfTQ"
"colorful net","Gray & green","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolNetPattern_Remake_7_0","7_0",8177.0,"kgBcZghywrT4j47vx"
"colorful shovel","Yellow","Color","No","Yes","1","100",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolScoopColorful_Remake_0_0","0_0",8577.0,"ojvEkqxvFKKrrB6GR"
"colorful shovel","Red","Color","No","Yes","1","100",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolScoopColorful_Remake_1_0","1_0",8577.0,"pnM6ygwcMS5KmSP6c"
"colorful shovel","Blue","Color","No","Yes","1","100",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolScoopColorful_Remake_2_0","2_0",8577.0,"MYmh4oANQabcGNjJ6"
"colorful shovel","Pink","Color","No","Yes","1","100",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolScoopColorful_Remake_3_0","3_0",8577.0,"c3Frxwsyo8PSKZNya"
"colorful shovel","Green","Color","No","Yes","1","100",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolScoopColorful_Remake_4_0","4_0",8577.0,"RbQtnSAf4HNLKuao2"
"colorful shovel","Purple","Color","No","Yes","1","100",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolScoopColorful_Remake_5_0","5_0",8577.0,"MiJwRTGjbkK5Jx3Zw"
"colorful shovel","White","Color","No","Yes","1","100",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolScoopColorful_Remake_6_0","6_0",8577.0,"XCrHq3vFnD83kY2Sg"
"colorful shovel","Black","Color","No","Yes","1","100",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolScoopColorful_Remake_7_0","7_0",8577.0,"zo7TsB8NzfnFDA7yS"
"colorful slingshot","Yellow","Color","No","Yes","1","20",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolSlingshotColorful_Remake_0_0","0_0",8580.0,"dSvd9K7sRTbx6k5cd"
"colorful slingshot","Red","Color","No","Yes","1","20",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolSlingshotColorful_Remake_1_0","1_0",8580.0,"WAcZwYerSQtwujaPZ"
"colorful slingshot","Blue","Color","No","Yes","1","20",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolSlingshotColorful_Remake_2_0","2_0",8580.0,"k7afhFcA5Pqd8qu5F"
"colorful slingshot","Pink","Color","No","Yes","1","20",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolSlingshotColorful_Remake_3_0","3_0",8580.0,"GBqsH5XYgDHk8wGAz"
"colorful slingshot","Green","Color","No","Yes","1","20",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolSlingshotColorful_Remake_4_0","4_0",8580.0,"qq67sn4aq9w7w9Ga2"
"colorful slingshot","Purple","Color","No","Yes","1","20",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolSlingshotColorful_Remake_5_0","5_0",8580.0,"2JHaGhkbpoa4qbhge"
"colorful slingshot","White","Color","No","Yes","1","20",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolSlingshotColorful_Remake_6_0","6_0",8580.0,"cQYdSQ4MzKcnYAyc8"
"colorful slingshot","Black","Color","No","Yes","1","20",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolSlingshotColorful_Remake_7_0","7_0",8580.0,"KiTQgsCkJSTq6ssm6"
"colorful watering can","Yellow","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringColorful_Remake_0_0","0_0",8534.0,"35yzBzko3wrMwHjST"
"colorful watering can","Red","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringColorful_Remake_1_0","1_0",8534.0,"ngYPKLyn5xXawzas3"
"colorful watering can","Blue","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringColorful_Remake_2_0","2_0",8534.0,"QxhyiwvJWyAShwyhJ"
"colorful watering can","Pink","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringColorful_Remake_3_0","3_0",8534.0,"yuB5QpzCg94HN6u4g"
"colorful watering can","Green","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringColorful_Remake_4_0","4_0",8534.0,"q3p2jaJBt5gD2HRkZ"
"colorful watering can","Purple","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringColorful_Remake_5_0","5_0",8534.0,"fAm9eEkidwn5LSjSd"
"colorful watering can","White","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringColorful_Remake_6_0","6_0",8534.0,"4ySFWfB9G3KCq8sKf"
"colorful watering can","Black","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringColorful_Remake_7_0","7_0",8534.0,"yLHsKfxS39qTMyZ67"
"cosmos wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",1580.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickCosmos","NA",5092.0,"vNqGM6xMEtteYKoza"
"elephant watering can","Gray","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringElephant_Remake_0_0","0_0",8535.0,"AjAhCPjQAreLmqKCB"
"elephant watering can","Green","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringElephant_Remake_1_0","1_0",8535.0,"JBApgvSrYbJcSmsd2"
"elephant watering can","Blue","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringElephant_Remake_2_0","2_0",8535.0,"HcqA5ggg9XBLsfYNK"
"elephant watering can","Pink","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringElephant_Remake_3_0","3_0",8535.0,"mvF2W6yf4hcXLu3eM"
"elephant watering can","Red","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringElephant_Remake_4_0","4_0",8535.0,"B6oWDPizvZRRBDbop"
"elephant watering can","Yellow","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringElephant_Remake_5_0","5_0",8535.0,"AoZCaqfJYb6TSNctg"
"elephant watering can","Light blue","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringElephant_Remake_6_0","6_0",8535.0,"cBG6avJmvncbTX56k"
"elephant watering can","Black","Color","No","Yes","1","60",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolWateringElephant_Remake_7_0","7_0",8535.0,"XphbdnArYGwJp8kmj"
"fish fishing rod","Green","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodColorful_Remake_0_0","0_0",8471.0,"dBNahAnSJkF5q7Wta"
"fish fishing rod","Yellow","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodColorful_Remake_1_0","1_0",8471.0,"ziRQL2REqF652sgkc"
"fish fishing rod","Orange","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodColorful_Remake_2_0","2_0",8471.0,"7id3sXPC6a2qTsM9S"
"fish fishing rod","Light blue","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodColorful_Remake_3_0","3_0",8471.0,"txjiE4Yoi66P59Rpi"
"fish fishing rod","Blue","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodColorful_Remake_4_0","4_0",8471.0,"mQQKH3hfMyn2P4SAT"
"fish fishing rod","Purple","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodColorful_Remake_5_0","5_0",8471.0,"oPumzrhQMfYrdrhfC"
"fish fishing rod","Pink","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodColorful_Remake_6_0","6_0",8471.0,"A44B9ELrDxsrY6HaR"
"fish fishing rod","Red","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodColorful_Remake_7_0","7_0",8471.0,"k6AepGHtwTJhBzxXZ"
"fish wand","NA","NA","No","No","NA","Unlimited",1.0,"NFS",1500.0,"None","None","1x1","None","NA","Fishing Tourney",,"1.0.0","ToolStickFish","NA",8770.0,"HrGFzby54HCv326PJ"
"fishing rod","Blue","Color","Yes","Yes","1","30",1.0,"NFS",600.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAngling_Remake_0_0","0_0",2377.0,"Y62px4Jy5vaMtN46u"
"fishing rod","Yellow","Color","Yes","Yes","1","30",1.0,"NFS",600.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAngling_Remake_1_0","1_0",2377.0,"JLMypnErvJc6n9wS8"
"fishing rod","Green","Color","Yes","Yes","1","30",1.0,"NFS",600.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAngling_Remake_2_0","2_0",2377.0,"WTqWoAYMKuJsXjWWv"
"fishing rod","Red","Color","Yes","Yes","1","30",1.0,"NFS",600.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAngling_Remake_3_0","3_0",2377.0,"SWX3JZeySqWz8PKQi"
"fishing rod","Purple","Color","Yes","Yes","1","30",1.0,"NFS",600.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAngling_Remake_4_0","4_0",2377.0,"PBLScat4po99B5h4k"
"fishing rod","Pink","Color","Yes","Yes","1","30",1.0,"NFS",600.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAngling_Remake_5_0","5_0",2377.0,"9bT9ZRhRG3e3WA8Bn"
"fishing rod","White","Color","Yes","Yes","1","30",1.0,"NFS",600.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAngling_Remake_6_0","6_0",2377.0,"G58mfRs22f48nF9QA"
"fishing rod","Black","Color","Yes","Yes","1","30",1.0,"NFS",600.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAngling_Remake_7_0","7_0",2377.0,"bgrXEg4NvgPjudWar"
"flimsy axe","NA","NA","Yes","No","NA","40",1.0,"800",200.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available after unlocking the axe in the story","1.0.0","ToolAxeStone","NA",3068.0,"L79jandXPjEAoQScd"
"flimsy fishing rod","NA","NA","Yes","No","NA","9.5",1.0,"NFS",100.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolFishingrodWood","NA",3084.0,"qtA9zfSRuaCkmmQXr"
"flimsy net","NA","NA","Yes","No","NA","10",1.0,"NFS",100.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNet","NA",2376.0,"PHe3aaN2nsXFcQXxN"
"flimsy shovel","NA","NA","Yes","No","NA","40",1.0,"800",200.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available after unlocking the shovel in the story","1.0.0","ToolShovelWood","NA",3082.0,"PnLgMCQ34R3HxWqcT"
"flimsy watering can","NA","NA","Yes","No","NA","20",1.0,"800",200.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolWateringWood","NA",3083.0,"BdRyC6atcvz3KJnnM"
"golden axe","NA","NA","Yes","No","NA","200",1.0,"NFS",10655.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolAxeGold","NA",9617.0,"eX9RXzQHaaZX89zoN"
"golden net","NA","NA","Yes","No","NA","90",1.0,"NFS",10400.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolNetGold","NA",8179.0,"aKMTWuywGTuorriEg"
"golden rod","NA","NA","Yes","No","NA","90",1.0,"NFS",10400.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolFishingrodGold","NA",8660.0,"Tt5YeqejtuW3T7Cbq"
"golden shovel","NA","NA","Yes","No","NA","200",1.0,"NFS",10675.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolScoopGold","NA",8574.0,"EMzMphvPgdhguM4Ku"
"golden slingshot","NA","NA","Yes","No","NA","60",1.0,"NFS",10300.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolSlingshotGold","NA",8578.0,"tx3MMcGrZPHeyoLeY"
"golden wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",20750.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickGolden","NA",7591.0,"fdDGHvQBc5AhtExnt"
"golden watering can","NA","NA","Yes","No","NA","180",1.0,"NFS",10675.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolWateringGold","NA",8533.0,"bzEwTDjTeK4gKSsZa"
"hyacinth wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",1660.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickHyacinth","NA",5083.0,"aBPEFn5NehSoQ428E"
"ice wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",6500.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickSnow","NA",7585.0,"pQCDsY6gvHXL2SAff"
"iron wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",3750.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickIron","NA",7592.0,"5JC2q7xYFFCBhX2mS"
"ladder","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",1440.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolLadder","NA",2615.0,"TxFCim9KyNE7edcXH"
"light stick","NA","NA","No","No","NA","Unlimited",1.0,"1500",375.0,"None","None","1x1","None","NA","Isabelle","Obtained by speaking to Isabelle on New Year's Eve","1.0.0","ToolSticklight","NA",5741.0,"9HpdmfZcEfuXtR8ey"
"lily wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",1580.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickYuri","NA",5094.0,"rX7Dget4dZzprkSY4"
"mums wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",1580.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickChrysanthemum","NA",5095.0,"9sd3YGxf9jmuGBrGw"
"mushroom wand","Ordinary mushroom","Mushroom type","Yes","Yes","1","Unlimited",1.0,"NFS",3300.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickMushroom_Remake_0_0","0_0",7588.0,"6PLR84qz4JifgtLmh"
"mushroom wand","White mushroom","Mushroom type","Yes","Yes","1","Unlimited",1.0,"NFS",3300.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickMushroom_Remake_1_0","1_0",7588.0,"T898uqxxT6AXuXyBt"
"mushroom wand","Strange mushroom","Mushroom type","Yes","Yes","1","Unlimited",1.0,"NFS",3300.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickMushroom_Remake_2_0","2_0",7588.0,"rcjxuvmyCPyTjbbwm"
"mushroom wand","Red mushroom","Mushroom type","Yes","Yes","1","Unlimited",1.0,"NFS",3300.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickMushroom_Remake_3_0","3_0",7588.0,"nN6uiNEshKx8sYwKE"
"mushroom wand","Yellow mushroom","Mushroom type","Yes","Yes","1","Unlimited",1.0,"NFS",3300.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickMushroom_Remake_4_0","4_0",7588.0,"Dtm7dJLAERgpCpGXv"
"net","Red","Color","Yes","Yes","1","20",1.0,"900",225.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNetNormal_Remake_0_0","0_0",5784.0,"HH8tKPMbt8DQpSrMS"
"net","Yellow","Color","Yes","Yes","1","20",1.0,"900",225.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNetNormal_Remake_1_0","1_0",5784.0,"YiRCkQXgKaLKf8D6p"
"net","Green","Color","Yes","Yes","1","20",1.0,"900",225.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNetNormal_Remake_2_0","2_0",5784.0,"X3x4tGwZiYnM5SRZv"
"net","Blue","Color","Yes","Yes","1","20",1.0,"900",225.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNetNormal_Remake_3_0","3_0",5784.0,"WtArd6h6MFQ8sjwEt"
"net","Purple","Color","Yes","Yes","1","20",1.0,"900",225.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNetNormal_Remake_4_0","4_0",5784.0,"b8L8wbutCQEQjAzwD"
"net","Pink","Color","Yes","Yes","1","20",1.0,"900",225.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNetNormal_Remake_5_0","5_0",5784.0,"8Khqvy2vpnJkpKLET"
"net","White","Color","Yes","Yes","1","20",1.0,"900",225.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNetNormal_Remake_6_0","6_0",5784.0,"yNCid2KGDGFSz2W7L"
"net","Black","Color","Yes","Yes","1","20",1.0,"900",225.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened","1.0.0","ToolNetNormal_Remake_7_0","7_0",5784.0,"pFaH2eF4JpK3roNtQ"
"Nook Inc. uchiwa fan","NA","NA","No","No","NA","Unlimited",1.0,"NFS",2000.0,"Green","White","1x1","None","400","Nook Miles Shop",,"1.0.0","ToolFanNook0","NA",9762.0,"Qwfx3obKdwCDKr4WG"
"ocarina","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",1000.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolOcarina","NA",5320.0,"xN5tB3m4aXnm94RLL"
"outdoorsy fishing rod","Avocado","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Outdoor Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodOutdoor_Remake_0_0","0_0",8473.0,"bvYTHd7dbDC9ZijAd"
"outdoorsy fishing rod","Orange","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Outdoor Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodOutdoor_Remake_1_0","1_0",8473.0,"bMdHGfZQu6846Somm"
"outdoorsy fishing rod","Light blue","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Outdoor Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodOutdoor_Remake_2_0","2_0",8473.0,"3Ne39o36LkhGc9rGk"
