"name","buy","sell","color_1","color_2","size","source","museum","version","interact","catalog","filename","internal_id","unique_entry_id"
"diplo pelvis","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDiplodocusD",219.0,"kLYuD5QgNqfKJPfj7"
"diplo skull","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDiplodocusA",216.0,"n6cAybPhTSykws3Mb"
"diplo tail","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDiplodocusE",220.0,"iKsrdn2aAxSfe83qZ"
"diplo tail tip","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDiplodocusF",7251.0,"a2r3s8t7bg4uZvdSy"
"dunkleosteus","NFS",3500.0,"Gray","Brown","2x2","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilDunkleosteus",4660.0,"AtCoTAfo9bKFiGzFD"
"eusthenopteron","NFS",2000.0,"Brown","Brown","1x1","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilFirstAmphibian",4663.0,"BHhdGwq7YeZuHmkEW"
"iguanodon skull","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilIguanodonA",188.0,"pDn2iASHjo7yWKE3k"
"iguanodon tail","NFS",3000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilIguanodonC",190.0,"GL2CuJXa4gYb4E4cE"
"iguanodon torso","NFS",3500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilIguanodonB",189.0,"dJRCXccvviu6chWyK"
"juramaia","NFS",1500.0,"Beige","Brown","1x1","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilFirstMammal",4665.0,"Ch68dGRXX2mu7ABgC"
"left megalo side","NFS",4000.0,"Beige","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilMegalocerosB",4659.0,"7YzSLZWsjXQNp5xRY"
"left ptera wing","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilPteranodonC",208.0,"GJtNP9DjAFjGQdMPN"
"left quetzal wing","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilQuetzalcoatlusC",4699.0,"rS4iizyMDxN4yizLT"
"mammoth skull","NFS",3000.0,"Beige","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilMammothA",195.0,"96CTubnHfYqmHyd3s"
"mammoth torso","NFS",2500.0,"Beige","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilMammothB",196.0,"hT68CXm4z8LreXqWS"
"megacero skull","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilBrontotheriumA",180.0,"8CF9fvWstP6cWRbRD"
"megacero tail","NFS",3000.0,"Brown","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilBrontotheriumC",182.0,"NQcfdw5y6fokTPNGs"
"megacero torso","NFS",3500.0,"Brown","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilBrontotheriumB",181.0,"NcbHKXp9gq6Y96Wtw"
"myllokunmingia","NFS",1500.0,"Gray","Gray","1x1","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilFirstFish",4662.0,"XjLHtDMYXqwjZd4wT"
"ophthalmo skull","NFS",2500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilOphthalmosaurusA",192.0,"Sq6yQQ6EH2AMqQo2A"
"ophthalmo torso","NFS",2000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilOphthalmosaurusB",193.0,"8tzwNNwbSKAeWAzfP"
"pachy skull","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","Yes","Not for sale","FtrFossilPachycephalosaurusA",198.0,"tgNyyjMaE9GbzMJzQ"
"pachy tail","NFS",3500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilPachycephalosaurusB",199.0,"assKMf95bhB6pe3PM"
"parasaur skull","NFS",3500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilParasaurolophusA",202.0,"6xAZRPKhHNNQLofoE"
"parasaur tail","NFS",2500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilParasaurolophusC",204.0,"fEFd7AbLQpNwkzC8a"
"parasaur torso","NFS",3000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilParasaurolophusB",203.0,"GgX3Tdgzmf4hjguGF"
"plesio body","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilElasmosaurusB",235.0,"jbfiPhmAcserk23rm"
"plesio skull","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilElasmosaurusA",234.0,"ioAEHvPecRoCBLJsK"
"plesio tail","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilElasmosaurusC",236.0,"7dLqS33KYzWRFvkde"
"ptera body","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilPteranodonA",206.0,"6oAjXjSy7DqrbifKT"
"quetzal torso","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilQuetzalcoatlusA",4697.0,"SoS8Q55cyTsEyqeZi"
"right megalo side","NFS",5500.0,"Beige","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilMegalocerosA",4658.0,"6qFWqu3vKF9SuPjRE"
"right ptera wing","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilPteranodonB",207.0,"z45jBDDaRufwQkiEf"
"right quetzal wing","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilQuetzalcoatlusB",4698.0,"aAXrsXuY5cTjq4yKi"
"sabertooth skull","NFS",2500.0,"Brown","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilSmilodonA",213.0,"4xkrLpphWXubgtRPw"
"sabertooth tail","NFS",2000.0,"Brown","Brown","2x2","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilSmilodonB",214.0,"iXfTo3dxakDrLZxnv"
"shark-tooth pattern","NFS",1000.0,"Beige","Brown","1x1","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilShark",302.0,"yKE5xwKL9EeCJdN4D"
"spino skull","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","Yes","Not for sale","FtrFossilSpinosaurusA",222.0,"qbzMLGPcJWikeTWAG"
"spino tail","NFS",2500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilSpinosaurusC",224.0,"7gnFZgeb6qq6K34Tb"
"spino torso","NFS",3000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilSpinosaurusB",223.0,"Ap8LgQD6Ht4dryTjk"
"stego skull","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilStegosaurusA",226.0,"DqsxWDoY5Mue6eQxg"
"stego tail","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilStegosaurusC",228.0,"DQgfeZCeApGKBazBL"
"stego torso","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilStegosaurusB",227.0,"Lv7ChzGsofd3qEjDL"
"T. rex skull","NFS",6000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","Yes","Not for sale","FtrFossilTRexA",238.0,"9DunYGEb3QhJLwpPu"
"T. rex tail","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilTRexC",240.0,"AfeJAEkmJCdgtMrWj"
"T. rex torso","NFS",5500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilTRexB",239.0,"q9voJCHs9X5b32TWf"
"tricera skull","NFS",5500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","Yes","Not for sale","FtrFossilTriceratopsA",242.0,"ueCYTncJDsf2RYJYx"
"tricera tail","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilTriceratopsC",244.0,"TXbdqeAkhjtqBJAWC"
"tricera torso","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilTriceratopsB",243.0,"s2EGQuuStMSwFdT8y"
"trilobite","NFS",1300.0,"Beige","Brown","1x1","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilTrilobite",303.0,"qFoqCvDTBd2oyC5Gz"
