"name","variation","diy","buy","sell","color_1","color_2","size","miles_price","source","source_notes","seasonal_availability","version","style","label_themes","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"mini pleather bag","Black","No","1600",400.0,"Black","Black","1x1","NA","Kicks",,"All Year","1.0.0","Elegant","everyday; formal; party","No","For sale","BagBackpackSmall1",12015.0,"hYJk97FFi4zJGQ5cH"
"Mom's knapsack","M","No","NFS",175.0,"Yellow","Beige","1x1","NA","Mom",,"All Year","1.0.0","Cute","comfy","No","Not for sale","BagBackpackQuilt0",7510.0,"szhWnj6jpymTsKce8"
"Mom's knapsack","Flowers","No","NFS",175.0,"Gray","Beige","1x1","NA","Mom",,"All Year","1.0.0","Cute","comfy","No","Not for sale","BagBackpackQuilt1",12148.0,"gqy4s4zFowLbNKTd2"
"Mom's knapsack","Polka dots","No","NFS",175.0,"Pink","Beige","1x1","NA","Mom",,"All Year","1.0.0","Cute","comfy","No","Not for sale","BagBackpackQuilt2",12149.0,"Hkju8Bjb8Kaamsu3j"
"Mom's knapsack","Colorful quilt design","No","NFS",175.0,"Colorful","Beige","1x1","NA","Mom",,"All Year","1.0.0","Cute","comfy","No","Not for sale","BagBackpackQuilt3",12150.0,"6uKkNZRz7E8gkSiBF"
"Mom's knapsack","Cherries","No","NFS",175.0,"Light blue","Beige","1x1","NA","Mom",,"All Year","1.0.0","Cute","comfy","No","Not for sale","BagBackpackQuilt4",12151.0,"46PX3NMjAdrNiRQXb"
"Mom's knapsack","Denim with stripes","No","NFS",175.0,"Blue","Beige","1x1","NA","Mom",,"All Year","1.0.0","Cute","comfy","No","Not for sale","BagBackpackQuilt5",12152.0,"hj8ixCKXNWBnGZSrw"
"Mom's knapsack","Forest print","No","NFS",175.0,"White","Beige","1x1","NA","Mom",,"All Year","1.0.0","Cute","comfy","No","Not for sale","BagBackpackQuilt6",12153.0,"E3XrB5LbBTu795xbM"
"Mom's knapsack","Chick","No","NFS",175.0,"Orange","Beige","1x1","NA","Mom",,"All Year","1.0.0","Cute","comfy","No","Not for sale","BagBackpackQuilt7",12154.0,"jCi92aiMtZB92idfQ"
"Nook Inc. knapsack","Brown","No","NFS",4000.0,"Brown","Yellow","1x1","800","Nook Miles Shop",,"All Year","1.0.0","Gorgeous","everyday","No","Not for sale","BagBackpackNook0",9761.0,"zQh6chGG66h4f5JbX"
"outdoor backpack","Avocado","No","1560",390.0,"Green","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackOutdoor0",7501.0,"CAsQFPPeo3vBGpHSo"
"outdoor backpack","Orange","No","1560",390.0,"Orange","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackOutdoor1",11969.0,"hiF7bqmoudyFJPcWG"
"outdoor backpack","Navy blue","No","1560",390.0,"Blue","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackOutdoor2",11970.0,"qd8DJb8mX5zhewgyn"
"pleather crossbody bag","Navy blue","No","1120",280.0,"Blue","Brown","1x1","NA","Kicks",,"All Year","1.0.0","Cool","everyday; work","No","For sale","BagBackpackBodybag0",7484.0,"YQD8XMuvDbymAeKxt"
"pleather crossbody bag","Black","No","1120",280.0,"Black","White","1x1","NA","Kicks",,"All Year","1.0.0","Cool","everyday; work","No","For sale","BagBackpackBodybag1",12005.0,"QDPYGrpFNNir49uBe"
"pleather fringe bag","Camel","No","2400",600.0,"Brown","Brown","1x1","NA","Kicks",,"All Year","1.0.0","Elegant","everyday; formal; party","No","For sale","BagShoulderFringe0",7481.0,"7RYHreaA7o9huubNu"
"pleather fringe bag","White","No","2400",600.0,"White","White","1x1","NA","Kicks",,"All Year","1.0.0","Elegant","everyday; formal; party","No","For sale","BagShoulderFringe1",12010.0,"fiM98m9CGgi6iATkQ"
"pleather shoulder bag","Brown","No","2400",600.0,"Brown","Brown","1x1","NA","Kicks",,"All Year","1.0.0","Elegant","everyday; formal","No","For sale","BagShoulderLeather0",7476.0,"9AqRYq83NRMxrEWiD"
"pleather shoulder bag","Navy blue","No","2400",600.0,"Blue","Blue","1x1","NA","Kicks",,"All Year","1.0.0","Elegant","everyday; formal","No","For sale","BagShoulderLeather1",12009.0,"ZKgcPhGYErHShMrGR"
"retro sports bag","Blue","No","1400",350.0,"White","Blue","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagShoulderSports0",7302.0,"vY7qcZFdWb3HgSv7L"
"retro sports bag","Red","No","1400",350.0,"White","Red","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagShoulderSports1",12007.0,"Lqtjq3rWFoy4Dv39C"
"retro sports bag","Black","No","1400",350.0,"Black","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagShoulderSports2",12008.0,"nGhHjk4GEKSQwvARA"
"sacoche bag","Blue","No","980",245.0,"Blue","Green","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagShoulderSacosh0",7304.0,"n82fhWWNSv8kyFJc2"
"sacoche bag","Red","No","980",245.0,"Red","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagShoulderSacosh1",11974.0,"LYnLwBnwTYcMp4fr9"
"sacoche bag","Black","No","980",245.0,"Black","White","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagShoulderSacosh2",11975.0,"NRYqQLN2Beq4jpDBJ"
"shellfish pochette","White","Yes","NFS",10800.0,"White","White","1x1","NA","Crafting",,"All Year","1.0.0","Cute","fairy tale; vacation","No","Not for sale","BagShoulderShell0",7494.0,"XEsQxMf7k9qvjYxPF"
"snowflake pochette","White","Yes","NFS",2400.0,"Light blue","White","1x1","NA","Crafting",,"All Year","1.0.0","Elegant","fairy tale; party; vacation","No","Not for sale","BagShoulderSnow0",7493.0,"gW7R4HX8hjZEHAFtB"
"square backpack","Yellow","No","1300",325.0,"Yellow","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackSquare0",7500.0,"2RYepaMxTnXMZ9tXg"
"square backpack","Pink","No","1300",325.0,"Pink","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackSquare1",11967.0,"wN6jaJRRvg6cQZXhk"
"square backpack","Green","No","1300",325.0,"Green","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackSquare2",11968.0,"rJain6G9X749mG5p7"
"star pochette","Yellow","Yes","NFS",3000.0,"Yellow","Yellow","1x1","NA","Crafting",,"All Year","1.0.0","Cute","fairy tale; party; vacation","No","Not for sale","BagShoulderStar0",7489.0,"3WQ8vSWtHMjZ6YPtR"
"straw pochette","Brown","No","980",245.0,"Brown","Brown","1x1","NA","Kicks",,"All Year","1.0.0","Simple","comfy; vacation","No","For sale","BagShoulderRattan0",7488.0,"CGs3z4dKEkH82FDyq"
"studded backpack","Black","No","1560",390.0,"Black","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Cool","everyday; goth","No","For sale","BagBackpackStuds0",7503.0,"mTMCDJnwtFJzvQ9rs"
"studded backpack","White","No","1560",390.0,"White","Gray","1x1","NA","Kicks",,"All Year","1.0.0","Cool","everyday; goth","No","For sale","BagBackpackStuds1",12006.0,"e6iev2NrSfaxSg5nr"
"tackle bag","Blue","No","NFS",175.0,"Blue","Orange","1x1","NA","Fishing Tourney",,"All Year","1.0.0","Active","outdoorsy; sporty; work","No","Not for sale","BagShoulderFishing0",7478.0,"prkWCjgn7gTK4X8QH"
"tool bag","Black","No","910",227.0,"Black","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; work","No","For sale","BagShoulderTool0",7497.0,"KiXvv8fvv7CN5sFDx"
"town backpack","Green","No","1040",260.0,"Green","Green","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy","No","For sale","BagBackpackTown0",6838.0,"sm5eKnwyeNyKGXQLC"
"town backpack","Orange","No","1040",260.0,"Orange","Orange","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy","No","For sale","BagBackpackTown1",6839.0,"aZasytqebQRikaZZZ"
"town backpack","Blue","No","1040",260.0,"Blue","Blue","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy","No","For sale","BagBackpackTown2",11944.0,"WGhvofsBw6pFs5c93"
"town backpack","Red","No","1040",260.0,"Red","Red","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy","No","For sale","BagBackpackTown3",11945.0,"wkeZwbrp9BoHTEPRZ"
"travel pouch","Pink","No","840",210.0,"Pink","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy","No","For sale","BagShoulderTravel0",2550.0,"ygrWBZtknqDLLH8Rn"
"travel pouch","Green","No","840",210.0,"Green","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy","No","For sale","BagShoulderTravel1",12000.0,"oX3GfBwtMfcQ4STtd"
"travel pouch","Light blue","No","840",210.0,"Light blue","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy","No","For sale","BagShoulderTravel2",12001.0,"SSHDSgfSasCP6AgmW"
"travel pouch","Purple","No","840",210.0,"Purple","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy","No","For sale","BagShoulderTravel3",12002.0,"HTjXg6MXwPZCwEtmJ"
"traveler's backpack","Orange","No","2940",735.0,"Orange","Beige","1x1","NA","Kicks",,"All Year","1.0.0","Simple","fairy tale; outdoorsy; work","No","For sale","BagBackpackJourney0",7499.0,"ag2m7kcBg83aCARGE"
"traveler's backpack","Blue","No","2940",735.0,"Blue","Beige","1x1","NA","Kicks",,"All Year","1.0.0","Simple","fairy tale; outdoorsy; work","No","For sale","BagBackpackJourney1",11965.0,"iprTWWTSARJtHTKqF"
"traveler's backpack","Brown","No","2940",735.0,"Brown","Beige","1x1","NA","Kicks",,"All Year","1.0.0","Simple","fairy tale; outdoorsy; work","No","For sale","BagBackpackJourney2",11966.0,"ehhBAiZqTHaTExHYP"
