"name","vfx","diy","buy","sell","color_1","color_2","miles_price","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","tag","catalog","filename","internal_id","unique_entry_id"
"blue floral flooring","No","No","1520",380.0,"Blue","Blue","NA","Nook's Cranny",,"1.0.0","shop","living room","None","Deco Wood","For sale","RoomTexFloorDecoWood01",5074.0,"XMaNPpWPhwfMY6L5G"
"blue honeycomb tile","No","No","1420",355.0,"Blue","Blue","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Honeycomb","For sale","RoomTexFloorHoneycomb01",5040.0,"rYSDNLpsxE2ec3g9W"
"blue mosaic-tile flooring","No","No","900",225.0,"Blue","Blue","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Tile Floors","For sale","RoomTexFloorTile03",6846.0,"y7utgb97MDffD3CWY"
"blue rubber flooring","No","No","850",212.0,"Blue","Light blue","NA","Nook's Cranny",,"1.0.0","fitness","school","None","Rubber","For sale","RoomTexFloorRubber01",4954.0,"4q43QAcimMHbzK76v"
"blue-paint flooring","No","No","1040",260.0,"Light blue","White","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Painted Wood","For sale","RoomTexFloorPaintWood00",5057.0,"gNCxEi69JzcmxXbxL"
"boxing-ring mat","No","No","3000",750.0,"Blue","Blue","NA","Saharah",,"1.0.0","fitness","None","None","Sports Floor","Not for sale","RoomTexFloorWrestling00",4982.0,"45uLswcK6NpGkiLNj"
"brown argyle-tile flooring","No","No","1440",360.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","expensive","facility","None","Argyle","For sale","RoomTexFloorArgyleTile01",5081.0,"yBoSKBz6zX8i5upzp"
"brown floral flooring","No","No","1520",380.0,"Brown","White","NA","Nook's Cranny",,"1.0.0","shop","living room","None","Deco Wood","For sale","RoomTexFloorDecoWood02",5075.0,"xY7NHtsvYjKMbACLu"
"brown honeycomb tile","No","No","1420",355.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Honeycomb","For sale","RoomTexFloorHoneycomb00",5038.0,"ZpkkHEE23YB7QNvHx"
"brown iron-parquet flooring","No","No","2350",587.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","expensive","living room","None","Iron Parquet","For sale","RoomTexFloorParquetIron01",5065.0,"n48DyFP2iimp68t9Y"
"brown wedding flooring",,"No","3000",750.0,"None","None","NA","Wedding Season",,"1.2.0","party","expensive","wedding","Tile Floors","Not for sale","RoomTexFloorMarbleTile01",12433.0,"hmyWP64oXEsMwBPua"
"brown-brick flooring","No","No","1040",260.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Brick","For sale","RoomTexFloorBrick03",6849.0,"pjTr8dw3cyN8eeZYv"
"Bunny Day flooring","No","Yes","NFS",4800.0,"None","None","NA","Crafting",,"1.1.0","fancy","child's room","Bunny Day","Dot","Not for sale","RoomTexFloorEaster00",12423.0,"Q9QJSyTM3AzAWLBvD"
"camo flooring","No","No","1320",330.0,"Black","Green","NA","Nook's Cranny",,"1.0.0","party","child's room","None","Camouflage","For sale","RoomTexFloorCamouflage00",5015.0,"DuqT3X6msNdXFvLHi"
"cherry-blossom flooring","No","Yes","NFS",4400.0,"Pink","Pink","NA","Crafting",,"1.0.0","garden","fancy","cherry blossoms","Nature - Fallen Leaves","Not for sale","RoomTexFloorSakura00",7204.0,"ZhWmRmGQN5gZCao4y"
"circuit-board flooring","No","No","3000",750.0,"Green","Green","NA","Saharah",,"1.0.0","facility","None","None","Machine Floor","Not for sale","RoomTexFloorGeek00",5082.0,"mqiB9cY9EEtRXQoFS"
"cloud flooring","Yes","No","3000",750.0,"White","White","NA","Saharah",,"1.0.0","fancy","None","None","Special Nature Floors","Not for sale","RoomSpFloorCloud00",5267.0,"Gp6CWrou6RqPRPLH3"
"colored-leaves flooring","No","Yes","NFS",4300.0,"Orange","Orange","NA","Crafting",,"1.0.0","garden","None","tree's bounty or leaves","Nature - Fallen Leaves","Not for sale","RoomTexFloorAutumun00",4990.0,"ZNpkS7gSLvRFR3qv4"
"colorful mosaic-tile flooring","No","No","900",225.0,"Colorful","White","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Tile Floors","For sale","RoomTexFloorTile02",5037.0,"FMtGXChPSm2y6edqK"
"colorful puzzle flooring","No","No","1450",362.0,"Colorful","Colorful","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Puzzle Mat","For sale","RoomTexFloorPuzzleMat01",4957.0,"snnsfZxLf3bLFCmSD"
"colorful tile flooring","No","No","1620",405.0,"Colorful","Colorful","NA","Nook's Cranny",,"1.0.0","living room","child's room","None","Panel","For sale","RoomTexFloorPanel01",5068.0,"ANgxpCY6rprKk56wT"
"common flooring","No","No","720",180.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","living room","school","None","Wood Floors","For sale","RoomTexFloorCommon00",5018.0,"GQX6Cd7FiDHBwkfAv"
"concrete flooring","No","No","820",205.0,"Gray","Gray","NA","Nook's Cranny",,"1.0.0","garage","facility","None","Stone Floors","For sale","RoomTexFloorConcrete00",4951.0,"r6hpZDG5eaceYuE3x"
"construction-site flooring","No","No","3000",750.0,"Brown","White","NA","Saharah",,"1.0.0","garage","facility","None","Sidewalk","Not for sale","RoomTexFloorConstruction00",5235.0,"25pmfNgicXrDwQhZ9"
"cool vinyl flooring","No","No","1150",287.0,"Blue","Gray","NA","Nook's Cranny",,"1.0.0","expensive","None","None","Tile Checker","For sale","RoomTexFloorTileChecker03",6844.0,"RpwPS8ETt7nPHGTqR"
"cool-paint flooring","No","No","2200",550.0,"Colorful","Colorful","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Colorful Wood","For sale","RoomTexFloorColorfulWood01",5071.0,"P5vNHW2McCcqGk2Ru"
"cork flooring","No","No","1500",375.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","school","music","None","Wood Floors","For sale","RoomTexFloorCork00",4969.0,"YSWAiTZFDQXzbH8xM"
"crop-circles flooring","No","No","3000",750.0,"Green","Green","NA","Saharah",,"1.0.0","garden","None","None","Nature - Green","Not for sale","RoomTexFloorCropCircles00",5243.0,"zvSD2W9Wsxs2wX82T"
"crosswalk flooring","No","No","3000",750.0,"Beige","Black","NA","Saharah",,"1.0.0","facility","None","None","Sidewalk","Not for sale","RoomTexFloorSidewalk00",5007.0,"DpkSGAyAuXwcmKcYT"
"cubic parquet flooring","No","No","1500",375.0,"Orange","Orange","NA","Nook's Cranny",,"1.0.0","living room","child's room","None","Simple Parquet","For sale","RoomTexFloorHoneycombWood00",4987.0,"pTqSAheGagvxyCivv"
"cute blue-tile flooring","No","No","780",195.0,"Blue","Blue","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Tile Floors","For sale","RoomTexFloorCute02",7221.0,"QsGtuf59hbErv942T"
"cute red-tile flooring","No","No","780",195.0,"Red","Pink","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Tile Floors","For sale","RoomTexFloorCute01",7220.0,"TmfKeSsDh7FMpA6jG"
"cute white-tile flooring","No","No","780",195.0,"White","White","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Tile Floors","For sale","RoomTexFloorCute00",7219.0,"bXxKjx8AJp7PRKLZA"
"cute yellow-tile flooring","No","No","780",195.0,"Yellow","Yellow","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Tile Floors","For sale","RoomTexFloorCute03",7222.0,"CSeg3aQXkhPjwXSJS"
"cute-paint flooring","No","No","2200",550.0,"Pink","Orange","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Colorful Wood","For sale","RoomTexFloorColorfulWood00",5070.0,"W6ohXRHoCKsN4YLB8"
"daisy meadow","No","No","3000",750.0,"Green","Green","NA","Saharah",,"1.0.0","garden","None","None","Grassland","Not for sale","RoomTexFloorGrassland00",5005.0,"3wxzHxXFvLCZ9CKg2"
"dark herringbone flooring","No","No","1200",300.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","living room","shop","None","Herringbone","For sale","RoomTexFloorHerringbone01",5062.0,"B2ZTCrRr7jnNR2ovs"
"dark parquet flooring","No","No","1560",390.0,"Black","Gray","NA","Nook's Cranny",,"1.0.0","living room","None","None","Country","For sale","RoomTexFloorCountry01",5025.0,"rco8xXCvWkLSFYCRA"
"dark wood-pattern flooring","No","No","1500",375.0,"Black","Black","NA","Nook's Cranny",,"1.0.0","living room","shop","None","Simple Parquet","For sale","RoomTexFloorSimpleParquet01",4992.0,"XtDikpNN55jn8zrja"
"dark-block flooring","No","No","1380",345.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","school","None","None","Parquet","For sale","RoomTexFloorParquet01",5035.0,"Brfw5JnsZKhxqhWYf"
"dark-chocolates flooring","No","No","3000",750.0,"Brown","Brown","NA","Saharah",,"1.0.0","fancy","None","None","Chocolate","Not for sale","RoomTexFloorChocolate00",5050.0,"hyLXZQ7stKXetPcQv"
"dig-site flooring","No","No","3000",750.0,"Brown","Beige","NA","Saharah",,"1.0.0","garden","horror","None","Nature - Brown","Not for sale","RoomTexFloorStratum00",5011.0,"4niZnD4Hiwrg9tF2G"
"dirt flooring","No","No","3000",750.0,"Brown","Black","NA","Saharah",,"1.0.0","garden","outdoors","None","Nature - Brown","Not for sale","RoomTexFloorCottonSoil00",4981.0,"LYgxhvWvyPWAzWieZ"
"field flooring","No","No","3000",750.0,"Brown","Brown","NA","Saharah",,"1.0.0","garden","None","None","Nature - Brown","Not for sale","RoomTexFloorFarm00",4980.0,"2zmEMZxmYHHNEGTQR"
"flagstone flooring","No","No","1700",425.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","shop","facility","None","Stone Floors","For sale","RoomTexFloorFlagStone00",5031.0,"NtuoKtiMbKoiY2xoy"
"floral mosaic-tile flooring","No","No","1080",270.0,"White","White","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Tile Floors","For sale","RoomTexFloorMosaicTile00",4993.0,"5wjjJXuu2A9EYJGgf"
"floral rush-mat flooring","No","No","3000",750.0,"White","White","NA","Saharah",,"1.0.0","fancy","zen-style","None","Japanese Style","Not for sale","RoomTexFloorRush00",4977.0,"f9aYRhv4CwtmsYPNS"
"flowing-river flooring","Yes","No","3000",750.0,"Gray","Light blue","NA","Saharah",,"1.0.0","garden","None","None","Special Nature Floors","Not for sale","RoomSpFloorRiver00",5273.0,"2EL3sCGxkgTQj533G"
"forest flooring","No","Yes","NFS",35000.0,"Brown","Brown","NA","Crafting",,"1.0.0","garden","horror","mush","Nature - Fallen Leaves","Not for sale","RoomTexFloorMushForest00",7186.0,"ec3NaTs5Pk8z6HCC6"
"future-tech flooring","Yes","No","3000",750.0,"Black","Black","NA","Saharah",,"1.0.0","horror","folk art","None","Special Inorganic Floors","Not for sale","RoomSpFloorTechnology00",5250.0,"eZweMfrfieMDtihv7"
"galaxy flooring","No","Yes","NFS",7500.0,"Blue","Blue","NA","Crafting",,"1.0.0","space","None","None","Special Nature Floors","Not for sale","RoomSpFloorGalaxy00",5269.0,"XhFQDs3H9uCdikzkW"
"garbage-heap flooring","No","Yes","NFS",120.0,"White","White","NA","Crafting",,"1.0.0","horror","garage","None","Decadence","Not for sale","RoomTexFloorGarbage00",5236.0,"iY9f7H5NjXBxxB6HQ"
"giraffe-print flooring","No","No","1300",325.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","party","fancy","None","Animal Floor","For sale","RoomTexFloorAnimal01",4961.0,"umJmHnuMQRMEeXB7Y"
"gold iron-parquet flooring","No","No","2350",587.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","expensive","living room","None","Iron Parquet","For sale","RoomTexFloorParquetIron00",5064.0,"R7g62hAfWLaJ2muuy"
"golden flooring","No","Yes","NFS",40000.0,"Yellow","Yellow","NA","Crafting",,"1.0.0","expensive","horror","golden","Luxury","Not for sale","RoomTexFloorGold00",5021.0,"YrHA4R4RmkJLeYvJy"
"gravel flooring","No","No","3000",750.0,"Gray","Gray","NA","Saharah",,"1.0.0","garden","facility","None","Stone Floors","Not for sale","RoomTexFloorGravel00",4978.0,"9jLaEjCCsiMHGLf9Y"
"gray argyle-tile flooring","No","No","1440",360.0,"Gray","White","NA","Nook's Cranny",,"1.0.0","expensive","facility","None","Argyle","For sale","RoomTexFloorArgyleTile00",5080.0,"L5HHMxTjeAv2hLukh"
"gray vinyl flooring","No","No","1150",287.0,"Gray","White","NA","Nook's Cranny",,"1.0.0","expensive","None","None","Tile Checker","For sale","RoomTexFloorTileChecker00",5046.0,"hazZe9YtvTt7T8WJD"
"green floral flooring","No","No","1520",380.0,"Green","Green","NA","Nook's Cranny",,"1.0.0","shop","living room","None","Deco Wood","For sale","RoomTexFloorDecoWood03",6847.0,"AaKjHGFteG5h2GBQn"
"green honeycomb tile","No","No","1420",355.0,"Green","Green","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Honeycomb","For sale","RoomTexFloorHoneycomb02",5041.0,"3T2nKNCHMxxQXkucQ"
"green retro flooring","No","No","1540",385.0,"Green","Green","NA","Nook's Cranny",,"1.0.0","kitchen","shop","None","Kitchen Floors","For sale","RoomTexFloorKitchen01",5045.0,"RRFkhjtia4ayJy2cH"
"green rubber flooring","No","No","850",212.0,"Green","Green","NA","Nook's Cranny",,"1.0.0","fitness","school","None","Rubber","For sale","RoomTexFloorRubber00",4952.0,"raqdEHfoLLbgfxpcR"
"green vinyl flooring","No","No","1150",287.0,"Green","White","NA","Nook's Cranny",,"1.0.0","expensive","None","None","Tile Checker","For sale","RoomTexFloorTileChecker02",5048.0,"zBGakmC9vX4Epuduf"
"green wedding flooring",,"No","3000",750.0,"None","None","NA","Wedding Season",,"1.2.0","party","expensive","wedding","Tile Floors","Not for sale","RoomTexFloorMarbleTile02",12434.0,"uhmt88jsXSHpkqswZ"
"green-paint flooring","No","No","1040",260.0,"Green","Green","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Painted Wood","For sale","RoomTexFloorPaintWood01",5058.0,"ZdsDu7KBmtngBLoe4"
"hexagonal floral flooring","No","No","860",215.0,"White","White","NA","Nook's Cranny",,"1.0.0","zen-style","shop","None","Tile Floors","For sale","RoomTexFloorHempTile00",4972.0,"6frp588zeZqeDBSvp"
"highway flooring","No","No","3000",750.0,"Gray","Beige","NA","Saharah",,"1.0.0","facility","None","None","Sidewalk","Not for sale","RoomTexFloorHighway00",5237.0,"wrqigm79Kx7xbhPcb"
"honeycomb flooring","No","Yes","NFS",3000.0,"Yellow","Yellow","NA","Crafting",,"1.0.0","fancy","facility","None","Neta","Not for sale","RoomTexFloorHoney00",4999.0,"Yi7YJpRkuc2DYxypg"
"ice flooring","Yes","Yes","NFS",8200.0,"Light blue","Light blue","NA","Crafting",,"1.0.0","freezing cold","facility","frozen","Special Nature Floors","Not for sale","RoomSpFloorIce00",5516.0,"J63DSTu7u4tnwgLfR"
"iceberg flooring","Yes","Yes","NFS",4000.0,"White","Light blue","NA","Crafting",,"1.0.0","freezing cold","None","None","Special Nature Floors","Not for sale","RoomSpFloorIceFloe00",5253.0,"7unCfS99xyM3swHCz"
"imperial tile","No","No","3000",750.0,"White","Gray","NA","Saharah",,"1.0.0","expensive","None","None","Luxury","Not for sale","RoomTexFloorDynasty00",5012.0,"n4zrzvMvJmXvpMTCw"
"jointed-mat flooring","No","No","1050",262.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","school","child's room","None","Cloth Floors","For sale","RoomTexFloorJointMat00",4955.0,"RfPqDKHG6QR5FhwXY"
"jungle flooring","No","Yes","NFS",2200.0,"Green","Green","NA","Crafting",,"1.0.0","garden","facility","None","Nature - Green","Not for sale","RoomTexFloorJungle00",5515.0,"QrdicpjjuY4mBd37e"
"kitschy tile","No","No","1280",320.0,"Pink","White","NA","Nook's Cranny",,"1.0.0","party","None","None","Tile Floors","For sale","RoomTexFloorKitschTile00",5076.0,"uWKchyhWgNxTxDikd"
"lava flooring","Yes","No","3000",750.0,"Black","Orange","NA","Saharah",,"1.0.0","horror","None","None","Special Inorganic Floors","Not for sale","RoomSpFloorVolcano00",5274.0,"uT9YnwivAEZ938FKB"
"leopard-print flooring","No","No","1300",325.0,"Orange","Brown","NA","Nook's Cranny",,"1.0.0","party","fancy","None","Animal Floor","For sale","RoomTexFloorAnimal00",4959.0,"GsWLFhWAiRsNrY2XC"
"light herringbone flooring","No","No","1200",300.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","living room","shop","None","Herringbone","For sale","RoomTexFloorHerringbone00",5061.0,"GQXNBcZoQRYRyRYGP"
"light parquet flooring","No","No","1560",390.0,"Beige","Brown","NA","Nook's Cranny",,"1.0.0","living room","shop","None","Country","For sale","RoomTexFloorCountry00",5022.0,"HqokjwEnZtgcjNSgH"
"light wood-pattern flooring","No","No","1500",375.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","living room","shop","None","Simple Parquet","For sale","RoomTexFloorSimpleParquet00",4991.0,"osG5BdoAX86kEitnu"
"lobby flooring","No","No","3000",750.0,"Purple","Black","NA","Saharah",,"1.0.0","facility","party","None","Cloth Floors","Not for sale","RoomTexFloorLobby00",5034.0,"nQCnxLKNXAQ7JqtyB"
"lunar surface","No","Yes","NFS",7500.0,"White","Gray","NA","Crafting",,"1.0.0","space","None","stars","Nature - White","Not for sale","RoomTexFloorLunar00",4968.0,"n8j4WToan9efgnJDM"
"marine pop flooring","No","No","2020",505.0,"Blue","Blue","NA","Nook's Cranny",,"1.0.0","child's room","fancy","None","Cloth Floors","For sale","RoomTexFloorFishPop00",5024.0,"yajaXefi94Mx32KAy"
"mint dot flooring","No","No","800",200.0,"Green","Green","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Dot","For sale","RoomTexFloorDot01",5026.0,"CCEfvKqoZ7TQXWFqM"
"modern wood flooring","No","No","1280",320.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","living room","child's room","None","Wood Floors","For sale","RoomTexFloorMixwood00",5044.0,"jBLBPkiSgmkL52L5n"
"money flooring","No","Yes","NFS",25000.0,"White","White","NA","Crafting",,"1.0.0","expensive","None","None","Decadence","Not for sale","RoomTexFloorBill00",4986.0,"M9tBbGtQcTpPWCGeQ"
"monochromatic dot flooring","No","No","800",200.0,"Gray","White","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Dot","For sale","RoomTexFloorDot00",5023.0,"CJ6ukTuEqDXvFx5kM"
"monochromatic tile flooring","No","No","1620",405.0,"Black","White","NA","Nook's Cranny",,"1.0.0","den","living room","None","Panel","For sale","RoomTexFloorPanel00",5067.0,"wyRDyuntjJqsgxEvz"
"mossy-garden flooring","No","No","3000",750.0,"Green","Green","NA","Saharah",,"1.0.0","zen-style","garden","None","Nature - Green","Not for sale","RoomTexFloorMoss00",5234.0,"3KGLDP2eT6i3A7jaw"
"natural-block flooring","No","No","1380",345.0,"Brown","Beige","NA","Nook's Cranny",,"1.0.0","school","None","None","Parquet","For sale","RoomTexFloorParquet00",5033.0,"BaHnYrekt2ngfWeCQ"
"Nook Inc. flooring","No","No","NFS",6000.0,"Brown","Brown","1200","Nook Miles Shop",,"1.0.0","school","shop","None","Wood Floors","Not for sale","RoomTexFloorFirst00",6005.0,"tHvrMW72TDM3ezhRx"
"oasis flooring","Yes","No","3000",750.0,"Beige","Light blue","NA","Saharah",,"1.0.0","garden","folk art","None","Special Inorganic Floors","Not for sale","RoomSpFloorOasis00",5255.0,"Apr3HrqodwkiBk5ZQ"
"olive desert-tile flooring","No","No","2100",525.0,"Yellow","Brown","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Morocco","For sale","RoomTexFloorMorocco03",6928.0,"LwaiMzRi8kw2Xw35j"
"orange camo flooring","No","No","1320",330.0,"Orange","Orange","NA","Nook's Cranny",,"1.0.0","party","child's room","None","Camouflage","For sale","RoomTexFloorCamouflage03",6845.0,"e2cw6YYcpWZdfH38F"
"orange retro flooring","No","No","1540",385.0,"Orange","Orange","NA","Nook's Cranny",,"1.0.0","kitchen","shop","None","Kitchen Floors","For sale","RoomTexFloorKitchen00",5043.0,"GpDHr3gHCZSrK5bfx"
"paintball flooring","No","No","3000",750.0,"White","Colorful","NA","Saharah",,"1.0.0","garage","facility","None","Stone Floors","Not for sale","RoomTexFloorAtelier00",4988.0,"vC2oYRMxbZXYazKYW"
"palace tile","No","No","3000",750.0,"White","White","NA","Saharah",,"1.0.0","expensive","folk art","None","Luxury","Not for sale","RoomTexFloorPalace00",5051.0,"ZBN9trZ7YTDgN5z3Y"
"parking flooring","No","No","3000",750.0,"Black","Gray","NA","Saharah",,"1.0.0","facility","None","None","Sidewalk","Not for sale","RoomTexFloorParking00",4997.0,"Lx2JZuP8F6xS28PPG"
"party flooring","No","No","NFS",370.0,"Colorful","Gray","NA","Birthday",,"1.0.0","party","fancy","None","Decadence","Not for sale","RoomTexFloorParty00",5241.0,"8vy7YrhEnTpt8GjWT"
"pastel puzzle flooring","No","No","1450",362.0,"White","White","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Puzzle Mat","For sale","RoomTexFloorPuzzleMat00",4956.0,"nGtvPzJvdJb5xmQo8"
"patchwork-tile flooring","No","No","2100",525.0,"White","White","NA","Nook's Cranny",,"1.0.0","expensive","shop","None","Tile Floors","For sale","RoomTexFloorPatchworkTile00",4995.0,"hCAe3badxv5faWwGE"
"pine-board flooring","No","No","2500",625.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","living room","child's room","None","Wood Floors","For sale","RoomTexFloorSimple00",5019.0,"B3GmKqXBaKNeugExA"
"pink-paint flooring","No","No","1040",260.0,"Pink","Pink","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Painted Wood","For sale","RoomTexFloorPaintWood02",5059.0,"wXCN3tKY2rDen6D6s"
"purple camo flooring","No","No","1320",330.0,"Purple","Purple","NA","Nook's Cranny",,"1.0.0","party","child's room","None","Camouflage","For sale","RoomTexFloorCamouflage02",5017.0,"JZ5JuDTqYYu8PQZrJ"
"purple desert-tile flooring","No","No","2100",525.0,"Purple","White","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Morocco","For sale","RoomTexFloorMorocco02",6927.0,"4e7h4ZuzEKJb5ua3v"
"purple puzzle flooring","No","No","1450",362.0,"Purple","Colorful","NA","Nook's Cranny",,"1.0.0","fancy","None","None","Puzzle Mat","For sale","RoomTexFloorPuzzleMat03",7185.0,"xi7QC9EcD34PNSdzt"
"pyramid tile","No","No","3000",750.0,"Beige","Beige","NA","Saharah",,"1.0.0","folk art","None","None","Luxury","Not for sale","RoomTexFloorEgypt00",5054.0,"kcHqZKGAjAwFcQxNg"
"racetrack flooring","No","No","3000",750.0,"Green","Green","NA","Saharah",,"1.0.0","fitness","school","None","Sports Floor","Not for sale","RoomTexFloorAthletics00",4996.0,"QDiAF633q7ohZqqTK"
"ramshackle flooring","No","No","3000",750.0,"Beige","Beige","NA","Saharah",,"1.0.0","horror","None","None","Decadence","Not for sale","RoomTexFloorRuins00",5240.0,"tx4WSnBkFsrJZHe7b"
"random-square-tile flooring","No","No","1360",340.0,"White","White","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Tile Floors","For sale","RoomTexFloorSquareTile00",4973.0,"3GqKtZdottDaNdNvP"
"rattan flooring","No","No","1100",275.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","facility","shop","rattan","Wood Floors","For sale","RoomTexFloorRattan00",4967.0,"C5WxH5ZD5LcXeGL56"
"red dot flooring","No","No","800",200.0,"Red","Red","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Dot","For sale","RoomTexFloorDot02",5027.0,"RRjt2eaLkEJv9Hk6W"
"red-and-black vinyl flooring","No","No","1150",287.0,"Red","Gray","NA","Nook's Cranny",,"1.0.0","expensive","None","None","Tile Checker","For sale","RoomTexFloorTileChecker01",5047.0,"y9Bcpqd5GNvw29DbR"
"red-brick flooring","No","No","1040",260.0,"Red","Brown","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Brick","For sale","RoomTexFloorBrick01",4975.0,"tknYxCq8ztLx7Tibi"
