"name","index_1","material_1","index_2","material_2","index_3","material_3","index_4","material_4","index_5","material_5","index_6","material_6","buy","sell","miles_price","source","source_notes","recipes_to_unlock","version","category","serial_id","internal_id","unique_entry_id"
"basement flooring",10.0,"stone",,,,,,,,,,,"NFS",200.0,"NA","Smug villagers",,0.0,"1.0.0","Floors",860.0,474.0,"RdpaWYGrZLzQWtKDJ"
"basket pack",6.0,"young spring bamboo",,,,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Spring",0.0,"1.0.0","Bags",2580.0,645.0,"j2a3p7Gtpy8fW2Z5S"
"beekeeper's hive",3.0,"wasp nest",5.0,"wood",,,,,,,,,"NFS",200.0,"NA","Jock villagers",,0.0,"1.0.0","Housewares",2000.0,204.0,"nxtm2DdtRcHzAyrZX"
"big festive tree",6.0,"red ornament",6.0,"blue ornament",4.0,"gold ornament",5.0,"wood",5.0,"clay",,,"NFS",200.0,"NA","Balloons","Only available during Festive Season",0.0,"1.0.0","Housewares",3404.0,273.0,"xArzFHH3vK5tq4r6y"
"birdbath",6.0,"stone",,,,,,,,,,,"NFS",200.0,"NA","Tom Nook; Snooty villagers","Obtained during the main storyline during the villager house development quest",0.0,"1.0.0","Housewares",802.0,42.0,"73BAmDLcYdhSDnHLR"
"birdcage",8.0,"wood",,,,,,,,,,,"NFS",200.0,"NA","Big Sister villagers",,0.0,"1.0.0","Housewares",404.0,216.0,"Dm56HseZexdC2ctda"
"birdhouse",2.0,"wood",5.0,"softwood",,,,,,,,,"NFS",200.0,"NA","Tom Nook; Peppy villagers",,0.0,"1.0.0","Housewares",435.0,41.0,"cDe3r9tficCbWgmH4"
"blossom-viewing lantern",6.0,"cherry-blossom petal",4.0,"hardwood",,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Housewares",2604.0,427.0,"7dxFMY3pjTmv4D3QX"
"blue rose crown",6.0,"blue roses",,,,,,,,,,,"NFS",200.0,"NA","All Villagers",,200.0,"1.0.0","Headwear",3615.0,459.0,"5oscGctPhHbHFeSHY"
"blue rose wreath",10.0,"blue roses",,,,,,,,,,,"NFS",200.0,"NA","All Villagers",,200.0,"1.0.0","Wall-mounted",3555.0,447.0,"XbGbAr5htMNb6h4mr"
"bone doorplate",3.0,"softwood",,,,,,,,,,,"NFS",200.0,"NA","Lazy villagers",,50.0,"1.0.0","Wall-mounted",500.0,467.0,"jbvhjbWecrky57s9e"
"bonfire",1.0,"campfire",10.0,"wood",,,,,,,,,"NFS",200.0,"NA","Tom Nook; Cranky villagers",,0.0,"1.0.0","Housewares",201.0,34.0,"JxApKgoud4gfvEcwk"
"bonsai shelf",1.0,"cherry-blossom bonsai",1.0,"pine bonsai tree",8.0,"wood",,,,,,,"NFS",200.0,"NA","Cranky villagers",,100.0,"1.0.0","Housewares",437.0,593.0,"ybNj2deAkSr4AkbXf"
"boomerang",3.0,"hardwood",,,,,,,,,,,"NFS",200.0,"NA","Lazy villagers",,50.0,"1.0.0","Wall-mounted",481.0,171.0,"rMasSCDby69z84Fai"
"brick fence",6.0,"clay",,,,,,,,,,,"NFS",200.0,"1000","Nook Miles Exchange",,0.0,"1.0.0","Fencing",790.0,99.0,"F7bg775Kh6niY7gcZ"
"brick oven",8.0,"clay",2.0,"iron nugget",6.0,"wood",,,,,,,"NFS",200.0,"NA","Wildest Dreams DIY","Purchase Wildest Dreams DIY from Nook's Cranny",0.0,"1.0.0","Housewares",706.0,58.0,"HKzfxMGvbz6Xhni9E"
"brick well",8.0,"clay",5.0,"wood",1.0,"flimsy shovel",,,,,,,"NFS",200.0,"2000","Nook Miles Exchange",,0.0,"1.0.0","Housewares",707.0,408.0,"MZhaSK4GZ9D3jkRMw"
"bridge construction kit",4.0,"log stakes",4.0,"clay",4.0,"stone",,,,,,,"NFS",200.0,"NA","Tom Nook",,0.0,"1.0.0","Other",1.0,458.0,"5aMdJ9fqw3nFtTSYR"
"brown herringbone wall",15.0,"softwood",,,,,,,,,,,"NFS",200.0,"NA","Big Sister villagers",,0.0,"1.0.0","Wallpaper",524.0,312.0,"YXiuGMDZmkG7wbuQn"
"Bunny Day arch",2.0,"earth egg",2.0,"stone egg",2.0,"leaf egg",2.0,"wood egg",2.0,"sky egg",2.0,"water egg","NFS",200.0,"NA","Zipper","Reward from Zipper after collecting all 6 egg types; Only available during Bunny Day",0.0,"1.1.0a","Housewares",3708.0,695.0,"LnuCzHYJaAs4HNMdm"
"Bunny Day bag",1.0,"earth egg",1.0,"stone egg",1.0,"leaf egg",1.0,"wood egg",1.0,"sky egg",1.0,"water egg","NFS",200.0,"NA","All villagers","Only available during Bunny Day",0.0,"1.1.0a","Bags",3781.0,694.0,"9njGw9d2nxaB5RiGR"
"Bunny Day bed",1.0,"earth egg",1.0,"stone egg",1.0,"leaf egg",1.0,"wood egg",1.0,"sky egg",1.0,"water egg","NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Housewares",3704.0,698.0,"FiJ85ZKnHbkjNQ7FF"
"Bunny Day crown",1.0,"earth egg",1.0,"stone egg",1.0,"leaf egg",1.0,"wood egg",1.0,"sky egg",1.0,"water egg","NFS",200.0,"NA","All villagers","Only available during Bunny Day",0.0,"1.1.0a","Headwear",3780.0,693.0,"ARB6gWR7MFyiPoP3b"
"Bunny Day fence",1.0,"earth egg",1.0,"stone egg",1.0,"leaf egg",1.0,"wood egg",1.0,"sky egg",1.0,"water egg","NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Fencing",3790.0,712.0,"4Kdig9tWPTr4Xx6Kv"
"Bunny Day festive balloons",1.0,"stone egg",1.0,"wood egg",1.0,"water egg",,,,,,,"NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Housewares",3707.0,704.0,"gSFqr84aRRt85bwzj"
"Bunny Day flooring",2.0,"earth egg",2.0,"stone egg",2.0,"leaf egg",2.0,"wood egg",2.0,"sky egg",2.0,"water egg","NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Floors",3751.0,710.0,"niHGKnTgXRGTbpEwc"
"Bunny Day glowy garland",1.0,"earth egg",1.0,"stone egg",1.0,"leaf egg",1.0,"wood egg",1.0,"sky egg",1.0,"water egg","NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Wall-mounted",3731.0,700.0,"o4dxxDMeguMH8zQzx"
"Bunny Day lamp",4.0,"wood egg",,,,,,,,,,,"NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Miscellaneous",3705.0,697.0,"aJAmvizpFhDespKHb"
"Bunny Day merry balloons",1.0,"earth egg",1.0,"leaf egg",1.0,"sky egg",,,,,,,"NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Housewares",3706.0,702.0,"8JL8MamAW5zYTfT3J"
"Bunny Day rug",1.0,"earth egg",1.0,"stone egg",1.0,"leaf egg",1.0,"wood egg",1.0,"sky egg",1.0,"water egg","NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Rugs",3752.0,709.0,"qhQxRtRZztg72hh23"
"Bunny Day stool",3.0,"water egg",,,,,,,,,,,"NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Housewares",3700.0,699.0,"wa4bcffdYLswPfJ2B"
"Bunny Day table",4.0,"earth egg",,,,,,,,,,,"NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Housewares",3701.0,705.0,"9aQh9Qrq3vpQdqueu"
"Bunny Day vanity",4.0,"leaf egg",,,,,,,,,,,"NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Housewares",3703.0,703.0,"NnTWBXepctfiLMjnL"
"Bunny Day wall",2.0,"earth egg",2.0,"stone egg",2.0,"leaf egg",2.0,"wood egg",2.0,"sky egg",2.0,"water egg","NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Wallpaper",3750.0,708.0,"fJWKvdNQwBqRaKjsz"
"Bunny Day wall clock",3.0,"sky egg",,,,,,,,,,,"NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Wall-mounted",3730.0,701.0,"CYdX8kEStsmMXX96v"
"Bunny Day wand",1.0,"wobbling Zipper toy",3.0,"star fragment",,,,,,,,,"NFS",200.0,"NA","Zipper","Reward from Zipper after crafting wobbling Zipper toy; Only available during Bunny Day",0.0,"1.1.0a","Tools",3791.0,711.0,"ySsGKkX7k5TFeytzQ"
"Bunny Day wardrobe",4.0,"stone egg",,,,,,,,,,,"NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Housewares",3702.0,706.0,"CNAhe3aeGYQ22Q7LG"
"Bunny Day wreath",1.0,"earth egg",1.0,"stone egg",1.0,"leaf egg",1.0,"wood egg",1.0,"sky egg",1.0,"water egg","NFS",200.0,"NA","Egg bottle; Egg balloon","Only available during Bunny Day",0.0,"1.1.0a","Wall-mounted",3740.0,707.0,"296Ws5ikbL8hMv3ZC"
"butter churn",4.0,"wood",2.0,"iron nugget",,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,0.0,"1.0.0","Housewares",433.0,508.0,"zAPyFGPvmSTCdivgm"
"cabin wall",15.0,"hardwood",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,0.0,"1.0.0","Wallpaper",527.0,315.0,"vYePWAqNbmHCX2n7u"
"campfire",3.0,"tree branch",,,,,,,,,,,"NFS",200.0,"NA","Tom Nook",,0.0,"1.0.0","Housewares",200.0,13.0,"YDCiZFYQHNweKWYcz"
"campsite construction kit",15.0,"wood",15.0,"softwood",15.0,"hardwood",15.0,"iron nugget",,,,,"NFS",200.0,"NA","Tom Nook (Story)",,0.0,"1.0.0","Other",1.0,461.0,"r2Hct8GMigwWDdwc8"
"Cancer table",3.0,"star fragment",2.0,"Cancer fragment",2.0,"gold nugget",3.0,"stone",,,,,"NFS",200.0,"NA","Celeste",,0.0,"1.0.0","Housewares",2303.0,371.0,"FvH6DXMtKuuXbmRdS"
"Capricorn ornament",3.0,"star fragment",2.0,"Capricorn fragment",2.0,"gold nugget",12.0,"stone",,,,,"NFS",200.0,"NA","Celeste",,0.0,"1.0.0","Housewares",2309.0,370.0,"WzAvFzPD5oa7ZijeY"
"cardboard bed",4.0,"cardboard box",,,,,,,,,,,"NFS",200.0,"NA","Lazy villagers",,0.0,"1.0.0","Housewares",2133.0,497.0,"egMT9pGzXF4tW2TcQ"
"cardboard chair",1.0,"cardboard box",,,,,,,,,,,"NFS",200.0,"NA","Lazy villagers",,0.0,"1.0.0","Housewares",2130.0,498.0,"keFZfoTQf5ShhZn7b"
"cardboard sofa",2.0,"cardboard box",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,0.0,"1.0.0","Housewares",2131.0,500.0,"XfuFR6TygpGsHECLn"
"cardboard table",4.0,"cardboard box",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,0.0,"1.0.0","Housewares",2132.0,496.0,"nXCaiKb8ZKtRdFrps"
"cherry dress",8.0,"cherry",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,100.0,"1.0.0","Dresses",1482.0,612.0,"XeA7zE2nkf38vLXR2"
"cherry hat",5.0,"cherry",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,100.0,"1.0.0","Headwear",1481.0,613.0,"t7SsbKgRAa6GWgjR8"
"cherry lamp",10.0,"cherry",2.0,"clay",,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,100.0,"1.0.0","Wall-mounted",1430.0,162.0,"6hBjge6rn7Sxd5sr7"
"cherry rug",6.0,"cherry",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,100.0,"1.0.0","Rugs",1470.0,543.0,"pMnYDcm7v9cjAdLj2"
"cherry speakers",10.0,"cherry",2.0,"iron nugget",,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,100.0,"1.0.0","Miscellaneous",1400.0,161.0,"TtSKEhTt2uf2P9Mcj"
"cherry umbrella",7.0,"cherry",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,100.0,"1.0.0","Umbrellas",1480.0,614.0,"pKzsdzbBmNX3hZd7R"
"cherry wall",20.0,"cherry",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,100.0,"1.0.0","Wallpaper",1450.0,307.0,"c4EyTmXti6TusMbGF"
"cherry-blossom bonsai",6.0,"cherry-blossom petal",2.0,"hardwood",3.0,"clump of weeds",3.0,"clay",,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Miscellaneous",2601.0,375.0,"ToGQibiXb4sB3pT7B"
"cherry-blossom branches",8.0,"cherry-blossom petal",4.0,"tree branch",5.0,"clay",,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Housewares",2602.0,419.0,"6P3zgNBfKCc3vZxjJ"
"cherry-blossom clock",5.0,"cherry-blossom petal",,,,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Wall-mounted",2630.0,426.0,"9kPKbzAAQzJTu9758"
"cherry-blossom flooring",10.0,"cherry-blossom petal",20.0,"clump of weeds",,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Floors",2660.0,479.0,"Bthw6qsrWMxRp4L2J"
"cherry-blossom pochette",6.0,"cherry-blossom petal",,,,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Bags",2681.0,630.0,"vh9iLeDKLo3LR8T4G"
"cherry-blossom pond stone",10.0,"stone",3.0,"cherry-blossom petal",,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Housewares",820.0,511.0,"5kPZxufBzifksrFoK"
"cherry-blossom umbrella",7.0,"cherry-blossom petal",,,,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Umbrellas",2680.0,629.0,"Ss2QnC4nP26NFyexM"
"cherry-blossom wand",3.0,"cherry-blossom petal",3.0,"star fragment",,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Tools",2690.0,537.0,"TRZ2p8L58k3FvGpPJ"
"cherry-blossom-petal pile",5.0,"cherry-blossom petal",,,,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Housewares",2600.0,418.0,"Brh7tns5YQ2rzkYLN"
"cherry-blossom-trees wall",10.0,"cherry-blossom petal",5.0,"hardwood",,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Cherry-Blossom Season",0.0,"1.0.0","Wallpaper",2650.0,480.0,"C4v4pT2hwNJdB82tD"
"chic cosmos wreath",10.0,"black cosmos",,,,,,,,,,,"NFS",200.0,"NA","All Villagers",,200.0,"1.0.0","Wall-mounted",3548.0,444.0,"XgThrnxG75cqkssWt"
"chic mum crown",3.0,"purple mums",3.0,"pink mums",,,,,,,,,"NFS",200.0,"NA","All Villagers",,100.0,"1.0.0","Headwear",3604.0,259.0,"tZEt9aNRec7gTZDjp"
"chic rose crown",3.0,"purple roses",3.0,"black roses",,,,,,,,,"NFS",200.0,"NA","All Villagers",,200.0,"1.0.0","Headwear",3614.0,254.0,"af3PHSYfriLmgvb8b"
"chic tulip crown",2.0,"purple tulips",2.0,"pink tulips",1.0,"orange tulips",,,,,,,"NFS",200.0,"NA","All Villagers",,100.0,"1.0.0","Headwear",3610.0,244.0,"AWo72X4YM3PnWSL2P"
"chic windflower wreath",10.0,"purple windflowers",,,,,,,,,,,"NFS",200.0,"NA","All Villagers",,200.0,"1.0.0","Wall-mounted",3542.0,440.0,"2W5Pa9MKWHhknBENu"
"chocolate herringbone wall",15.0,"softwood",,,,,,,,,,,"NFS",200.0,"NA","Smug villagers",,0.0,"1.0.0","Wallpaper",525.0,313.0,"TvTxY9NBsDvQfXAJH"
"clackercart",2.0,"hardwood",6.0,"softwood",,,,,,,,,"NFS",200.0,"NA","Lazy villagers",,0.0,"1.0.0","Housewares",402.0,164.0,"EqWJqEqcpki2TCTXS"
"classic pitcher",4.0,"clay",,,,,,,,,,,"NFS",200.0,"NA","Tom Nook; Snooty villagers","Obtained during the main storyline during the villager house development quest",0.0,"1.0.0","Miscellaneous",702.0,192.0,"jtdnvzuzyxYDa6xov"
"classic-library wall",10.0,"book",,,,,,,,,,,"NFS",200.0,"NA","Normal villagers",,100.0,"1.0.0","Wallpaper",2103.0,317.0,"tWZXois4WZ3ztMwv6"
"clothesline",10.0,"tree branch",,,,,,,,,,,"NFS",200.0,"NA","Tom Nook; Cranky villagers","Obtained during the main storyline during the villager house development quest",0.0,"1.0.0","Housewares",203.0,457.0,"kQm8o92yBJJPNpM2o"
"coconut juice",1.0,"coconut",,,,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,0.0,"1.0.0","Miscellaneous",1800.0,163.0,"43ztxc7D5XHDmAMXA"
"coconut wall planter",1.0,"coconut",5.0,"clump of weeds",,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,50.0,"1.0.0","Wall-mounted",1830.0,405.0,"tw8LKPHQrkMZwgAua"
"colored-leaves flooring",10.0,"maple leaf",15.0,"clump of weeds",,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Maple Leaf Season",0.0,"1.0.0","Floors",2960.0,476.0,"ENEvnncek9KfcwS9G"
"cool hyacinth crown",4.0,"blue hyacinths",2.0,"pink hyacinths",2.0,"orange hyacinths",,,,,,,"NFS",200.0,"NA","All Villagers",,100.0,"1.0.0","Headwear",3621.0,238.0,"zRzWiZwk8nTjaPxy7"
"cool hyacinth wreath",3.0,"orange hyacinths",3.0,"blue hyacinths",3.0,"pink hyacinths",,,,,,,"NFS",200.0,"NA","All Villagers",,100.0,"1.0.0","Wall-mounted",3561.0,453.0,"HaC5frhoXCDpy5YYj"
"cool pansy crown",3.0,"orange pansies",3.0,"blue pansies",,,,,,,,,"NFS",200.0,"NA","All Villagers",,100.0,"1.0.0","Headwear",3618.0,247.0,"HH3M3xNAeCLsHTZRj"
"cool pansy wreath",10.0,"purple pansies",,,,,,,,,,,"NFS",200.0,"NA","All Villagers",,200.0,"1.0.0","Wall-mounted",3559.0,450.0,"RxiJe64ebSZy3dsHg"
